Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
219,"AL Ferber","The culture of privilege: Color‐blindness, postfeminism, and christonormativity",2012,"Journal of Social Issues","Wiley Online Library","https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-4560.2011.01736.x","https://scholar.google.com/scholar?cites=2572886047361257598&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 20:16:51","","10.1111/j.1540-4560.2011.01736.x","","",,,,,219,19.91,219,1,11,"This article argues that the ideology of color‐blind racism is part of a broader, overarching ideology of “oppression blindness.” Using an intersectional framework for understanding white …","https://www.researchgate.net/profile/Abby-Ferber-2/publication/230552293_The_Culture_of_Privilege_Color-blindness_Postfeminism_and_Christonormativity/links/5f52b2c3299bf13a31a0740c/The-Culture-of-Privilege-Color-blindness-Postfeminism-and-Christonormativity.pdf","https://scholar.google.com/scholar?q=related:ftCGdDq6tCMJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
1,"K Eleanor",""" It's Just a Cross, Don't Shoot"": White Supremacy and Christonormativity in a Small Midwestern Town",2017,"","search.proquest.com","https://search.proquest.com/openview/edc8aef75682d8a552464566df4dae8d/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=13655177579855346852&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 20:16:51","BOOK","","","",,,,,1,0.17,1,1,6,"This paper, guided by poststructuralist and feminist theories, examines public discourse that emerged in response to a controversy over whether a large cross should be removed from …","https://search.proquest.com/openview/edc8aef75682d8a552464566df4dae8d/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?q=related:pPwnIKnvgL0J:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
1,"SR Steinberg","Hollywood's missionary agenda: Christonormativity and audience Baptism",2010,"… Exploited: Public Pedagogy, Corporate Movies, and …","Springer","https://link.springer.com/chapter/10.1057/9780230117426_4","https://scholar.google.com/scholar?cites=11537600851173590206&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 20:16:51","","10.1057/9780230117426_4","","",,,,,1,0.08,1,1,13,"The normativization of an ideology involves creating an illusion of a state of being that should be, not one that is. I contend that North American audiences have become …","","https://scholar.google.com/scholar?q=related:vkRyZtjKHaAJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
6,"A Langer","Christonormativity as religious neutrality: A critique of the concept of state religious neutrality in Germany",2018,"Religious Freedom and the Law","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315149707-15/christonormativity-religious-neutrality-armin-langer","https://scholar.google.com/scholar?cites=2900976963588952195&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 20:16:51","","10.4324/9781315149707-15","","",,,,,6,1.20,6,1,5,"… Christonormativity, to the detriment of non-Christians. To the analogy of the term heteronormativity, the author suggests the usage of the term Christonormativity so … , Christonormativity …","","https://scholar.google.com/scholar?q=related:g5BPqC1XQigJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
0,"L Puchner, L Markowitz","Christmas in US K-12 schools: categorizing and explaining teacher awareness of Christo-normativity",2020,"Discourse: Studies in the Cultural Politics …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01596306.2018.1512074","",5,"2023-10-31 20:16:51","","10.1080/01596306.2018.1512074","","",,,,,0,0.00,0,2,3,"… To reduce Christo-normativity in United States of America … of whether they promoted Christo-normativity. Those who were … policies to reduce Christo-normativity in public schools may …","","https://scholar.google.com/scholar?q=related:EeUMHe5_GUkJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
1,"SR Steinberg","Screening Jesus: Hollywood and Christonormativity",2018,"Christotainment","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780429501678-6/screening-jesus-shirley-steinberg","https://scholar.google.com/scholar?cites=7382693213562551040&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 20:16:51","","10.4324/9780429501678-6","","",,,,,1,0.20,1,1,5,"The Apocalypse and the Rapture are central dimensions of the political fundamentalist and Dominionist cosmology. The producers of Christotainment in this eerie context turn out novels…","","https://scholar.google.com/scholar?q=related:ADsV0FyYdGYJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
9,"CA Brown","Symbolic annihilation of social groups as hidden curriculum in Japanese ELT materials",2022,"TESOL Quarterly","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/tesq.3073","https://scholar.google.com/scholar?cites=18235555550338275637&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 20:16:51","","10.1002/tesq.3073","","",,,,,9,9.00,9,1,1,"This study empirically investigated the invisibility, or symbolic annihilation, in Japanese English education of social groups at risk of marginalization. To do so, I assembled a corpus of …","","https://scholar.google.com/scholar?q=related:NdnQKyi1Ef0J:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
2,"LSS Scharnick-Udemans","Decolonising Religious Studies in South Africa: Reflections on the field 26 years after democracy",2021,"Religion Compass","Wiley Online Library","https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/rec3.12393","https://scholar.google.com/scholar?cites=3690117306700694704&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 20:16:51","","10.1111/rec3.12393","","",,,,,2,1.00,2,1,2,"In light of the decolonial turn in scholarship, this essay maps the state of the field for Religious Studies in South Africa, 26 years after the first democratic elections. It suggests that …","","https://scholar.google.com/scholar?q=related:sIRqrSPuNTMJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
0,"CA Brown","Purdue University Language and Cultural Exchange (PLaCE)",,"researchgate.net","","https://www.researchgate.net/profile/Charles-Brown-bairenyuan/publication/355145391_Symbolic_Annihilation_of_Social_Groups_as_Hidden_Curriculum_in_Japanese_ELT_Materials/links/619004853068c54fa5de74a7/Symbolic-Annihilation-of-Social-Groups-as-Hidden-Curriculum-in-Japanese-ELT-Materials.pdf","",9,"2023-10-31 20:16:51","PDF","","","",,,,,0,0.00,0,1,,"This study empirically investigated the invisibility, or symbolic annihilation, in Japanese English education of social groups at risk of marginalization. To do so, I assembled a corpus of …","https://www.researchgate.net/profile/Charles-Brown-bairenyuan/publication/355145391_Symbolic_Annihilation_of_Social_Groups_as_Hidden_Curriculum_in_Japanese_ELT_Materials/links/619004853068c54fa5de74a7/Symbolic-Annihilation-of-Social-Groups-as-Hidden-Curriculum-in-Japanese-ELT-Materials.pdf","https://scholar.google.com/scholar?q=related:ZNbc849pCqQJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
0,"S Donahoo","Critical Religious Pluralism in Higher Education: A Social Justice Framework to Support Religious Diversity by Jenny L. Small",2021,"Journal of College Student Development","muse.jhu.edu","https://muse.jhu.edu/pub/1/article/795643/summary","",10,"2023-10-31 20:16:51","","","","",,,,,0,0.00,0,1,2,"… Chapter 1 helps to explain the need for a new theoretical model for examining and supporting religious pluralism by identifying the existence of Christonormativity (Christian privilege) in …","","https://scholar.google.com/scholar?q=related:-9N8ElrsFaAJ:scholar.google.com/&scioq=christonormativity&hl=en&as_sdt=2007"
