Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"M Collins","Decolonization",2016,"The encyclopedia of empire","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118455074.wbeoe360","https://scholar.google.com/scholar?cites=11960711261558492000&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 15:46:03","","10.1002/9781118455074.wbeoe360","","",,,,,45,6.43,45,1,7,"… American Revolution through the lens of decolonization. Likewise, the end of … decolonization. However, one of the things that distinguishes these episodes from the later decolonization …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118455074.wbeoe360","https://scholar.google.com/scholar?q=related:YEs1loX7_KUJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
128,"DK Kennedy","Decolonization: A very short introduction",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=63SECwAAQBAJ&oi=fnd&pg=PP1&dq=decolonization&ots=nCiIgT9l0k&sig=70K9aluIzaaV8GI4-EA1UbSCjyk","https://scholar.google.com/scholar?cites=1743738824749595897&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 15:46:03","BOOK","","","",,,,,128,18.29,128,1,7,"… the faculty of the inaugural International Decolonization Seminar in 2006 and whose own scholarship has done so much to shape our understanding of decolonization. He and the other …","","https://scholar.google.com/scholar?q=related:-bxB7jgBMxgJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
85,"RF Betts","Decolonization a brief history of the word",2012,"Beyond empire and nation","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/34488/1/424255.pdf#page=30","https://scholar.google.com/scholar?cites=5693240813060999711&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 15:46:03","PDF","","","",,,,,85,7.73,85,1,11,"… ’,‘decolonization’was seldom restricted in application to a particular political activity or a neatly defined era. Moreover, as a binary activity, decolonization … , understood decolonization to …","https://library.oapen.org/bitstream/handle/20.500.12657/34488/1/424255.pdf#page=30","https://scholar.google.com/scholar?q=related:H8pB-1p0Ak8J:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
17,"A Lee, J Paine","What were the consequences of decolonization?",2019,"International Studies Quarterly","academic.oup.com","https://academic.oup.com/isq/article-abstract/63/2/406/5377578","https://scholar.google.com/scholar?cites=777230008903475082&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 15:46:03","","","","",,,,,17,4.25,9,2,4,"… decolonization movements (Time 1999). Historians and political scientists analyze causes of the postwar decolonization … systematic attention to whether decolonization during the 1940s …","","https://scholar.google.com/scholar?q=related:ih93PZNGyQoJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
131,"S Stein, VDO Andreotti","Decolonization and higher education",2016,"Encyclopedia of educational philosophy …","academia.edu","https://www.academia.edu/download/49887174/manuscript.pdf","https://scholar.google.com/scholar?cites=16810899721761523408&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 15:46:03","PDF","","","",,,,,131,18.71,66,2,7,"… of “decolonization” itself. This entry reviews the general contours of decolonization and … orient different interpretations of decolonization in the current context of higher education. …","https://www.academia.edu/download/49887174/manuscript.pdf","https://scholar.google.com/scholar?q=related:0AZPnjpQTOkJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
356,"ET Achiume","Migration as decolonization",2019,"Stan. L. Rev.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/stflr71&section=37","https://scholar.google.com/scholar?cites=3689815559513347669&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 15:46:03","","","","",,,,,356,89.00,356,1,4,"International migration is a defining problem of our time, and central to this problem are the ethical intuitions that dominate thinking on migration and its governance. This Article …","https://escholarship.org/content/qt8m83b98j/qt8m83b98j.pdf","https://scholar.google.com/scholar?q=related:VZaAr7PbNDMJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
243,"EJ Septimus, ML Schweizer","Decolonization in prevention of health care-associated infections",2016,"Clinical microbiology reviews","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/cmr.00049-15","https://scholar.google.com/scholar?cites=10885854936106411005&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 15:46:03","","10.1128/cmr.00049-15","","",,,,,243,34.71,122,2,7,"… used for nasal topical decolonization, topical (eg, skin) decolonization, oral decolonization, and selective digestive or … aureus decolonization, there is increasing interest in how to apply …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4786886/","https://scholar.google.com/scholar?q=related:_SMOf2NTEpcJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
8216,"E Tuck, KW Yang","Decolonization is not a metaphor",2021,"Tabula Rasa","scielo.org.co","http://www.scielo.org.co/scielo.php?pid=S1794-24892021000200061&script=sci_abstract&tlng=en","https://scholar.google.com/scholar?cites=16295243004997747403&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 15:46:03","","","","",,,,,8216,4108.00,4108,2,2,"… This article aims to remind readers how distressing decolonization is. Decolonization brings with it the repatriation of Indigenous life and land. It is not a metaphor of other things …","http://www.scielo.org.co/pdf/tara/n38/1794-2489-tara-38-61.pdf","https://scholar.google.com/scholar?q=related:y0KPWS1VJOIJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
169,"JC Jansen, J Osterhammel","Decolonization: A short history",2017,"","degruyter.com","https://www.degruyter.com/document/doi/10.1515/9781400884889/html","https://scholar.google.com/scholar?cites=16876134463297665673&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 15:46:03","BOOK","10.1515/9781400884889","","",,,,,169,28.17,85,2,6,"… This book takes an incisive look at decolonization and its … Providing a comparative perspective on the decolonization … Jansen and Osterhammel show how the seeds of decolonization …","","https://scholar.google.com/scholar?q=related:ibqVeuESNOoJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
518,"JD Hargreaves","Decolonization in Africa",2014,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=3MkeBAAAQBAJ&oi=fnd&pg=PP1&dq=decolonization&ots=5VDgq9v_HK&sig=w9-2vTLVPULvKcUOOahmYlymVUw","https://scholar.google.com/scholar?cites=2146071066225658956&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 15:46:03","BOOK","","","",,,,,518,57.56,518,1,9,"John Hargreaves examines how the British, French, Belgian, Spanish and Portuguese colonies in tropical Africa became independent in the postwar years, and in doing so transformed …","","https://scholar.google.com/scholar?q=related:TMwfrUNgyB0J:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
680,"SR Cusicanqui","Ch'ixinakax utxiwa: A Reflection on the Practices and Discourses of Decolonization",2012,"South Atlantic Quarterly","read.dukeupress.edu","https://read.dukeupress.edu/south-atlantic-quarterly/article-abstract/111/1/95/3568","https://scholar.google.com/scholar?cites=17312137723928548498&as_sdt=2005&sciodt=2007&hl=en",11,"2023-10-31 15:46:03","","","","",,,,,680,61.82,680,1,11,"Silvia Rivera Cusicanqui explores the possibilities for decolonization through an analysis of the “multicultural” state as an ongoing practice of coloniality that recognizes and …","","https://scholar.google.com/scholar?q=related:kpRmSYkRQfAJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
277,"E Buettner","Europe after empire: decolonization, society, and culture",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ARW8CwAAQBAJ&oi=fnd&pg=PR7&dq=decolonization&ots=-8WEMfG5Q0&sig=S_u2tt6aBNsdiL6du4gNuL65ZfA","https://scholar.google.com/scholar?cites=9490999530327714509&as_sdt=2005&sciodt=2007&hl=en",12,"2023-10-31 15:46:03","BOOK","","","",,,,,277,39.57,277,1,7,"… decolonization from the formal ending of empires to the postcolonial European present. Elizabeth Buettner charts the long-term development of postwar decolonization … to decolonization…","","https://scholar.google.com/scholar?q=related:zSqVkMnNtoMJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
227,"D Chakrabarty","Legacies of Bandung: decolonization and the politics of culture",2020,"Enchantments of Modernity","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003071020-11/legacies-bandung-decolonization-politics-culture-dipesh-chakrabarty","https://scholar.google.com/scholar?cites=12526996619448072313&as_sdt=2005&sciodt=2007&hl=en",13,"2023-10-31 15:46:03","","10.4324/9781003071020-11","","",,,,,227,75.67,227,1,3,"… if we look closely at discussions about decolonization that marked the 1950s and the 1960s of the last century. Ideas regarding decolonization were dominated by two concerns: one …","","https://scholar.google.com/scholar?q=related:ebi49A3V2K0J:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
96,"A Cabral","Resistance and decolonization",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=oeHaDwAAQBAJ&oi=fnd&pg=PP1&dq=decolonization&ots=X1Ct-h-9bf&sig=e73nd-3RkPXq8VWy_EETEFlBFFk","https://scholar.google.com/scholar?cites=8795230083374042293&as_sdt=2005&sciodt=2007&hl=en",14,"2023-10-31 15:46:03","BOOK","","","",,,,,96,13.71,96,1,7,"How can a people overthrow 500 years of colonial oppression? What can be done to decolonize mentalities, economic structures, and political institutions? In this book, which includes …","","https://scholar.google.com/scholar?q=related:tcxWZSnvDnoJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
507,"V de Oliveira Andreotti, S Stein…","Mapping interpretations of decolonization in the context of higher education",2015,"Decolonization …","jps.library.utoronto.ca","https://jps.library.utoronto.ca/index.php/des/article/view/22168","https://scholar.google.com/scholar?cites=2579067282930593015&as_sdt=2005&sciodt=2007&hl=en",15,"2023-10-31 15:46:03","","","","",,,,,507,63.38,169,3,8,"… in order to collapse decolonization into coherent, normative … that emerge in different decolonization efforts is vital … different processes and ideals of decolonization, we have started …","https://jps.library.utoronto.ca/index.php/des/article/download/22168/18470","https://scholar.google.com/scholar?q=related:9-zoggewyiMJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2023"
