Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
210,"S Craps","Beyond Eurocentrism",2013,"The future of trauma theory: Contemporary literary and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=rSjjAQAAQBAJ&oi=fnd&pg=PA45&dq=eurocentrism&ots=y80T6HfRKM&sig=Y9jko_SgHztc5UVjAour2ZziGho","https://scholar.google.com/scholar?cites=16571005774193521622&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 20:41:43","","","","",,,,,210,21.00,210,1,10,"Trauma theory is an area of cultural investigation that emerged in the early 1990s as a product of the so-called ethical turn affecting the humanities. It promised to infuse the study of …","https://www.researchgate.net/profile/Stef-Craps/publication/335806967_Beyond_Eurocentrism_Trauma_Theory_in_the_Global_Age/links/5d7c3c4a299bf1d5a97d6444/Beyond-Eurocentrism-Trauma-Theory-in-the-Global-Age.pdf","https://scholar.google.com/scholar?q=related:1nPAZfQJ-OUJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
5063,"E Shohat, R Stam","Unthinking Eurocentrism: Multiculturalism and the media",2014,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=u6fAAwAAQBAJ&oi=fnd&pg=PP1&dq=eurocentrism&ots=mtl7gAFNrR&sig=pqaQzhCiMuJFgLQWtx9BlYEvMiU","https://scholar.google.com/scholar?cites=9914079961845817323&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 20:41:43","BOOK","","","",,,,,5063,562.56,2532,2,9,"… Eurocentrism, a seminal and award-winning work in postcolonial studies first published in 1994, explored Eurocentrism … argued that the debates about Eurocentrism and post/coloniality …","http://www.kabul-reconstructions.net/mariam/teaching/Shohat+Stam.pdf","https://scholar.google.com/scholar?q=related:61-jwDLjlYkJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
234,"V Lambropoulos","The rise of Eurocentrism: Anatomy of interpretation",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=i5yfDwAAQBAJ&oi=fnd&pg=PP9&dq=eurocentrism&ots=fneykyj8lN&sig=t8KHCDujtaAn0mRWX-B9fEXV79w","https://scholar.google.com/scholar?cites=12437199059796036696&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 20:41:43","BOOK","","","",,,,,234,58.50,234,1,4,"In the controversy over political correctness, the canon, and the curriculum, the role of Western tradition in a post-modern world is often debated. To clarify what is at stake, Vassilis …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/149463/1993_Lambropoulos_TheRiseofEurocentrism.pdf?sequence=1","https://scholar.google.com/scholar?q=related:WAz3V6bOmawJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
25,"RK Kanth, RK Kanth","The challenge of Eurocentrism: Global perspectives, policy, and prospects",2009,"","Springer","https://link.springer.com/content/pdf/10.1057/9780230620896.pdf","https://scholar.google.com/scholar?cites=12394225960308363273&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 20:41:43","BOOK","10.1057/9780230620896","","",,,,,25,1.79,13,2,14,"… biases of Eurocentrism are about how Eurocentrism affects other cultures. First Eurocentrism … The fifth bias of Eurocentrism is even more extreme. It is disparagement of other countries. If …","","https://scholar.google.com/scholar?q=related:CdAa7tciAawJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
156,"M Koskenniemi","Histories of international law: dealing with eurocentrism",2011,"","dspace.library.uu.nl","https://dspace.library.uu.nl/handle/1874/219007","https://scholar.google.com/scholar?cites=15716589311872868062&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 20:41:43","","","","",,,,,156,13.00,156,1,12,"For each Treaty of Utrecht visiting professor, the Centre for the Humanities and the Treaty of Utrecht jointly organize an Inaugural Lecture. This semester's Treaty of Utrecht visiting …","https://dspace.library.uu.nl/bitstream/handle/1874/219007/Koskenniemi_Martti_oratie.pdf?sequence=1","https://scholar.google.com/scholar?q=related:3h7ihrWKHNoJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
246,"T Kayaoglu","Westphalian Eurocentrism in international relations theory",2010,"International Studies Review","academic.oup.com","https://academic.oup.com/isr/article-abstract/12/2/193/1846551","https://scholar.google.com/scholar?cites=17008365248378003232&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 20:41:43","","","","",,,,,246,18.92,246,1,13,"… I develop my argument regarding the Eurocentrism endemic to the Westphalian narrative in … Westphalian myth to the presence of Eurocentrism in current international relations theory. …","https://www.academia.edu/download/50237825/Westphalian_Eurocentrism_in_Internationa20161110-32397-t7etom.pdf","https://scholar.google.com/scholar?q=related:IF-rRxTaCewJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
640,"SF Alatas","Alternative discourses in Asian social science: Responses to Eurocentrism",2006,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=3eGxfVh7aY4C&oi=fnd&pg=PA9&dq=eurocentrism&ots=BiLEQlJImZ&sig=WJ_xK2pm0xWQdYj0JTazQuq2DyQ","https://scholar.google.com/scholar?cites=15452447501621143624&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 20:41:43","BOOK","","","",,,,,640,37.65,640,1,17,"The social sciences in Asia, like most other disciplines, were introduced by the West and continue to look towards them for inspiration, affirmation and legitimacy. There is now a growing …","","https://scholar.google.com/scholar?q=related:SCiA1CEfctYJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
1152,"S Sayyid","A fundamental fear: Eurocentrism and the emergence of Islamism",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=_v00EAAAQBAJ&oi=fnd&pg=PP1&dq=eurocentrism&ots=FqB1037jCn&sig=gZgicsRla_ewEp2ZlSE-jRTucz0","https://scholar.google.com/scholar?cites=18219551406311718084&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 20:41:43","BOOK","","","",,,,,1152,144.00,1152,1,8,"… focal point of ‘the West’ and the eurocentrism it entails behind and allowed them to become the … This is why eurocentrism was a central concern of the book. Eurocentrism, in the way I …","","https://scholar.google.com/scholar?q=related:xLwtBHnZ2PwJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
79,"JC Chukwuokolo","Afrocentrism or Eurocentrism: The dilemma of African development",2009,"OGIRISI: A new journal of African studies","ajol.info","https://www.ajol.info/index.php/og/article/view/52333/40958","https://scholar.google.com/scholar?cites=13444759765767427550&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 20:41:43","PDF","","","",,,,,79,5.64,79,1,14,"… to relate Afrocentrism and Eurocentrism to development and to … As an ideology that arose as a reaction against Eurocentrism… all the “boycottables” of Eurocentrism. This phrase captures …","https://www.ajol.info/index.php/og/article/view/52333/40958","https://scholar.google.com/scholar?q=related:3hUICcZhlboJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
177,"T Tibebu","Hegel and the third world: The making of eurocentrism in world history",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=oYuiAgAAQBAJ&oi=fnd&pg=PP1&dq=eurocentrism&ots=0bfaWXGHvz&sig=Zjlt9B-92m3DpUIkUMd7sb4CtIM","https://scholar.google.com/scholar?cites=8880296669760749200&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 20:41:43","BOOK","","","",,,,,177,14.75,177,1,12,"… In this work, I aim to provide a contribution to the critique of Eurocentrism, with focus on the understanding of world history. I immerse myself deeply in the foundational structure of this …","","https://scholar.google.com/scholar?q=related:kH4sdcUmPXsJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
