Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2374,"S Amin","Eurocentrism",1989,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LC4UCgAAQBAJ&oi=fnd&pg=PA7&dq=eurocentrism&ots=RQ_IYzwHYB&sig=tZoj04Aartp1iCG7DzsmLNY2gsM","https://scholar.google.com/scholar?cites=9850584703363778172&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 19:32:04","BOOK","","","",,,,,2374,69.82,2374,1,34,"… I think the theses and analyses offered in Eurocentrism are still valuable and even more relevant … I have attempted to strengthen the theses proposed in Eurocentrism with the analysis …","https://scienzepolitiche.unical.it/bacheca/archivio/materiale/2467/Testi%20in%20spagnolo%202015-16/(Spanish%20Edition)%20Samir%20Amin-Eurocentrismo_%20Cr%C3%ADtica%20de%20una%20ideologia-Siglo%20XXI%20Editores%20Mexico%20(1989).pdf","https://scholar.google.com/scholar?q=related:fAbl2ZhOtIgJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
937,"E Dussel","Eurocentrism and modernity (Introduction to the Frankfurt Lectures)",1993,"boundary 2","JSTOR","https://www.jstor.org/stable/303341","https://scholar.google.com/scholar?cites=12581044840546451073&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 19:32:04","","","","",,,,,937,31.23,937,1,30,"Modernity is, for many (for Jurgen Habermas or Charles Taylor, for example),'an essentially or exclusively European phenomenon. In these lectures, I will argue that modernity is, in fact, …","http://www.umass.edu/legal/Benavides/Spring2005/397U/Readings%20Legal397U%20Spring%202005/2%20Dussel.pdf","https://scholar.google.com/scholar?q=related:gT4IEKDZmK4J:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
5063,"E Shohat, R Stam","Unthinking Eurocentrism: Multiculturalism and the media",2014,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=u6fAAwAAQBAJ&oi=fnd&pg=PP1&dq=eurocentrism&ots=mtl7gABLtT&sig=7skXtNw91TcxOn54Fyjftv2ObcY","https://scholar.google.com/scholar?cites=9914079961845817323&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 19:32:04","BOOK","","","",,,,,5063,562.56,2532,2,9,"… Eurocentrism, a seminal and award-winning work in postcolonial studies first published in 1994, explored Eurocentrism … argued that the debates about Eurocentrism and post/coloniality …","http://www.kabul-reconstructions.net/mariam/teaching/Shohat+Stam.pdf","https://scholar.google.com/scholar?q=related:61-jwDLjlYkJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
132,"GG Joseph, V Reddy, M Searle-Chatterjee","Eurocentrism in the social sciences",1990,"Race &Class","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/030639689003100401","https://scholar.google.com/scholar?cites=10075474053130441151&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 19:32:04","","10.1177/030639689003100401","","",,,,,132,4.00,44,3,33,"Ethnocentrism, of which Eurocentrism is a special case, refers to “the tendency to view one's own ethnic group and its social standards as the basis for evaluative judgements …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5e1df796671cf9789cbedf29bc7ce900afe25da4","https://scholar.google.com/scholar?q=related:v1GB6ERG04sJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
234,"V Lambropoulos","The rise of Eurocentrism: Anatomy of interpretation",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=i5yfDwAAQBAJ&oi=fnd&pg=PP9&dq=eurocentrism&ots=fneykyf6nP&sig=20WD-i1tTw83ainsTfF0mju8eGQ","https://scholar.google.com/scholar?cites=12437199059796036696&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 19:32:04","BOOK","","","",,,,,234,58.50,234,1,4,"In the controversy over political correctness, the canon, and the curriculum, the role of Western tradition in a post-modern world is often debated. To clarify what is at stake, Vassilis …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/149463/1993_Lambropoulos_TheRiseofEurocentrism.pdf?sequence=1","https://scholar.google.com/scholar?q=related:WAz3V6bOmawJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
210,"S Craps","Beyond Eurocentrism",2013,"The future of trauma theory: Contemporary literary and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=rSjjAQAAQBAJ&oi=fnd&pg=PA45&dq=eurocentrism&ots=y80T6HbPMO&sig=JJRrui9BJU8PR2HGOaXr8BWkkxk","https://scholar.google.com/scholar?cites=16571005774193521622&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 19:32:04","","","","",,,,,210,21.00,210,1,10,"Trauma theory is an area of cultural investigation that emerged in the early 1990s as a product of the so-called ethical turn affecting the humanities. It promised to infuse the study of …","https://www.researchgate.net/profile/Stef-Craps/publication/335806967_Beyond_Eurocentrism_Trauma_Theory_in_the_Global_Age/links/5d7c3c4a299bf1d5a97d6444/Beyond-Eurocentrism-Trauma-Theory-in-the-Global-Age.pdf","https://scholar.google.com/scholar?q=related:1nPAZfQJ-OUJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
209,"A Dirlik","Is there history after Eurocentrism?: Globalism, postcolonialism, and the disavowal of history",1999,"Cultural Critique","JSTOR","https://www.jstor.org/stable/1354590","https://scholar.google.com/scholar?cites=9594611576808099048&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 19:32:04","","","","",,,,,209,8.71,209,1,24,"… in our day that Eurocentrism may be spoken or written away, I will suggest, rests on a reductionist culturalist understanding of Eurocentrism. Rendering Eurocentrism into a cultural …","https://www.academia.edu/download/47446197/Is_There_History_after_Eurocentrism_Glob20160722-14140-gdncnl.pdf","https://scholar.google.com/scholar?q=related:6Ex_CWXoJoUJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
596,"I Wallerstein","Eurocentrism and its avatars: The dilemmas of social science",1997,"Sociological bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/0038022919970102","https://scholar.google.com/scholar?cites=2405262678797607916&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 19:32:04","","10.1177/0038022919970102","","",,,,,596,22.92,596,1,26,"… If, however, we are to do this, we must take a careful look at what constitutes Eurocentrism, … it, we may in fact criticize Eurocentrism using Eurocentric premises and thereby reinforce its …","https://newleftreview.org/issues/i226/articles/immanuel-wallerstein-eurocentricism-and-its-avatars-the-dilemmas-of-social-science.pdf","https://scholar.google.com/scholar?q=related:7GM8qak1YSEJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
7330,"A Quijano","Coloniality of power and Eurocentrism in Latin America",2000,"International sociology","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0268580900015002005","https://scholar.google.com/scholar?cites=14030377495231205076&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 19:32:04","","10.1177/0268580900015002005","","",,,,,7330,318.70,7330,1,23,"The globalization of the world is, in the first place, the culmination of a process that began with the constitution of America and world capitalism as a Euro-centered colonial/modern …","http://disciplinas.stoa.usp.br/pluginfile.php/347342/mod_resource/content/1/Quijano%20(2000)%20Colinality%20of%20power.pdf","https://scholar.google.com/scholar?q=related:1A7k6_7ptcIJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
180,"C West, B Brown","Beyond Eurocentrism and multiculturalism",1993,"Modern philology","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/pdf/10.1086/392129","https://scholar.google.com/scholar?cites=7132775978514271008&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 19:32:04","","10.1086/392129","","",,,,,180,6.00,90,2,30,"Reading a book or an essay by Cornel West is like receiving a dispatch-urgent, trenchant, inspiring at times, at times breathtaking in its summons that (whatever else we do) we look at …","https://academiccommons.columbia.edu/doi/10.7916/D8DJ5RH0/download","https://scholar.google.com/scholar?q=related:IEvIHfa1_GIJ:scholar.google.com/&scioq=eurocentrism&hl=en&as_sdt=2007"
