Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
768,"V Mishra, B Hodge","□ What is Post (-) colonialism?",2015,"Colonial discourse and post-colonial …","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315656496-20&type=chapterpdf","https://scholar.google.com/scholar?cites=11689888158953901983&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 18:23:38","","","","",,,,,768,96.00,384,2,8,"… to the cause of a reconstructive post-colonialism. The authors of EWB seem to be conscious of this paradox, the paradox that the 'post' in 'post-colonialism' may well imply 'business as …","","https://scholar.google.com/scholar?q=related:nw9-SljTOqIJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
555,"S During","Postmodernism or post‐colonialism today",1987,"Textual practice","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1080/09502368708582006","https://scholar.google.com/scholar?cites=13400286512799796442&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 18:23:38","","10.1080/09502368708582006","","",,,,,555,15.42,555,1,36,"… For me, perhaps eccentrically, post-colonialism is regarded as the need, in nations or … Here the argument becomes complex, since post-colonialism constitutes one of those Others …","","https://scholar.google.com/scholar?q=related:2szj65Vh97kJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
465,"S Slemon","The scramble for post-colonialism",2002,"De-Scribing Empire","books.google.com","https://books.google.com/books?hl=en&lr=&id=tBKIAgAAQBAJ&oi=fnd&pg=PA15&dq=%22post+colonialism%22&ots=3ZHBKCWu9E&sig=kxQMmcDVmk7aQ5SV5teSXtXFx10","https://scholar.google.com/scholar?cites=11399202471703855028&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 18:23:38","","","","",,,,,465,22.14,465,1,21,"… understand the specificity of ‘post-colonialism’within the frame of … for the territory of postcolonialism are grounded in the … this institutional scramble for post-colonialism, this balkanization …","","https://scholar.google.com/scholar?q=related:tL-poEAaMp4J:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
299,"H Tiffin","3. Post-Colonialism, Post-Modernism and the Rehabilitation of Post-Colonial History",1988,"The Journal of Commonwealth Literature","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/002198948802300116","https://scholar.google.com/scholar?cites=9506739144922758667&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 18:23:38","","10.1177/002198948802300116","","",,,,,299,8.54,299,1,35,"… Post-Colonialism, … In a 1985 article in Landfall Simon During considers the future of New Zealand literature under the title &dquo;post-colonialism or post- …","https://www.academia.edu/download/62680684/Post_colonialism_Post_moderism20200401-110156-18wx0rj.pdf","https://scholar.google.com/scholar?q=related:C_5rKeK47oMJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
185,"J Spencer","Post-colonialism and the political imagination",1997,"Journal of the Royal Anthropological Institute","JSTOR","https://www.jstor.org/stable/3034362","https://scholar.google.com/scholar?cites=3543018548519324622&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 18:23:38","","","","",,,,,185,7.12,185,1,26,"This article considers the rise and fall of political anthropology in the context of the global shift from colonial to post-colonial rule. Classical political anthropology peaked in the 1960s …","","https://scholar.google.com/scholar?q=related:zksdIZlUKzEJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
235,"AP Mukherjee","Whose post‐colonialism and whose postmodernism?",1990,"Journal of Postcolonial Writing","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1080/17449859008589127","https://scholar.google.com/scholar?cites=10823580918507575375&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 18:23:38","","10.1080/17449859008589127","","",,,,,235,7.12,235,1,33,"… Both ""postmodernism"" and ""post-colonialism"" are nomenclatures that signal what Linda … Postcolonialism"" also draws our attention to the past, but it is a painful and a much longer …","","https://scholar.google.com/scholar?q=related:TxhX5X8VNZYJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
612,"L Hutcheon",""" Circling the Downspout of Empire"": Post-Colonialism and Postmodernism",1989,"ARIEL: A Review of International English …","journalhosting.ucalgary.ca","https://journalhosting.ucalgary.ca/index.php/ariel/article/view/33203/27250","https://scholar.google.com/scholar?cites=5749789964217502323&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 18:23:38","PDF","","","",,,,,612,18.00,612,1,34,"… by the imperial vision"" (""Post-Colonialism"" 172 ), it still possesses … While post-colonialism takes the first as its object of critique … This is the doubled sense of post-colonialism that is part of …","https://journalhosting.ucalgary.ca/index.php/ariel/article/view/33203/27250","https://scholar.google.com/scholar?q=related:c0pKPoJby08J:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
2235,"A McClintock","The angel of progress: Pitfalls of the term “post-colonialism”",2023,"Postcolonlsm","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003101406-9&type=chapterpdf","https://scholar.google.com/scholar?cites=9448444962279667451&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 18:23:38","","","","",,,,,2235,2235.00,2235,1,1,"… ""post-colonialism."" I am doubly interested in the term, since the almost ritualistic ubiquity of ""post-"" words in current culture (post-colonialism, … Metaphorically, the term ""post-colonialism"" …","https://postcolonial.net/wp-content/uploads/2019/04/Progress_article.pdf","https://scholar.google.com/scholar?q=related:-zaCGKKeH4MJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
151,"W Pietz","The"" post-colonialism"" of Cold War discourse",1988,"Social Text","JSTOR","https://www.jstor.org/stable/466178","https://scholar.google.com/scholar?cites=12948378320700049835&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 18:23:38","","","","",,,,,151,4.31,151,1,35,"The idea of totalitarianism and the discourse of the cold war would seem to bear at most a negative relation to colonial discourse. By translating all political events and social struggle …","","https://scholar.google.com/scholar?q=related:qwmyrnrhsbMJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
82,"H Shin, R Kubota","Post‐Colonialism and Globalization in Language Education",2008,"The handbook of educational linguistics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470694138#page=225","https://scholar.google.com/scholar?cites=10881559828910851806&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 18:23:38","","10.1002/9780470694138","","",,,,,82,5.47,41,2,15,"… : post-colonialism and globalization. Supporting the view that inquiry into post-colonialism goes … (see Loomba, 1998), we locate postcolonialism in a past, present, and future trajectory of …","http://ndl.ethernet.edu.et/bitstream/123456789/65606/1/54.pdf.pdf#page=230","https://scholar.google.com/scholar?q=related:3kZk7AIRA5cJ:scholar.google.com/&scioq=%22post+colonialism%22&hl=en&as_sdt=2007"
