Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"DS Hromek","The (Re) Indigenisation of Space: Weaving narratives of resistance to embed Nura [Country] in design",2019,"","opus.lib.uts.edu.au","https://opus.lib.uts.edu.au/handle/10453/137126","https://scholar.google.com/scholar?cites=4164941531284662453&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 19:54:12","","","","",,,,,14,3.50,14,1,4,"Author's note: This thesis includes Indigenous Cultural and Intellectual Property (ICIP) belonging to Yuin, Dharug, Gundungarra, D'harawal, Bundjalung, Wiradjuri and Yorta Yorta …","https://opus.lib.uts.edu.au/bitstream/10453/137126/2/02whole.pdf","https://scholar.google.com/scholar?q=related:tWh-gkHYzDkJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
1,"D Hromek","The (Re) Indigenisation of Space",2019,"","academia.edu","https://www.academia.edu/download/76319725/01front.pdf","https://scholar.google.com/scholar?cites=15302420277633248763&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 19:54:12","PDF","","","",,,,,1,0.25,1,1,4,"THE (RE)INDIGENISATION OF SPACE Page 1 THE (RE)INDIGENISATION OF SPACE Weaving narratives of resistance to embed Nura [Country] in design Danièle Hromek Budawang/…","https://www.academia.edu/download/76319725/01front.pdf","https://scholar.google.com/scholar?q=related:-20QtCoeXdQJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
11,"J Beckett","Returned to Sender: Some Predicaments of Re‐indigenisation",2012,"Oceania","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1834-4461.2012.tb00122.x","https://scholar.google.com/scholar?cites=6491920981963318074&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 19:54:12","","10.1002/j.1834-4461.2012.tb00122.x","","",,,,,11,1.00,11,1,11,"It is some 40 years since Australia officially re‐indigenised its Aborigines, at the same time giving rise to cultures of indigenism in the community at large. For those who lived in the …","","https://scholar.google.com/scholar?q=related:OiPUx7zvF1oJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
0,"D Hromek","Thesis abstract The (re) Indigenisation of space: weaving narratives of resistance to embed Nura [Country] in design",2021,"Journal and Proceedings of the Royal Society of New …","royalsoc.org.au","https://www.royalsoc.org.au/images/pdf/journal/154-2-complete.pdf#page=121","",4,"2023-10-31 19:54:12","","","","",,,,,0,0.00,0,1,2,"Thesis abstract The (re) Indigenisation of space: weaving narratives of resistance to embed Nura [Country] in design Page 121 247 Journal &Proceedings of the Royal Society of New …","","https://scholar.google.com/scholar?q=related:2OII7f7WYxsJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
0,"SJ Lambert, M Shadbolt","Reindigenising humanity: a pan-global project of great importance and massive difficulty",2011,"","researcharchive.lincoln.ac.nz","https://researcharchive.lincoln.ac.nz/handle/10182/7144","",5,"2023-10-31 19:54:12","","","","",,,,,0,0.00,0,2,12,"Two years into the latest financial crisis and the current economic model can still be interpreted in two contradictory ways. On the one hand it has been exposed as a flimsy, even flaky, …","","https://scholar.google.com/scholar?q=related:6ws5iKw8ivAJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
0,"S Brown","Kei te raranga i te Pā-Weaving the Fortified Village",2019,"","researchspace.auckland.ac.nz","https://researchspace.auckland.ac.nz/handle/2292/53355","",6,"2023-10-31 19:54:12","","","","",,,,,0,0.00,0,1,4,"… into Albert Park to reindigenise the tāngata and whenua … architecture, and hauora can reindigenise Albert Park. It will … Māori this thesis aims to reindigenise the tāngata and whenua of …","","https://scholar.google.com/scholar?q=related:1Jit7Tidn4UJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
0,"C Bradley","Toa and the wero: The gang and community contract: Ko Tu a Waho, ko Rongo a Roto. Tu Outside, Rongo Inside.",2022,"New Zealand Sociology","search.informit.org","https://search.informit.org/doi/abs/10.3316/informit.810565847644873","",7,"2023-10-31 19:54:12","","10.3316/informit.810565847644873","","",,,,,0,0.00,0,1,1,"… in their communities or the role that re-Indigenisation plays in the trajectory of community-… Whakatāne chapter to identify processes of re-Indigenisation and the role the patch plays in …","https://www.saanz.net/wp-content/uploads/2022/11/5_Bradley_Toa-and-the-Wero_final_372_54-65.pdf","https://scholar.google.com/scholar?q=related:8N9jKvqYLFEJ:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
39,"DE Bauer","Re‐articulating Identity: The Shifting Landscape of Indigenous Politics and Power on the Ecuadorian Coast",2010,"Bulletin of Latin American Research","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1470-9856.2009.00347.x","https://scholar.google.com/scholar?cites=10213987230798495458&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 19:54:12","","10.1111/j.1470-9856.2009.00347.x","","",,,,,39,3.00,39,1,13,"… I focus on the process of re-indigenisation in the coastal community of Macaboa. This research is significant because while a great deal of scholarly attention has been paid to …","","https://scholar.google.com/scholar?q=related:4r4eOEVfv40J:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
3,"CK Blair-Stahn","The Hula Dancer as Environmentalist:(Re-) Indigenizing Sustainability Through a Holistic Perspective on the Role of Nature in Hula",2010,"4th International Traditional Knowledge …","researchgate.net","https://www.researchgate.net/profile/Oluwatoyin-Kolawole/publication/236606790_Intersecting_knowledges_What_is_an_appropriate_model_for_science_and_local_technologies_in_sub-Saharan_Africa/links/0c96051ae015e15545000000/Intersecting-knowledges-What-is-an-appropriate-model-for-science-and-local-technologies-in-sub-Saharan-Africa.pdf#page=70","https://scholar.google.com/scholar?cites=3325869716133276850&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 19:54:12","PDF","","","",,,,,3,0.23,3,1,13,"In hula (Hawaiian dance), the natural world serves multiple essential functions, including the source of imagery and metaphor for danced stories, the origin of costume material and …","https://www.researchgate.net/profile/Oluwatoyin-Kolawole/publication/236606790_Intersecting_knowledges_What_is_an_appropriate_model_for_science_and_local_technologies_in_sub-Saharan_Africa/links/0c96051ae015e15545000000/Intersecting-knowledges-What-is-an-appropriate-model-for-science-and-local-technologies-in-sub-Saharan-Africa.pdf#page=70","https://scholar.google.com/scholar?q=related:smxat-LcJy4J:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
0,"T Bills, PE Ala'imalo Falefatu Enari, D Tupua-Siliva","The realisation of Pasifika success when schools de-silo Pacific students' lives:“Pasifika mo Pasifika”",2022,"Journal issue","nzcer.org.nz","https://www.nzcer.org.nz/nzcerpress/set/articles/realisation-pasifika-success-when-schools-de-silo-pacific-students-lives","",10,"2023-10-31 19:54:12","HTML","","","",,,,,0,0.00,0,3,1,"… This article explores one school’s journey towards a culturally sustaining pedagogy, the de-siloing of the lives of their Pasifika students, and a re-indigenisation of the curriculum to …","https://www.nzcer.org.nz/nzcerpress/set/articles/realisation-pasifika-success-when-schools-de-silo-pacific-students-lives","https://scholar.google.com/scholar?q=related:web2RoxhF38J:scholar.google.com/&scioq=reindigenisation&hl=en&as_sdt=2007"
