Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6819,"P Wolfe","Settler Colonialism and the Elimination of the Native",2006,"Journal of genocide research","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/14623520601056240","https://scholar.google.com/scholar?cites=17729742898080564333&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 17:14:49","","10.1080/14623520601056240","","",,,,,6819,401.12,6819,1,17,"… Settler colonialism is inherently eliminatory but not invariably genocidal. As practised by Europeans, both genocide and settler colonialism … say that settler colonialism or genocide have …","https://www.tandfonline.com/doi/pdf/10.1080/14623520601056240","https://scholar.google.com/scholar?q=related:bcQYxzqzDPYJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
149,"L Veracini","Settler colonialism and decolonisation",2007,"","ro.uow.edu.au","https://ro.uow.edu.au/lhapapers/1337/","https://scholar.google.com/scholar?cites=15899692069834452451&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 17:14:49","","","","",,,,,149,9.31,149,1,16,"… , settler colonialism has been remarkably resistant to decolonisation. This article calls for integrating two non-communicating discursive fields: adding an appraisal of settler colonialism …","https://ro.uow.edu.au/cgi/viewcontent.cgi?article=2342&context=lhapapers","https://scholar.google.com/scholar?q=related:4-2ThLINp9wJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
374,"C Elkins, S Pedersen","Settler colonialism in the twentieth century: Projects, practices, legacies",2005,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=UDFY8hZN0S0C&oi=fnd&pg=PR3&dq=%22settler+colonialism%22&ots=fUog5QL6nH&sig=0GKHrjVbIfYPaDh2IdXk2TkCGd8","https://scholar.google.com/scholar?cites=16782585422964926429&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 17:14:49","BOOK","","","",,,,,374,20.78,187,2,18,"… us to begin to construct a typology of settler colonialism—or, alternatively, to imagine a … and then plot some of the instances of settler colonialism discussed in this book, as follows: …","","https://scholar.google.com/scholar?q=related:3Sd5NIa45-gJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
157,"A Emmanuel","White-settler colonialism and the myth of investment imperialism",1972,"New Left Review","newleftreview.org","https://newleftreview.org/issues/i73/articles/arghiri-emmanuel-white-settler-colonialism-and-the-myth-of-investment-imperialism.pdf","https://scholar.google.com/scholar?cites=3048759466084898900&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 17:14:49","PDF","","","",,,,,157,3.08,157,1,51,"35 crowning of economic domination (or what I would call exploitation), really ran counter to it. It is a sign of the times that in such a traditionalist context as the 1970 Seventh World …","https://newleftreview.org/issues/i73/articles/arghiri-emmanuel-white-settler-colonialism-and-the-myth-of-investment-imperialism.pdf","https://scholar.google.com/scholar?q=related:VJiZ1ZReTyoJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
137,"K Good","Settler colonialism: economic development and class formation",1976,"The Journal of Modern African Studies","cambridge.org","https://www.cambridge.org/core/journals/journal-of-modern-african-studies/article/settler-colonialism-economic-development-and-class-formation/0F17B7A89FC43D0EA71DB75E1BC0F8DA","https://scholar.google.com/scholar?cites=18095360114629618693&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 17:14:49","","","","",,,,,137,2.91,137,1,47,"… And this summation may well stand as a generalisation of the trajectory of social change under settler colonialism in Africa, provided we bear in mind the contradictory aspects of this …","","https://scholar.google.com/scholar?q=related:BSxFoyaiH_sJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
398,"C Fujikane, JY Okamura","Asian Settler Colonialism: From Local Governance to the Habits of Everyday Life in Hawai? i",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ekmGmOgpWegC&oi=fnd&pg=PP2&dq=%22settler+colonialism%22&ots=KRSdTCmSHM&sig=a6EWTMY-0L6Qo_aAVeBBztWAo9g","https://scholar.google.com/scholar?cites=17272944029509782752&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 17:14:49","BOOK","","","",,,,,398,26.53,199,2,15,"… The primary concern of this book, however, is Asian settler colonialism as it refers to the present participation of all Asians in Hawai‘i in US settler colonialism through different kinds of …","","https://scholar.google.com/scholar?q=related:4IwiMBTTte8J:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
250,"AJ Barker","The contemporary reality of Canadian imperialism: Settler colonialism and the hybrid colonial state",2009,"American Indian Quarterly","JSTOR","https://www.jstor.org/stable/40388468","https://scholar.google.com/scholar?cites=10461470486403758132&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 17:14:49","","","","",,,,,250,17.86,250,1,14,"… of Western society and traditions that comes along with an attempt to identify and study Settler peoples and society, it is fair (and common) to ask what the locus of Settler colonialism is. …","https://www.academia.edu/download/2696989/The_American_Indian_Quarterly_2009_Adam_J._Barker.pdf","https://scholar.google.com/scholar?q=related:NDhU6vqbLpEJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
85,"A Goldstein","Where the nation takes place: Proprietary regimes, antistatism, and US settler colonialism",2008,"South Atlantic Quarterly","read.dukeupress.edu","https://read.dukeupress.edu/south-atlantic-quarterly/article-abstract/107/4/833/3424","https://scholar.google.com/scholar?cites=1291394355400895589&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 17:14:49","","","","",,,,,85,5.67,85,1,15,"… Indeed, settler colonialism in the United States has … Settler colonialism in North America is not a relic of the past but a … addressing the peculiarities of settler colonialism and the ways in …","https://digitalrepository.unm.edu/cgi/viewcontent.cgi?article=1012&context=amst_fsp","https://scholar.google.com/scholar?q=related:ZWyd-lL06xEJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
84,"K Good","Settler colonialism in Rhodesia",1974,"African Affairs","JSTOR","https://www.jstor.org/stable/720978","https://scholar.google.com/scholar?cites=2843644052043349164&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 17:14:49","","","","",,,,,84,1.71,84,1,49,"… Rhodesian settler colonialism is no mere appendage of … Rhodesian settler colonialism, like that of Kenya and Algeria … possessed by South African settler colonialism to a significant but …","https://www.kurumbiwone.com/wp-content/uploads/2021/12/Settler-Colonialism-in-Rhodesia.pdf","https://scholar.google.com/scholar?q=related:rDyy9TKndicJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
29,"A Goldstein, A Lubin","Settler colonialism",2008,"","dni.dali.dartmouth.edu","http://dni.dali.dartmouth.edu/2tzzoxnk26p8/05-marion-kessler-2/read-0822367068-settler-colonialism.pdf","https://scholar.google.com/scholar?cites=3627399118797337587&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 17:14:49","BOOK","","","",,,,,29,1.93,15,2,15,"… ""SAQ"" revisits the history of settler colonialism in such varied … and economic instances of settler colonialism, the practice of … how formations of modern settler colonialism, both successful …","","https://scholar.google.com/scholar?q=related:8_N6nkccVzIJ:scholar.google.com/&scioq=%22settler+colonialism%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
