Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
817,"S Garner","Whiteness: an introduction",2007,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=vYjgBjqGeQMC&oi=fnd&pg=PP1&dq=whiteness&ots=zRNWbYX3Iv&sig=1qOaBDF0vPS5HFrdjEZRiRNIj1Y","https://scholar.google.com/scholar?cites=17755161827809042022&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 21:04:43","BOOK","","","",,,,,817,51.06,817,1,16,"What is whiteness? Why is it worth using as a tool in the social sciences? Making sociological sense of the idea of whiteness, this book skilfully argues how this concept can help us …","https://uwe-repository.worktribe.com/index.php/outputs?page=1343","https://scholar.google.com/scholar?q=related:Zh4ijJwBZ_YJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
266,"MJ Green, CC Sonn, J Matsebula","Reviewing whiteness: Theory, research, and possibilities",2007,"South African Journal of …","journals.co.za","https://journals.co.za/doi/abs/10.10520/EJC98453","https://scholar.google.com/scholar?cites=10888153610390274126&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 21:04:43","","10.10520/EJC98453","","",,,,,266,16.63,89,3,16,"… of the concept of whiteness and how the power and privilege of whiteness is reproduced … of whiteness, our aim is to highlight and establish dialogue about how research on whiteness …","https://www.academia.edu/download/6016681/GreenSonnMatsebula2007SAJP.pdf","https://scholar.google.com/scholar?q=related:TgAzTwV-GpcJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
2627,"S Ahmed","A phenomenology of whiteness",2007,"Feminist theory","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1464700107078139","https://scholar.google.com/scholar?cites=9454652179722000455&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 21:04:43","","10.1177/1464700107078139","","",,,,,2627,164.19,2627,1,16,"… can usefully approach whiteness through the lens of phenomenology. Whiteness could be … The paper considers how whiteness functions as a habit, even a bad habit, which becomes …","https://www.academia.edu/download/54053788/Phenomenology_of_Whiteness.pdf","https://scholar.google.com/scholar?q=related:R9gzhxCsNYMJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
141,"N Altman","Whiteness",2006,"The Psychoanalytic Quarterly","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1002/j.2167-4086.2006.tb00032.x","https://scholar.google.com/scholar?cites=6673566107321563594&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 21:04:43","","10.1002/j.2167-4086.2006.tb00032.x","","",,,,,141,8.29,141,1,17,"This paper seeks to make meaning of the experience of being white in the United States at this point in history. The self-awareness of white people is limited by a blind spot around the …","","https://scholar.google.com/scholar?q=related:yvn8OwRFnVwJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
361,"LM Alcoff","The future of whiteness",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=e1m-CgAAQBAJ&oi=fnd&pg=PP1&dq=whiteness&ots=yqwIIXeffR&sig=_jYtr0TEEC3Lm9A7BBW1fvR0-_E","https://scholar.google.com/scholar?cites=147584237022086070&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 21:04:43","BOOK","","","",,,,,361,45.13,361,1,8,"… whiteness is withering away, fragmenting beyond recognition, or massively expanding the kinds of persons it includes, we need to understand what whiteness is … how whiteness is lived, …","","https://scholar.google.com/scholar?q=related:tgMm5hRTDAIJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
224,"B Applebaum","Critical whiteness studies",2016,"Oxford research encyclopedia of education","oxfordre.com","https://oxfordre.com/education/display/10.1093/acrefore/9780190264093.001.0001/acrefore-9780190264093-e-5?source=post_page---------------------------","https://scholar.google.com/scholar?cites=3067397975025686525&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 21:04:43","","10.1093/acrefore/9780190264093.001.0001/acrefore-9780190264093-e-5","","",,,,,224,32.00,224,1,7,"… , and Franz Fanon, have maintained that whiteness lies at the center of the … of whiteness has become an academic field, committed to disrupting racism by problematizing whiteness as a …","","https://scholar.google.com/scholar?q=related:_Zco3jSWkSoJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
1649,"Z Leonardo","Race, whiteness, and education",2009,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ng2RAgAAQBAJ&oi=fnd&pg=PP1&dq=whiteness&ots=ET04bl29SY&sig=xqhKoroO10oYFKS_hIXtuxa_WY4","https://scholar.google.com/scholar?cites=1389779428407513736&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 21:04:43","BOOK","","","",,,,,1649,117.79,1649,1,14,"… Author Zeus Leonardo’s conceptual engagement of race and whiteness asks questions … By asking fundamental questions about whiteness in schools and society, Race, Whiteness, …","https://api.pageplace.de/preview/DT0400.9781135850319_A24931165/preview-9781135850319_A24931165.pdf","https://scholar.google.com/scholar?q=related:iBJg2gZ9SRMJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
572,"FW Twine, C Gallagher","The future of whiteness: A map of the 'third wave'",2008,"Ethnic and racial studies","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01419870701538836","https://scholar.google.com/scholar?cites=17181350124670153151&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 21:04:43","","10.1080/01419870701538836","","",,,,,572,38.13,286,2,15,"… we call Third Wave Whiteness. This third wave of whiteness studies incorporates and builds … on emerging empirical accounts of how whiteness is deployed and the discursive strategies …","","https://scholar.google.com/scholar?q=related:v_GTXuhqcO4J:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
298,"A Nayak","Critical whiteness studies",2007,"Sociology Compass","Wiley Online Library","https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-9020.2007.00045.x","https://scholar.google.com/scholar?cites=4610416277211300996&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 21:04:43","","10.1111/j.1751-9020.2007.00045.x","","",,,,,298,18.63,298,1,16,"… , deconstruct or rethink the meaning of whiteness and white identities as they currently stand… new geographies of whiteness can displace the construction of critical whiteness studies as …","https://eprints.ncl.ac.uk/file_store/production/28785/45D3C888-1CD2-4A85-9F75-F811B000319B.pdf","https://scholar.google.com/scholar?q=related:hMTbVS19-z8J:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
247,"M Suchet","Unraveling Whiteness 1",2014,"Relational Psychoanalysis, Volume 4","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315787008-9/unraveling-whiteness-1-melanie-suchet","https://scholar.google.com/scholar?cites=11102510625266513372&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 21:04:43","","10.4324/9781315787008-9/unraveling-whiteness-1-melanie-suchet","","",,,,,247,27.44,247,1,9,"… As she try to unravel her Whiteness, unraveling herself at times, she keep searching for a … be completely undone, her Whiteness erased. Whiteness dominates through normalizing itself …","http://www.nwaps.org/sites/default/files/Journal.Unrav_.Whiteness.pdf","https://scholar.google.com/scholar?q=related:3LUCDpcKFJoJ:scholar.google.com/&scioq=whiteness&hl=en&as_sdt=2007&as_ylo=2003&as_yhi=2023"
