Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
163,"LJ Rupp, V Taylor, EI Shapiro",Drag queens and drag kings: The difference gender makes,2010,Sexualities,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1363460709352725,https://scholar.google.com/scholar?cites=16716204028168593074&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 22:30,,10.1177/1363460709352725,,,,,,,163,11.64,54,3,14,"… of two different drag performance collectives, the 801 Girls, a drag queen troupe in Key West, … We turn to our ethnographies of drag queen and drag king communities to understand the …",https://www.researchgate.net/profile/Leila-Rupp/publication/249719776_Drag_Queens_and_Drag_Kings_The_Difference_Gender_Makes/links/5463bb7c0cf2cb7e9da99940/Drag-Queens-and-Drag-Kings-The-Difference-Gender-Makes.pdf,https://scholar.google.com/scholar?q=related:sl7xU__i--cJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
5,"C Sehui, Y Sook-Hi",The Study on Drag Queen′ s and Drag King′ s Fashion,2004,Journal of the Korean Society of Costume,koreascience.kr,https://koreascience.kr/article/JAKO200413113320912.page,https://scholar.google.com/scholar?cites=12909215180491540936&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 22:30,,,,,,,,,5,0.25,3,2,20,"… of drag queen's and drag king's fashion. The results of characteristics of drag queen's fashion … commercialism, And the characteristics of drag king's fashion could be divided into reality, …",https://koreascience.kr/article/JAKO200413113320912.pdf,https://scholar.google.com/scholar?q=related:yElHis--JrMJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
73,KR Horowitz,The trouble with “queerness”: Drag and the making of two cultures,2013,Signs: Journal of Women in Culture and …,journals.uchicago.edu,https://www.journals.uchicago.edu/doi/abs/10.1086/667199,https://scholar.google.com/scholar?cites=1469536807478172061&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 22:30,,10.1086/667199,,,,,,,73,6.64,73,1,11,"… But in all the articles and studies and media exposés on drag queen culture, very little time and energy has been expended on the drag queen’s counterpart, the drag king. …",https://escholarship.org/content/qt8jn2c44k/qt8jn2c44k.pdf,https://scholar.google.com/scholar?q=related:nRkZwvDXZBQJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
161,E Shapiro,Drag kinging and the transformation of gender identities,2007,Gender &Society,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0891243206294509,https://scholar.google.com/scholar?cites=307074886407542968&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 22:30,,10.1177/0891243206294509,,,,,,,161,9.47,161,1,17,… drag king and drag queen experiences and practices would help answer whether and to what extent drag king … to be the case with drag queen performances. While performativity has …,,https://scholar.google.com/scholar?q=related:uNjDc_vyQgQJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
30,K Surkan,Drag kings in the new wave: Gender performance and participation,2003,Journal of homosexuality,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1300/J082v43n03_10,https://scholar.google.com/scholar?cites=9709864009314660393&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 22:30,,10.1300/J082v43n03_10,,,,,,,30,1.43,30,1,21,"… “We were trying to at least capture in some way the drag king/drag queen part of the spectrum, in addition to the people who identify as transsexual,” Savage said. Clearly, in this context …",,https://scholar.google.com/scholar?q=related:KfCMFN9dwIYJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
24,"LA Berbary, CW Johnson","En/activist drag: Kings reflect on queerness, queens, and questionable masculinities",2017,Leisure Sciences,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/01490400.2016.1194791,https://scholar.google.com/scholar?cites=694987036085748001&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 22:30,,10.1080/01490400.2016.1194791,,,,,,,24,3.43,12,2,7,"… , and movies, the drag queen has occupied an important … Understanding this shift within contemporary drag king culture … experiences of contemporary drag king performers and their …",https://www.researchgate.net/profile/Corey-Johnson-4/publication/305483139_En_Activist_Drag_Kings_Reflect_on_Queerness_Queens_and_Questionable_Masculinities/links/5a58c557aca2727d60814b79/En-Activist-Drag-Kings-Reflect-on-Queerness-Queens-and-Questionable-Masculinities.pdf,https://scholar.google.com/scholar?q=related:IYFk8QYXpQkJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
16,K Horowitz,"Drag, Interperformance, and the Trouble with Queerness",2019,,books.google.com,https://books.google.com/books?hl=en&lr=&id=V5a0DwAAQBAJ&oi=fnd&pg=PT9&dq=drag+queen%7Cdrag+king&ots=8DEWutehmk&sig=ixsCJ5beg1Lnqq5rUIuu2Fm94Uo,https://scholar.google.com/scholar?cites=7295487752908876924&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 22:30,BOOK,,,,,,,,16,3.2,16,1,5,"… are bigger bar nights than Wednesdays, and in part because, as I will discuss below, drag queen performance is far more well-known and popular than drag king performance in …",,https://scholar.google.com/scholar?q=related:fKxYR3XHPmUJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
73,SJ Hopkins,“Let the drag race begin”: The rewards of becoming a queen,2013,The Drag Queen Anthology,api.taylorfrancis.com,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203057094-8&type=chapterpdf,https://scholar.google.com/scholar?cites=14435463373359719379&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 22:30,,,,,,,,,73,6.64,73,1,11,"… Furthermore, use of the term “drag queen” is publicly eschewed by most of the veteran performers precisely because of its association with the transvestite prostitutes that were once …",,https://scholar.google.com/scholar?q=related:06NEqXQRVcgJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
4,DC Bauer,"Kings, Queens, and In-Betweens: exploring gender and powder through drag performances",2013,… master's thesis). A Thesis Presented to the …,digitalcollections.sdsu.edu,https://digitalcollections.sdsu.edu/do/2ba82fc0-737c-4710-9ca3-1837ea665f89/file/9d564d3c-a6bb-4a57-be39-74ac5ce2feea/download/sdsu:3071%20OBJ%20Datastream.pdf,https://scholar.google.com/scholar?cites=7555737483134027330&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 22:30,PDF,,,,,,,,4,0.36,4,1,11,"… feeling very much like a drag queen, although I did not … the drag king directly to the parody of masculinity: “Historically and categorically, we can make distinctions between the drag king …",https://digitalcollections.sdsu.edu/do/2ba82fc0-737c-4710-9ca3-1837ea665f89/file/9d564d3c-a6bb-4a57-be39-74ac5ce2feea/download/sdsu:3071%20OBJ%20Datastream.pdf,https://scholar.google.com/scholar?q=related:QsZOejVf22gJ:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2,A Aragón Varo,This is a man's world: drag kings and the female embodiment of masculinity,2013,,rua.ua.es,https://rua.ua.es/dspace/handle/10045/36332,https://scholar.google.com/scholar?cites=13829693711587610337&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 22:30,,,,,,,,,2,0.18,2,1,11,"… In 1992 Torr – as Danny King – started her drag king workshops where participants from all ages, genders, sexualities and nationalities learn about the gestures, the motion, the …",https://rua.ua.es/dspace/bitstream/10045/36332/1/RAEI_26_10.pdf,https://scholar.google.com/scholar?q=related:4Q6iZyjx7L8J:scholar.google.com/&scioq=drag+queen%7Cdrag+king&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
