Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"JK McGuire, D Berg, JM Catalpa…","Utrecht Gender Dysphoria Scale-Gender Spectrum (UGDS-GS): construct validity among transgender, nonbinary, and LGBQ samples",2020,International Journal …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/26895269.2020.1723460,https://scholar.google.com/scholar?cites=14479468635026446118&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 23:10,,10.1080/26895269.2020.1723460,,,,,,,41,10.25,10,4,4,"… Based on these analyses, we conclude that the newly developed UGDS-Gender Spectrum (UGDS-GS) demonstrates a large degree of invariance across binary transgender, nonbinary/…",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7430422/,https://scholar.google.com/scholar?q=related:JlcpDwJo8cgJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
16,C Baltes-Löhr,What are we speaking about when we speak about gender? Gender as a Continuum,2018,Cultural and Religious Studies,orbilu.uni.lu,https://orbilu.uni.lu/handle/10993/46480,https://scholar.google.com/scholar?cites=13034436993244242078&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 23:10,,,,,,,,,16,2.67,16,1,6,"… of segregating genders and stabilizing the gender binary? If not … the photographic book Gender as a Spectrum,70 and the … themselves on the gender spectrum which lies somewhere …",https://orbilu.uni.lu/bitstream/10993/46480/1/5b3f2e49206cc.pdf,https://scholar.google.com/scholar?q=related:nqCIzWKf47QJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
13,"JK McGuire, GN Rider, JM Catalpa…",Utrecht gender dysphoria scale-gender spectrum,2019,… of sexuality-related …,books.google.com,https://books.google.com/books?hl=en&lr=&id=sj73DwAAQBAJ&oi=fnd&pg=PA359&dq=gender+binary%7Cgender+spectrum&ots=0x9gW1V-0z&sig=3fBTTmiZtx3BZANsxwp5O8RYt6o,https://scholar.google.com/scholar?cites=8153780441422032023&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 23:10,,,,,,,,,13,2.6,3,4,5,… gender role change and the questions for the new gender role would be inappropriate for longitudinal analyses due to item differences. Finally non-binary … by creating a gender-neutral …,,https://scholar.google.com/scholar?q=related:l-x8YxwMKHEJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
39,R Reilly-Cooper,Gender is not a spectrum,2016,Aeon,,,https://scholar.google.com/scholar?cites=6808285173754427617&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 23:10,CITATION,,,,,,,,39,4.88,39,1,8,,,https://scholar.google.com/scholar?q=related:4fgwL0vje14J:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
31,J Castleberry,Addressing the gender continuum: A concept analysis,2019,Journal of Transcultural Nursing,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1043659618818722,https://scholar.google.com/scholar?cites=6703604087443701751&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 23:10,,10.1177/1043659618818722,,,,,,,31,6.2,31,1,5,… continuum is pertinent to nursing education as people who fall outside of the gender binary … of the previously understood gender spectrum. The gender spectrum places the traditional …,,https://scholar.google.com/scholar?q=related:9z_wemb8B10J:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
119,"GI van Schalkwyk, K Klingensmith…",Gender identity and autism spectrum disorders,2015,The Yale journal of …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4345542/,https://scholar.google.com/scholar?cites=8699405954206809335&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 23:10,HTML,,,,,,,,119,13.22,40,3,9,"… on gender-related concerns and autism spectrum disorders (… that gender identity disorder (GID), or gender dysphoria (GD)… conceptual challenges regarding how gender identity is best …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4345542/,https://scholar.google.com/scholar?q=related:9zxquZ9_ungJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
970,"C Richards, WP Bouman, L Seal…",Non-binary or genderqueer genders,2016,… Review of Psychiatry,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.3109/09540261.2015.1106446,https://scholar.google.com/scholar?cites=10653244897947643387&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 23:10,,10.3109/09540261.2015.1106446,,,,,,,970,121.25,243,4,8,"… of them, and consequently those people who are more ‘sex typed’ – that is further towards the ends of a notional gender spectrum – are disabled by their rigid adherence to their …",https://biblio.ugent.be/publication/7279758/file/7621238.pdf,https://scholar.google.com/scholar?q=related:-21pl8rt15MJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
909,"JS Hyde, RS Bigler, D Joel, CC Tate…",The future of sex and gender in psychology: Five challenges to the gender binary.,2019,American …,psycnet.apa.org,https://psycnet.apa.org/record/2018-32185-001,https://scholar.google.com/scholar?cites=15734559929264972214&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 23:10,,,,,,,,,909,181.8,182,5,5,"… Costs associated with the gender binary framework are considered, … practice of moving beyond a gender binary framework. … the gender binary are challenges to the gender binary itself. …",https://psycnet.apa.org/manuscript/2018-32185-001.pdf,https://scholar.google.com/scholar?q=related:tiHv8ONiXNoJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
40,"G Sala, L Pecora, M Hooley, MA Stokes","As diverse as the spectrum itself: Trends in sexuality, gender and autism",2020,Current Developmental …,Springer,https://link.springer.com/article/10.1007/s40474-020-00190-1,https://scholar.google.com/scholar?cites=15906138840796407951&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 23:10,,10.1007/s40474-020-00190-1,,,,,,,40,10,10,4,4,"… of the gender binary. Additionally, significantly more autistic women in their sample were in same-sex relationships compared with the control group, while the same was not found when …",,https://scholar.google.com/scholar?q=related:j6i2WQD1vdwJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
632,"PJM Van Wijngaarden-Cremers, E van Eeten…",Gender and age differences in the core triad of impairments in autism spectrum disorders: a systematic review and meta-analysis,2014,Journal of autism and …,Springer,https://link.springer.com/article/10.1007/s10803-013-1913-9,https://scholar.google.com/scholar?cites=9751505774513375103&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 23:10,,10.1007/s10803-013-1913-9,,,,,,,632,63.2,211,3,10,"… spectrum conditions. Journal of Autism and Developmental Disorders, 39(11), 1509–1521. … Gender differences in core symptomatology in autism spectrum disorders across the lifespan…",https://www.researchgate.net/profile/Patricia-Wijngaarden-Cremers/publication/256290832_Gender_and_Age_Differences_in_the_Core_Triad_of_Impairments_in_Autism_Spectrum_Disorders_A_Systematic_Review_and_Meta-analysis/links/545ce32b0cf27487b44d4338/Gender-and-Age-Differences-in-the-Core-Triad-of-Impairments-in-Autism-Spectrum-Disorders-A-Systematic-Review-and-Meta-analysis.pdf,https://scholar.google.com/scholar?q=related:f0cKE9ZOVIcJ:scholar.google.com/&scioq=gender+binary%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
