Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
322,C Cooper,Fat studies: Mapping the field,2010,Sociology Compass,Wiley Online Library,https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-9020.2010.00336.x,https://scholar.google.com/scholar?cites=11925413590899160099&as_sdt=2005&sciodt=2007&hl=en,1,1/31/2024 9:38,,10.1111/j.1751-9020.2010.00336.x,,,,,,,322,23,322,1,14,"… activism within a social movement that is called size acceptance, fat acceptance, fat liberation, fat politics and by other names; it is also influenced by my personal history as a …",,https://scholar.google.com/scholar?q=related:I_QoNXqUf6UJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
31,Z Simic,Fat as a feminist issue: A history,2016,Fat sex: New directions in theory and activism,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315581996-3/fat-feminist-issue-history-zora-simic,https://scholar.google.com/scholar?cites=13923563608162099043&as_sdt=2005&sciodt=2007&hl=en,2,1/31/2024 9:38,,10.4324/9781315581996-3,,,,,,,31,3.88,31,1,8,"… Like gay liberation, fat liberation had throughout the 1970s and into the 1980s drawn on … are challenged directly by fat studies – has intensified feminist scholarship on fat, but differences …",https://www.academia.edu/download/38440043/SIMIC_Fat_as_a_Feminist_Issue.pdf,https://scholar.google.com/scholar?q=related:Y98O2FRvOsEJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
376,M Wann,Fat studies: An invitation to revolution,2009,The fat studies reader,degruyter.com,https://www.degruyter.com/document/doi/10.18574/nyu/9780814777435.001.0001/pdf#page=10,https://scholar.google.com/scholar?cites=7605727177925913282&as_sdt=2005&sciodt=2007&hl=en,3,1/31/2024 9:38,,10.18574/nyu/9780814777435.001.0001,,,,,,,376,25.07,376,1,15,"… Historically, liberation movements have preceded the establishment of related fields of academic or theoretical inquiry. The Stonewall riots took place years before the first queer theory …",https://www.truenodetherapy.com/_files/ugd/887537_9a3220d991e342f294034db1ea14528b.pdf#page=10,https://scholar.google.com/scholar?q=related:wurOSpL4jGkJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
48,SGB Fishman,Life in the fat underground,1998,Radiance: The Magazine for Large Women,fatlibarchive.org,https://fatlibarchive.org/wp-content/uploads/2022/04/FU-Radiance-Fishman-1998.pdf,https://scholar.google.com/scholar?cites=13165048133826415952&as_sdt=2005&sciodt=2007&hl=en,4,1/31/2024 9:38,PDF,,,,,,,,48,1.85,48,1,26,"… a full page in its next issue to Fat Liberation, with a photo of our … Liberation. Feminist groups now invited them to speak. An especially fruitful relationship with the Women's Studies …",https://fatlibarchive.org/wp-content/uploads/2022/04/FU-Radiance-Fishman-1998.pdf,https://scholar.google.com/scholar?q=related:UI2ku4als7YJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
132,S Murray,Doing politics or selling out? Living the fat body,2005,Women's studies,Taylor &Francis,https://www.tandfonline.com/doi/full/10.1080/00497870590964165,https://scholar.google.com/scholar?cites=10139282622080395465&as_sdt=2005&sciodt=2007&hl=en,5,1/31/2024 9:38,,10.1080/00497870590964165,,,,,,,132,6.95,132,1,19,"… Why didn’t “coming out” as fat transform the way my fat body is read and received? I would … of fat liberation. I should say, that although my analysis here has concentrated on Wann’s fat …",,https://scholar.google.com/scholar?q=related:yahkFtP3tYwJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
1,S Pertman,Being a fat woman in North America: a theoretical perspective on fat liberation.,2001,,library-archives.canada.ca,https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=1006916912,https://scholar.google.com/scholar?cites=15036520688506635301&as_sdt=2005&sciodt=2007&hl=en,6,1/31/2024 9:38,BOOK,,,,,,,,1,0.04,1,1,23,"… fat liberation, this thesis describes two liberatory theoretical approaches and applies them to fat … When applied to fat, it enables fat people to recognize that fatness is a social construct …",https://www.nlc-bnc.ca/obj/s4/f2/dsk1/tape10/PQDD_0027/MQ51448.pdf?is_thesis=1&oclc_number=1006916912,https://scholar.google.com/scholar?q=related:JQRAOOZzrNAJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
1,"BL Sorensen, A Krings",Fat Liberation: How Social Workers Can Incorporate Fat Activism to Promote Care and Justice,2023,Affilia,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/08861099231183672,https://scholar.google.com/scholar?cites=10224690324953677563&as_sdt=2005&sciodt=2007&hl=en,7,1/31/2024 9:38,,10.1177/08861099231183672,,,,,,,1,1,1,2,1,"… Fat activism draws upon critical feminist theory, fat studies, critical weight science, and disability studies to emphasize a new understanding of fatness (Mollow, 2017). It reevaluates and …",https://journals.sagepub.com/doi/pdf/10.1177/08861099231183672,
354,C Cooper,Fat activism: A radical social movement,2021,,intellectdiscover.com,https://intellectdiscover.com/content/books/9781910849309,https://scholar.google.com/scholar?cites=14168190267374117390&as_sdt=2005&sciodt=2007&hl=en,8,1/31/2024 9:38,BOOK,,,,,,,,354,118,354,1,3,"… fat activism; it’sa part of Fat Studies in that it centres fat people and is underpinned by an ethic of liberation. … power, who speaks about fat, how knowledge about fat people is created and …",,https://scholar.google.com/scholar?q=related:DiL7XPuFn8QJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
197,S Murray,(Un/be) coming out? Rethinking fat politics,2005,Social Semiotics,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/10350330500154667,https://scholar.google.com/scholar?cites=2581034861188699509&as_sdt=2005&sciodt=2007&hl=en,9,1/31/2024 9:38,,10.1080/10350330500154667,,,,,,,197,10.37,197,1,19,"… we know the histories of all fat bodies, particularly those of fat women; we believe we know … is discussing Gay Liberation, it is possible to see the same problems emerging in Fat Pride: …",,https://scholar.google.com/scholar?q=related:dVUNBoit0SMJ:scholar.google.com/&scioq=fat+studies%7Cfat+liberation&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
0,FC Stadnyk,Fat Liberation or Co-healthist Cooptation? Exploring the Liberatory Potential of the Health at Every Size Framework,2023,,repository.library.carleton.ca,https://repository.library.carleton.ca/concern/etds/w6634493v,,10,1/31/2024 9:38,,,,,,,,,0,0,0,1,1,"… -of-colour disability studies-… studies-oriented expansion of what these practices look like. This research is important for critical health studies, fat studies, disability studies, mad studies, …",https://repository.library.carleton.ca/downloads/hh63sx072,
