Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6526,L Hutcheon,The politics of postmodernism,2003,,books.google.com,https://books.google.com/books?hl=en&lr=&id=hiWDAgAAQBAJ&oi=fnd&pg=PP1&dq=postmodernism%7C%22post+modernism%22&ots=YOdX_ek6OE&sig=pOzOF5wXimATQpm9KFnaxcmnSnA,https://scholar.google.com/scholar?cites=16203075667817063008&as_sdt=2005&sciodt=2007&hl=en,1,1/31/2024 10:08,BOOK,,,,,,,,6526,310.76,6526,1,21,"… told that postmodernism is over, or … postmodernism matters. Working through the issue of representation in art forms from fiction to photography, Linda Hutcheon sets out postmodernism’…",https://textarchive.ru/c-1568839-pall.html,https://scholar.google.com/scholar?q=related:YOIC6Xjj3OAJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
233,J Powell,Postmodernism for beginners,2007,,books.google.com,https://books.google.com/books?hl=en&lr=&id=sARFAwAAQBAJ&oi=fnd&pg=PT7&dq=postmodernism%7C%22post+modernism%22&ots=R33wfWHHsW&sig=PWUhRjm0UvKExjD5AKE1jeJpsTs,https://scholar.google.com/scholar?cites=9198843375393304500&as_sdt=2005&sciodt=2007&hl=en,2,1/31/2024 10:08,BOOK,,,,,,,,233,13.71,233,1,17,"If you are like most people, you’re not sure what Postmodernism is. And if this were like most books on the subject, it probably wouldn’t tell you. Besides what a few grumpy critics claim, …",,https://scholar.google.com/scholar?q=related:tO_F9k_bqH8J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
560,T Woods,Beginning postmodernism,1999,,books.google.com,https://books.google.com/books?hl=en&lr=&id=f-wXCVMTheEC&oi=fnd&pg=PR11&dq=postmodernism%7C%22post+modernism%22&ots=wX5yKSz5Tq&sig=Yjxehl2ogbmjQB_yq4rqANSYNT8,https://scholar.google.com/scholar?cites=6838834533697253644&as_sdt=2005&sciodt=2007&hl=en,3,1/31/2024 10:08,BOOK,,,,,,,,560,22.4,560,1,25,""" Postmodernism"" has become the buzzword of contemporary society. Yet it remains baffling in its variety of definitions, contexts and associations. Beginning Postmodernism aims to …",,https://scholar.google.com/scholar?q=related:DPGyUsZr6F4J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
167,S Connor,Postmodernism and literature,2004,The Cambridge companion to postmodernism,books.google.com,https://books.google.com/books?hl=en&lr=&id=dfpJqgYC7x8C&oi=fnd&pg=PA62&dq=postmodernism%7C%22post+modernism%22&ots=UGRKec89bf&sig=UQ48HZCTix_rA24OJrGRf7Sf66w,https://scholar.google.com/scholar?cites=8217553157958116183&as_sdt=2005&sciodt=2007&hl=en,4,1/31/2024 10:08,,,,,,,,,167,8.35,167,1,20,"… Postmodernism was not the invention of literary critics, but literature can certainly claim to be one of the most important laboratories of postmodernism… , ideas of postmodernism tended in …",http://s2.bitdl.ir/Ebook/Social/Philosophy%20-%20The%20Cambridge%20Companion%20Series/The%20Cambridge%20Companion%20to%20Postmodernism.pdf#page=76,https://scholar.google.com/scholar?q=related:V6P7Bg-dCnIJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
325,"VE Taylor, CE Winquist",Encyclopedia of postmodernism,2002,,books.google.com,https://books.google.com/books?hl=en&lr=&id=huGEAgAAQBAJ&oi=fnd&pg=PR6&dq=postmodernism%7C%22post+modernism%22&ots=tOwzPL0epK&sig=tShyieNtHHXJMfxkQFZlXCOZRUo,https://scholar.google.com/scholar?cites=3179443124785000611&as_sdt=2005&sciodt=2007&hl=en,5,1/31/2024 10:08,BOOK,,,,,,,,325,14.77,163,2,22,"The Encyclopedia of Postmodernism provides comprehensive and authoritative coverage of academic disciplines, critical terms and central figures relating to the vast field of …",https://www.academia.edu/download/55692969/Benj.pdf,https://scholar.google.com/scholar?q=related:ozBeNK2mHywJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2635,S Lash,Sociology of postmodernism,2014,,api.taylorfrancis.com,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315832326&type=googlepdf,https://scholar.google.com/scholar?cites=9070110079133402456&as_sdt=2005&sciodt=2007&hl=en,6,1/31/2024 10:08,BOOK,,,,,,,,2635,263.5,2635,1,10,"Untitled Page 1 Page 2 SOCIOLOGY OF POSTMODERNISM Written by a noted scholar in the field, this book considers the differences between modernism and postmodernism, …",,https://scholar.google.com/scholar?q=related:WMVvvA-B330J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
458,CC Lemert,Postmodernism is not what you think,2015,,books.google.com,https://books.google.com/books?hl=en&lr=&id=PBceCwAAQBAJ&oi=fnd&pg=PT12&dq=postmodernism%7C%22post+modernism%22&ots=Ua9632SPAt&sig=xPEwUjTCLIdGFrL0gqc4P3WAUuE,https://scholar.google.com/scholar?cites=17487247457297526472&as_sdt=2005&sciodt=2007&hl=en,7,1/31/2024 10:08,BOOK,,,,,,,,458,50.89,458,1,9,"… Postmodernism may well be that sort of thought’passing, … , especially when the word postmodernism has been so poorly … implicated in the distortions postmodernism has suffered. The …",,https://scholar.google.com/scholar?q=related:yG6SN-kur_IJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
168,W Thompson,Postmodernism and history,2017,,books.google.com,https://books.google.com/books?hl=en&lr=&id=tSJIEAAAQBAJ&oi=fnd&pg=PP1&dq=postmodernism%7C%22post+modernism%22&ots=zL27roM1lx&sig=KhypfPUH-o4OqMj25TBfr1c0lts,https://scholar.google.com/scholar?cites=15587526624228686345&as_sdt=2005&sciodt=2007&hl=en,8,1/31/2024 10:08,BOOK,,,,,,,,168,24,168,1,7,"… In summary, the first chapter of the book attempts to explain what postmodernism is – with … between the concepts of poststructuralism and postmodernism which were initially distinct but …",,https://scholar.google.com/scholar?q=related:CToY5OAEUtgJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
158,S Sim,Postmodernism and philosophy,2012,The Routledge companion to postmodernism,books.google.com,https://books.google.com/books?hl=en&lr=&id=yjngCgAAQBAJ&oi=fnd&pg=PA3&dq=postmodernism%7C%22post+modernism%22&ots=vgzwi91iLR&sig=Z1CxRYA28cBw9k_eCCAZHnr2hIk,https://scholar.google.com/scholar?cites=6710014413914155289&as_sdt=2005&sciodt=2007&hl=en,9,1/31/2024 10:08,,,,,,,,,158,13.17,158,1,12,… about postmodernism and a source of many of the theories of what constitutes postmodernism… to be the most powerful theoretical expression of postmodernism. 1 Lyotard’s plea that we …,,https://scholar.google.com/scholar?q=related:Gaka647CHl0J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
185,A Hoberek,Introduction: After Postmodernism,2007,Twentieth Century Literature,JSTOR,https://www.jstor.org/stable/20479812,https://scholar.google.com/scholar?cites=11482752598535285715&as_sdt=2005&sciodt=2007&hl=en,10,1/31/2024 10:08,,,,,,,,,185,10.88,185,1,17,"… ing as a symptom of postmodernism's waning influence also … problem with our story of postmodernism's de cline. Although … over into and codified in postmodernism, it in fact obscures …",https://read.dukeupress.edu/twentieth-century-lit/article-pdf/53/3/233/476051/0530233.pdf,https://scholar.google.com/scholar?q=related:06tjb6buWp8J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3603,L Nicholson,Feminism/postmodernism,2013,,books.google.com,https://books.google.com/books?hl=en&lr=&id=HuAoe4phOgEC&oi=fnd&pg=PR3&dq=postmodernism%7C%22post+modernism%22&ots=wirx1Pcysl&sig=7LGIpNZWlv7YxGsgBrPrlhqx498,https://scholar.google.com/scholar?cites=9383640511612711370&as_sdt=2005&sciodt=2007&hl=en,11,1/31/2024 10:08,BOOK,,,,,,,,3603,327.55,3603,1,11,"In this anthology, prominent contemporary theorists assess the benefits and dangers of postmodernism for feminist theory. The contributors examine the meaning of postmodernism both …",,https://scholar.google.com/scholar?q=related:yvGjIlRjOYIJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2352,"A McRobbie, A Mcrobbie",Postmodernism and popular culture,2003,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9780203168332/postmodernism-popular-culture-angela-mcrobbie-angela-mcrobbie,https://scholar.google.com/scholar?cites=12229583590035555949&as_sdt=2005&sciodt=2007&hl=en,12,1/31/2024 10:08,BOOK,10.4324/9780203168332,,,,,,,2352,112,1176,2,21,… Postmodernism has therefore served this function of shifting the paradigms in cultural … My suggestion in this book is that a feminist postmodernism forces us to confront questions which …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5c32f105fdc0c0f98bdbe34742d13b272ae717d7,https://scholar.google.com/scholar?q=related:bQYE43o1uKkJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
75,B McHale,What was postmodernism,2007,,,,https://scholar.google.com/scholar?cites=8066071296755677449&as_sdt=2005&sciodt=2007&hl=en,13,1/31/2024 10:08,CITATION,,,,,,,,75,4.41,75,1,17,,,https://scholar.google.com/scholar?q=related:CbkYyBtx8G8J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
