Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4559,L Tyson,Critical theory today: A user-friendly guide,2023,,books.google.com,https://books.google.com/books?hl=en&lr=&id=FDexEAAAQBAJ&oi=fnd&pg=PT11&dq=critical+theory%7Ccritical+theory&ots=VoDzT6MREp&sig=HAk_8eeugMvmJ0M_y-FXWB3Op8c,https://scholar.google.com/scholar?cites=13227743190116511306&as_sdt=2005&sciodt=2007&hl=en,1,1/31/2024 10:28,BOOK,,,,,,,,4559,4559,4559,1,1,… Another fact to keep in mind as we apply critical theories to The Great Gatsby and as you begin to use them to read other literary works is that different theoretical interpretations of the …,https://ds.amu.edu.et/xmlui/bitstream/handle/123456789/18163/critical%20theory%20today.pdf?sequence=1&isAllowed=y,https://scholar.google.com/scholar?q=related:Sq78CllikrcJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
6918,"JL Kincheloe, P McLaren",Rethinking critical theory and qualitative research,2011,Key works in critical pedagogy,brill.com,https://brill.com/downloadpdf/book/edcoll/9789460913976/BP000024.pdf,https://scholar.google.com/scholar?cites=6160108164789558780&as_sdt=2005&sciodt=2007&hl=en,2,1/31/2024 10:28,,,,,,,,,6918,532.15,3459,2,13,"… people to explain more precisely what critical theory is. We find that question … critical theories, not just one; (b) the critical tradition is always changing and evolving; and (c) critical theory …",https://www.researchgate.net/profile/Peter-Mclaren-5/publication/261773451_Rethinking_Critical_Theory_and_Qualitative_Research/links/5ead3839a6fdcc7050a1aa5c/Rethinking-Critical-Theory-and-Qualitative-Research.pdf,https://scholar.google.com/scholar?q=related:_N1D_LwZfVUJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
125,E Renault,A critical theory of social suffering,2010,Critical Horizons,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1558/crit.v11i2.221,https://scholar.google.com/scholar?cites=14106384594574347478&as_sdt=2005&sciodt=2007&hl=en,3,1/31/2024 10:28,,10.1558/crit.v11i2.221,,,,,,,125,8.93,125,1,14,"… The second possible stance consists of epistemological studies of some hegemonic research programmes such as neoclassic theories or game theories in economics. In both cases, …",,https://scholar.google.com/scholar?q=related:1oylyAzyw8MJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3913,SK Ma,Modern theory of critical phenomena,2018,,books.google.com,https://books.google.com/books?hl=en&lr=&id=R0haDwAAQBAJ&oi=fnd&pg=PR17&dq=critical+theory%7Ccritical+theory&ots=zocqhko5ti&sig=1QDn2oXud-Iy1uLgX-j_teAEfXg,https://scholar.google.com/scholar?cites=13267890087302401895&as_sdt=2005&sciodt=2007&hl=en,4,1/31/2024 10:28,BOOK,,,,,,,,3913,652.17,3913,1,6,"An important contributor to our current understanding of critical phenomena, Ma introduces the beginner--especially the graduate student with no previous knowledge of the subject-to …",,https://scholar.google.com/scholar?q=related:Zw-W9LwDIbgJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
57,R Shapcott,Critical theory,2008,,academic.oup.com,https://academic.oup.com/edited-volume/34331/chapter/291355953,https://scholar.google.com/scholar?cites=7956876886476941544&as_sdt=2005&sciodt=2007&hl=en,5,1/31/2024 10:28,,,,,,,,,57,3.56,57,1,16,Critical Theory | The Oxford Handbook of International Relations | Oxford Academic … Theory of Art … Theory of Art …,,https://scholar.google.com/scholar?q=related:6Gj5816BbG4J:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3974,C Belsey,Critical practice,2003,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9780203427491/critical-practice-catherine-belsey,https://scholar.google.com/scholar?cites=8799256563848030603&as_sdt=2005&sciodt=2007&hl=en,6,1/31/2024 10:28,BOOK,10.4324/9780203427491,,,,,,,3974,189.24,3974,1,21,"… Critical theory accordingly appears as a perfectly respectable but to some degree … In this book I shall try to make the new theories as accessible as possible, without recuperating them …",,https://scholar.google.com/scholar?q=related:i6mvbzk9HXoJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
5118,L Gandhi,Postcolonial theory: A critical introduction,2018,,degruyter.com,https://www.degruyter.com/document/doi/10.7312/gand17838-013/html,https://scholar.google.com/scholar?cites=15740313684980150251&as_sdt=2005&sciodt=2007&hl=en,7,1/31/2024 10:28,BOOK,10.7312/gand17838-013,,,,,,,5118,853,5118,1,6,… of postsecular and ethical perspectives in critical theory. These reevaluate the persistence … ethics has become a shorthand in contemporary critical terminology.Nietzsche is harsh on …,,https://scholar.google.com/scholar?q=related:6y92lubTcNoJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
161,P Fuery,Cultural studies and critical theory,2000,,philpapers.org,https://philpapers.org/rec/FUECSA,https://scholar.google.com/scholar?cites=17620777952197662204&as_sdt=2005&sciodt=2007&hl=en,8,1/31/2024 10:28,,,,,,,,,161,6.71,161,1,24,"… thoroughly revised and updated, and new chapters have been added about the rise of visual cultures and the fierce contemporary debate between identity politics and queer theory. …",,https://scholar.google.com/scholar?q=related:_NXGSjCUifQJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
6617,J Zinn-Justin,Quantum field theory and critical phenomena,2021,,books.google.com,https://books.google.com/books?hl=en&lr=&id=jhYoEAAAQBAJ&oi=fnd&pg=PP1&dq=critical+theory%7Ccritical+theory&ots=cw__LSd255&sig=Zl3PJkPyS1HRikPgWMnQTJIiWRA,https://scholar.google.com/scholar?cites=15054711093619051689&as_sdt=2005&sciodt=2007&hl=en,9,1/31/2024 10:28,BOOK,,,,,,,,6617,2205.67,6617,1,3,"… We then discuss gauge theories, Abelian and non-Abelian. … of the renormalizablity of gauge theories. Chapter 27 contains … In Chapters 29–31, we focus on two-dimensional field theories…",,https://scholar.google.com/scholar?q=related:qcxL8_kT7dAJ:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3123,DD Bernal,"Critical race theory, Latino critical theory, and critical raced-gendered epistemologies: Recognizing students of color as holders and creators of knowledge",2002,Qualitative inquiry,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/107780040200800107,https://scholar.google.com/scholar?cites=6782785924708559661&as_sdt=2005&sciodt=2007&hl=en,10,1/31/2024 10:28,,10.1177/107780040200800107,,,,,,,3123,141.95,3123,1,22,… critical race theory (CRT) and Latina/Latino critical theory (LatCrit) to demonstrate how critical … students through a Eurocentric and a critical raced-gendered epistemological perspective …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c6a71209197215393c2c810fddc90a3f68695870,https://scholar.google.com/scholar?q=related:LevFndxLIV4J:scholar.google.com/&scioq=critical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
