Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
131,"J Sexton","Ante-anti-blackness",2012,"Lateral","JSTOR","https://www.jstor.org/stable/48671582","https://scholar.google.com/scholar?cites=623246826434259231&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-01 17:53:40","","","","",,,,,131,10.92,131,1,12,"Theory in black... is... a phobogenic designation. It occasions anxiety of thought; it is theory in jeopardy.[...] There is a form of illicit seeing... at the very beginnings of seeing black, which …","https://csalateral.org/section/theory/ante-anti-blackness-afterthoughts-sexton/","https://scholar.google.com/scholar?q=related:H-kAwa83pggJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
86,"PJ Hudson, K McKittrick","The geographies of blackness and anti-blackness",2014,"The CLR James Journal","JSTOR","https://www.jstor.org/stable/26752069","https://scholar.google.com/scholar?cites=16192797179092089419&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-01 17:53:40","","","","",,,,,86,8.60,43,2,10,"Let me start by asking you the prototypical question historically asked of Black people in Canada: Where are you from? That is, where are you from biographically and intellectually? …","","https://scholar.google.com/scholar?q=related:Szq7wz1fuOAJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
46,"A Bledsoe","The primacy of anti‐blackness",2020,"Area","Wiley Online Library","https://rgs-ibg.onlinelibrary.wiley.com/doi/abs/10.1111/area.12599","https://scholar.google.com/scholar?cites=178419798492590445&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-01 17:53:40","","10.1111/area.12599","","",,,,,46,11.50,46,1,4,"… This paper argues that anti-Blackness, as a logic which assumes … I demonstrate how anti-Blackness led to the displacement of a … of the fact that anti-Blackness eclipses class privilege. …","https://www.academia.edu/download/61864256/the_primacy_of_antiblackness20200122-107005-xjd145.pdf","https://scholar.google.com/scholar?q=related:bTEMhtzfeQIJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
48,"MK Jung, JHC Vargas","Antiblackness",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=oYsfEAAAQBAJ&oi=fnd&pg=PT157&dq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&ots=-8Mph0xo9p&sig=PN6ro2FqK4kOPyQRTcP-E8VPQBE","https://scholar.google.com/scholar?cites=3990503298949604630&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-01 17:53:40","BOOK","","","",,,,,48,16.00,24,2,3,"… The essays assembled in this book examine antiblackness across expansive coordinates of time, across the modern era. Antiblackness, they find, fundamentally structures the past and …","","https://scholar.google.com/scholar?q=related:FmXqmJsdYTcJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
251,"A Bledsoe, WJ Wright","The anti-Blackness of global capital",2019,"… and Planning D: Society and Space","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0263775818805102","https://scholar.google.com/scholar?cites=14293637889870204760&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-01 17:53:40","","10.1177/0263775818805102","","",,,,,251,50.20,126,2,5,"… the world—coincide with acts of anti-Blackness. In recognizing the connections between … to frame anti-Blackness as an effect of capitalist relations. Rather, we insist that anti-Blackness …","https://journals.sagepub.com/doi/full/10.1177/0263775818805102","https://scholar.google.com/scholar?q=related:WA_HDe4zXcYJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
870,"MJ Dumas","Against the dark: Antiblackness in education policy and discourse",2016,"Theory Into Practice","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00405841.2016.1116852","https://scholar.google.com/scholar?cites=11028311734561513316&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-01 17:53:40","","10.1080/00405841.2016.1116852","","",,,,,870,108.75,870,1,8,"… This article explains how a theorization of antiblackness allows one to more precisely identify … is informed by antiblackness, and consider what an awareness of antiblackness means for …","","https://scholar.google.com/scholar?q=related:ZJ_PkhdvDJkJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
33,"S Winnubst","The many lives of fungibility: Anti-blackness in neoliberal times",2021,"Biopolitics, Necropolitics, Cosmopolitics","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003152293-9/many-lives-fungibility-anti-blackness-neoliberal-times-shannon-winnubst","https://scholar.google.com/scholar?cites=14476635622054027603&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-01 17:53:40","","10.4324/9781003152293-9","","",,,,,33,11.00,33,1,3,"This article maps the many lives of the concept of fungibility in contemporary theories of both blackness and neoliberalism. Framed by the 2018 political chants across the US against ‘…","https://www.researchgate.net/profile/Shannon-Winnubst/publication/343514445_Journal_of_Gender_Studies_The_many_lives_of_fungibility_anti-blackness_in_neoliberal_times/links/5f2db70f458515b7290d3022/Journal-of-Gender-Studies-The-many-lives-of-fungibility-anti-blackness-in-neoliberal-times.pdf","https://scholar.google.com/scholar?q=related:U-FL02VX58gJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2,"KA Smalls","Introduction to the Forum on Language and Anti‐Blackness",2021,"Journal of Linguistic Anthropology","Wiley Online Library","https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1111/jola.12328","https://scholar.google.com/scholar?cites=10039794951361101880&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-01 17:53:40","","10.1111/jola.12328","","",,,,,2,0.67,2,1,3,"The co‐editors of this special issue thought it was important that we create a space in which language scholars might set our gaze squarely upon the varied ways anti‐Blackness/anti/…","https://www.academia.edu/download/79584381/JLA_2021_Smalls_Introduction_to_the_Forum_on_Language_and_Anti_Blackness.pdf","https://scholar.google.com/scholar?q=related:OICjrVCEVIsJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
6,"GJS Dei, GJS Dei","Reframing blackness, anti-blackness, and decoloniality",2017,"Reframing Blackness and Black Solidarities through …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-53079-6_3","https://scholar.google.com/scholar?cites=3240192846183373906&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-01 17:53:40","","10.1007/978-3-319-53079-6_3","","",,,,,6,0.86,3,2,7,"This chapter employs the “anti-colonial” to refer to a theorization of colonial and re-colonial relations and the implications of imperial structures on: (a) processes of knowledge …","","https://scholar.google.com/scholar?q=related:UpyF8Dl69ywJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
6,"M Goodwin","Law and anti-blackness",2020,"Mich. J. Race &L.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/mjrl26&section=14","https://scholar.google.com/scholar?cites=9009378875812147191&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-01 17:53:40","","","","",,,,,6,1.50,6,1,4,"The Lottery'is a short story that describes a fictional, bucolic small town in the United States. The townspeople seem lovely and perhaps even thoughtful about each other, until once per …","https://repository.law.umich.edu/cgi/viewcontent.cgi?article=1374&context=mjrl","https://scholar.google.com/scholar?q=related:9--wk1q-B30J:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
14,"D TuLINO, S KRISHNAMuRTHY, M Fall, S Browne","Resisting anti-blackness through counternarratives",2019,"The English Journal","JSTOR","https://www.jstor.org/stable/26836187","https://scholar.google.com/scholar?cites=13751163941457511975&as_sdt=2005&sciodt=2007&hl=en",11,"2024-02-01 17:53:40","","","","",,,,,14,2.80,4,4,5,"… of our schools, and that this form of “anti-Blackness” builds a permanence of racism and … negate anti-Blackness (Dumas). Further, this set of texts acts as a way to critique anti-Blackness …","https://www.academia.edu/download/62348740/Daniel_Tulino_EJ1092Nov19Resisting20200312-45231-9guhku.pdf","https://scholar.google.com/scholar?q=related:J0a8er_y1b4J:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
79,"A Olaloku-Teriba","Afro-pessimism and the (un) logic of anti-blackness",2018,"Historical Materialism","brill.com","https://brill.com/view/journals/hima/26/2/article-p96_5.xml","https://scholar.google.com/scholar?cites=11777818452201227442&as_sdt=2005&sciodt=2007&hl=en",12,"2024-02-01 17:53:40","","","","",,,,,79,13.17,79,1,6,"… limitations of ‘anti-blackness’ as an analysis of racialised oppression. Through the thought of Frantz Fanon and Steve Biko, among others, I argue that theories of ‘anti-blackness’, …","https://www.academia.edu/download/89507516/1569206x-0000165020220812-1-2uzbn9.pdf","https://scholar.google.com/scholar?q=related:ssR-EHs3c6MJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
145,"JHC Vargas","The denial of antiblackness: Multiracial redemption and black suffering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=YCp0DwAAQBAJ&oi=fnd&pg=PT6&dq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&ots=Z6QyXObh2v&sig=wn8Qr9gTJxNETJ_0Ayw1UQ1tyzo","https://scholar.google.com/scholar?cites=2045743287640916686&as_sdt=2005&sciodt=2007&hl=en",13,"2024-02-01 17:53:40","BOOK","","","",,,,,145,24.17,145,1,6,"… Costa Vargas examines how antiblackness affects society as a whole through analyses of … antiblackness, regardless of context. Ultimately, he asks why the denial of antiblackness …","","https://scholar.google.com/scholar?q=related:zgJ6aa7wYxwJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
7,"SD Hernández Adkins…","In the wake of anti-Blackness and Being: A provocation for do-gooders inscribed in whiteness",2021,"Curriculum Inquiry","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03626784.2020.1813001","https://scholar.google.com/scholar?cites=1847560189883390144&as_sdt=2005&sciodt=2007&hl=en",14,"2024-02-01 17:53:40","","10.1080/03626784.2020.1813001","","",,,,,7,2.33,4,2,3,"Curriculum studies, like nearly all education scholarship, are predicated on Black suffering and death. Inspired by Christina Sharpe’s treatise In the Wake: On Blackness and Being, we …","https://www.researchgate.net/profile/Sean-Hernandez-Adkins/publication/352112603_In_the_wake_of_anti-Blackness_and_Being_A_provocation_for_do-gooders_inscribed_in_whiteness/links/60c0d26ca6fdcc2e612bd361/In-the-wake-of-anti-Blackness-and-Being-A-provocation-for-do-gooders-inscribed-in-whiteness.pdf","https://scholar.google.com/scholar?q=related:wBgnMzTaoxkJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
54,"DMA Jenkins","Unspoken grammar of place: Anti-Blackness as a spatial imaginary in education",2021,"Journal of School Leadership","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1052684621992768","https://scholar.google.com/scholar?cites=2646674275504503193&as_sdt=2005&sciodt=2007&hl=en",15,"2024-02-01 17:53:40","","10.1177/1052684621992768","","",,,,,54,18.00,54,1,3,"This article builds from scholarship on anti-Blackness in education and spatial imaginaries in geography to theorize an anti-Black spatial imaginary as the prevailing spatial logic that …","https://journals.sagepub.com/doi/full/10.1177/1052684621992768","https://scholar.google.com/scholar?q=related:mTmcGzvguiQJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
12,"A Roy, WJ Wright, Y Al-Bulushi, A Bledsoe","'A world of many Souths':(anti) Blackness and historical difference in conversation with Ananya Roy",2020,"Urban Geography","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02723638.2020.1807164","https://scholar.google.com/scholar?cites=2086972520228031885&as_sdt=2005&sciodt=2007&hl=en",16,"2024-02-01 17:53:40","","10.1080/02723638.2020.1807164","","",,,,,12,3.00,3,4,4,"On 2–3 October 2018, an interdisciplinary group of scholars and community organizers were invited to participate in “(anti)Blackness in the American Metropolis,” 2-day workshop in …","","https://scholar.google.com/scholar?q=related:jY0xLHNq9hwJ:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3,"R Jackson, Z Brown, BA Wadley","Antiblackness",2021,"Encyclopedia of queer studies in …","brill.com","https://brill.com/downloadpdf/book/9789004506725/BP000015.pdf","https://scholar.google.com/scholar?cites=3400739118487500530&as_sdt=2005&sciodt=2007&hl=en",17,"2024-02-01 17:53:40","","","","",,,,,3,1.00,1,3,3,"… , antiblackness as a paradigm attends to the inability of prominent theories of racism to specify antiblackness … In this way, antiblackness analytically thinks with/in and against categories …","","https://scholar.google.com/scholar?q=related:8vY42zXaMS8J:scholar.google.com/&scioq=%22anti+blackness%22%7C%22anti+blackness%22%7C%22anti+blackness%22%7Cantiblackness%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
