Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
534,"M Althaus-Reid","The queer god",2004,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9780203331453/queer-god-marcella-althaus-reid","https://scholar.google.com/scholar?cites=1225477884037832142&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-01 20:24:40","BOOK","10.4324/9780203331453","","",,,,,534,26.70,534,1,20,"There are those who go to gay bars and salsa clubs with rosaries in their pockets, and who make camp chapels of their living rooms. Others enter churches with love letters hidden in …","https://transreads.org/wp-content/uploads/2022/03/2022-03-02_621f849230507_marcella-althausreid-the-queer-god.pdf","https://scholar.google.com/scholar?q=related:zh0shqTFAREJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
145,"WS Burroughs","Queer",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ZRvcCwAAQBAJ&oi=fnd&pg=PR5&dq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&ots=G_S5SCaDFD&sig=b3B15F8BadwR9zCSUuE1BZh1iv8","https://scholar.google.com/scholar?cites=13908600462279734774&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-01 20:24:40","BOOK","","","",,,,,145,10.36,145,1,14,"… in Burroughs' life, and Queer was an equally decisive turning … death is “carefully avoided” in Queer: in terms of its fiction… from his first—why only in Queer do we find the trademark comic-…","","https://scholar.google.com/scholar?q=related:9nUE9W1GBcEJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
503,"S Luhmann","Queering/querying pedagogy? Or, pedagogy is a pretty queer thing",2012,"Queer theory in education","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781410603760-6&type=chapterpdf","https://scholar.google.com/scholar?cites=16744263701802479886&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-01 20:24:40","","","","",,,,,503,41.92,503,1,12,"… what queer theory and pedagogy have to offer, I suggest that a queer pedagogy exceeds the incorporation of queer … I also suggest a queer pedagogy that draws on pedagogy’s curiosity …","","https://scholar.google.com/scholar?q=related:DnFnMx-TX-gJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
455,"L Duggan","Queering the state",2014,"Sex wars","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315786728-18/queering-state-lisa-duggan","https://scholar.google.com/scholar?cites=2373519044930642330&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-01 20:24:40","","10.4324/9781315786728-18","","",,,,,455,45.50,455,1,10,"… I would argue that we need to ἀnd a way to close the language gap in queer studies and queer politics. We need to do this especially with reference to the operations of the state. Tough …","https://sites.units.it/dotstoriafil/Duggan_Queering%20the%20state.pdf","https://scholar.google.com/scholar?q=related:miG39P5u8CAJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
701,"JL Mogul, AJ Ritchie, K Whitlock","Queer (in) justice: The criminalization of LGBT people in the United States",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=-UpV6JKaKHwC&oi=fnd&pg=PT5&dq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&ots=aa3ZQCjtDE&sig=mVdtOOwz8yYaN0bj6waUnl3nQPE","https://scholar.google.com/scholar?cites=16114335563483241481&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-01 20:24:40","BOOK","","","",,,,,701,53.92,234,3,13,"… Yet beyond the efforts of mainstream LGBT organizations toframe LGBT peopleas victims of … to bring queer experiences ofthe criminal legal system to thecenter of LGBT discourse and …","","https://scholar.google.com/scholar?q=related:CdzcTNGeod8J:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2305,"J Butler","Critically queer",2020,"Playing with fire","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780203760505-3/critically-queer-judith-butler","https://scholar.google.com/scholar?cites=13487151422353146943&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-01 20:24:40","","10.4324/9780203760505-3","","",,,,,2305,576.25,2305,1,4,"The term “queer” emerges as an interpellation which raises the question of the status of force and opposition, of stability and variability, within performativity. The term “queer” has …","https://www.academia.edu/download/55394916/Butler_Critically_Queer_93.pdf","https://scholar.google.com/scholar?q=related:P4RDucL8K7sJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
831,"KA Renn","LGBT and queer research in higher education: The state and status of the field",2010,"Educational researcher","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3102/0013189x10362579","https://scholar.google.com/scholar?cites=12507518685282202553&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-01 20:24:40","","10.3102/0013189x10362579","","",,,,,831,59.36,831,1,14,"… about LGBT and queer topics, scholarship on LGBT/queer people and … Lesbian, gay, bisexual, transgender (LGBT), and queer … are the source of much queer theory, they have remained …","https://vtechworks.lib.vt.edu/bitstream/handle/10919/87042/LGBTQResearchHigherEducation.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:uXPOAfqhk60J:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
324,"ALC Taskforce, A Harper, P Finnerty…","… for Lesbian, Gay, Bisexual, and Transgender Issues in Counseling Competencies for counseling with lesbian, gay, bisexual, queer, questioning, intersex, and ally …",2013,"Journal of LGBT …","Taylor &Francis","https://www.tandfonline.com/doi/full/10.1080/15538605.2013.755444","https://scholar.google.com/scholar?cites=6540375138231536797&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-01 20:24:40","","10.1080/15538605.2013.755444","","",,,,,324,29.45,81,4,11,"This document is intended to provide counseling and related professionals with competencies for working with lesbian, gay, bisexual, queer, intersex, questioning and ally (LGBQIQA) …","","https://scholar.google.com/scholar?q=related:nUwWLIkUxFoJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
327,"TSK Kong, D Mahoney, K Plummer","Queering the interview",2003,"Inside interviewing: New …","books.google.com","https://books.google.com/books?hl=en&lr=&id=erLspquhd5MC&oi=fnd&pg=PA91&dq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&ots=4r3zz37QmA&sig=oADIQ40H6bnMnVkFEpqdUKdkq-Q","https://scholar.google.com/scholar?cites=5708355319533601565&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-01 20:24:40","","","","",,,,,327,15.57,109,3,21,"The challenge lies in what each of us chooses to do when we represent our experiences. Whose rules do we follow? Will we make our own? What is the nature of the"" I,"" that so many of …","","https://scholar.google.com/scholar?q=related:HQODQOsmOE8J:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
86,"C Weber","From queer to queer IR",2014,"International Studies Review","academic.oup.com","https://academic.oup.com/isr/article-abstract/16/4/596/1852352","https://scholar.google.com/scholar?cites=7149337821198673139&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-01 20:24:40","","","","",,,,,86,8.60,86,1,10,"… what queer studies and queer international theories are and do. Queer studies and queer international theories primarily investigate how queer subjectivities and queer practices—the “…","","https://scholar.google.com/scholar?q=related:8-TPm96MN2MJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
163,"GD Shlasko","Queer (v.) Pedagogy",2005,"Equity &Excellence in Education","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10665680590935098","https://scholar.google.com/scholar?cites=3209569549768679325&as_sdt=2005&sciodt=2007&hl=en",11,"2024-02-01 20:24:40","","10.1080/10665680590935098","","",,,,,163,8.58,163,1,19,"… between queer theory and pedagogy. Then I address the question of why we need a queer pedagogy—that is, what does queer … Finally, I explore the implications of queer pedagogy for …","","https://scholar.google.com/scholar?q=related:nV_fH4CuiiwJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
513,"J Puar","Queer times, queer assemblages",2005,"","","","https://scholar.google.com/scholar?cites=13716079675657410128&as_sdt=2005&sciodt=2007&hl=en",12,"2024-02-01 20:24:40","CITATION","","","",,,,,513,27.00,513,1,19,"","http://jasbirkpuar.com/wp-content/uploads/2018/08/Queer-Times-Queer-Assemblages-1.pdf","https://scholar.google.com/scholar?q=related:UNaDSstNWb4J:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5552,"J Halberstam","The queer art of failure",2020,"","degruyter.com","https://www.degruyter.com/document/doi/10.1515/9780822394358/html","https://scholar.google.com/scholar?cites=8072598682848948875&as_sdt=2005&sciodt=2007&hl=en",13,"2024-02-01 20:24:40","BOOK","10.1515/9780822394358","","",,,,,5552,1388.00,5552,1,4,"A lively and thought-provoking examination of how the homogenizing tendencies of modern society might be resisted through the creative application of failure, forgetting, and passivity, …","","https://scholar.google.com/scholar?q=related:i3J_SbuhB3AJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
283,"K Watson","Queer theory",2005,"Group analysis","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0533316405049369","https://scholar.google.com/scholar?cites=3031441470963498199&as_sdt=2005&sciodt=2007&hl=en",14,"2024-02-01 20:24:40","","10.1177/0533316405049369","","",,,,,283,14.89,283,1,19,"… Does the mainstreaming of queer mean the normalization of queer? Or does a notion of queer necessarily shape shift according to the changing boundaries of normal? Has queer …","","https://scholar.google.com/scholar?q=related:17wq4vTXESoJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
395,"N Giffney, MJ Hird","Introduction: Queering the non/human",2016,"Queering the non/human","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315603308-1/introduction-noreen-giffney-myra-hird","https://scholar.google.com/scholar?cites=15639345782732673179&as_sdt=2005&sciodt=2007&hl=en",15,"2024-02-01 20:24:40","","10.4324/9781315603308-1","","",,,,,395,49.38,198,2,8,"… A queering of queer theory we might say. Looking at this last example, although it … queer theory invoke considerations of what we do with queer theory. How, in other words, does queer …","https://www.academia.edu/download/34313339/EM302912.pdf#page=30","https://scholar.google.com/scholar?q=related:m9BI6yAeCtkJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
151,"I Barnard","Queer race",1999,"Social semiotics","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10350339909360432","https://scholar.google.com/scholar?cites=4852225631136521173&as_sdt=2005&sciodt=2007&hl=en",16,"2024-02-01 20:24:40","","10.1080/10350339909360432","","",,,,,151,6.04,151,1,25,"… teleology for queer politics, and white-wash Queer Theory. This essay asks how Queer Theory can contribute to anti-racist work by interrogating the role that queer sexualities play in …","https://www.researchgate.net/profile/Ian-Barnard/publication/240533702_Queer_Race/links/5c9bb7de299bf111694bbd86/Queer-Race.pdf","https://scholar.google.com/scholar?q=related:1Rvw2YCRVkMJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
318,"P Dilley","Queer theory: Under construction",1999,"International Journal of Qualitative Studies in …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/095183999235890","https://scholar.google.com/scholar?cites=2655379614128356453&as_sdt=2005&sciodt=2007&hl=en",17,"2024-02-01 20:24:40","","10.1080/095183999235890","","",,,,,318,12.72,318,1,25,"… queer and queer theory have been applied to qualitative studies. The multiple definitions of queer … The advancement of the tenets of queer theory is outlined chronologically, to display …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=57f38ae71b47fb5fc536611d832988f6a0760abe","https://scholar.google.com/scholar?q=related:ZTzvs7DN2SQJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
398,"J Ward","Respectably queer: Diversity culture in LGBT activist organizations",2008,"","muse.jhu.edu","https://muse.jhu.edu/pub/167/monograph/book/19828","https://scholar.google.com/scholar?cites=10544770948257742835&as_sdt=2005&sciodt=2007&hl=en",18,"2024-02-01 20:24:40","BOOK","","","",,,,,398,24.88,398,1,16,"… and easily measurable forms of difference, a trend at odds with queer resistance. … world of queer pride festivals. She spotlights dissenting voices in a queer organization where diversity …","","https://scholar.google.com/scholar?q=related:8__CEE-NVpIJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
455,"S Jeffreys","Unpacking queer politics",2002,"","materialfeminista.milharal.org","https://materialfeminista.milharal.org/files/2012/08/Introdu%C3%A7%C3%A3o-Unpacking-Queer-Politics-Sheila-Jeffreys.pdf","https://scholar.google.com/scholar?cites=3527714468517886688&as_sdt=2005&sciodt=2007&hl=en",19,"2024-02-01 20:24:40","BOOK","","","",,,,,455,20.68,455,1,22,"… chamada política queer. … política queer, devem ser entendidas como formas de auto-injúria que resultam da opressão de lésbicas e homens gays. A agenda política da política queer …","https://materialfeminista.milharal.org/files/2012/08/Introdu%C3%A7%C3%A3o-Unpacking-Queer-Politics-Sheila-Jeffreys.pdf","https://scholar.google.com/scholar?q=related:4LoDVZ719DAJ:scholar.google.com/&scioq=lgbt%7Clgbtqia%7Cqueer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
