Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19470,SM Alamouti,A simple transmit diversity technique for wireless communications,1998,IEEE Journal on selected areas in …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/730453/,https://scholar.google.com/scholar?cites=5152251238329983852&as_sdt=2005&sciodt=2007&hl=en,71,1/30/2024 17:26,,,,,,,,,19470,748.85,19470,1,26,… mit diversity scheme. Using two transmit antennas and one receive antenna the scheme provides the same diversity … and MM receive antennas to provide a diversity order of 2MM. The …,https://www.academia.edu/download/27366910/stc.pdf,https://scholar.google.com/scholar?q=related:bKM5FjR5gEcJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
167,F Pine,Diversity and direction in psychoanalytic technique,1998,,books.google.com,https://books.google.com/books?hl=en&lr=&id=TqV1tt_gggcC&oi=fnd&pg=PA1&dq=diversity%7Cequity%7Cinclusion&ots=kuSbH56Vdr&sig=CLepnQs_CqrmaBs-yPCHMZjAj9M,https://scholar.google.com/scholar?cites=4396952419809670209&as_sdt=2005&sciodt=2007&hl=en,99,1/30/2024 17:26,BOOK,,,,,,,,167,6.42,167,1,26,… of the diversity central to current psychoanalytic thought. Chapter 1 spells out the underpinnings of the evolution of diversity in … The review of issues underlying the evolution of diversity …,,https://scholar.google.com/scholar?q=related:QbQMBe4cBT0J:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
164,"A Igersheim, PK Endress",Gynoecium diversity and systematics of the paleoherbs,1998,Botanical Journal of the Linnean …,academic.oup.com,https://academic.oup.com/botlinnean/article-abstract/127/4/289/2557290,https://scholar.google.com/scholar?cites=16412551652629134813&as_sdt=2005&sciodt=2007&hl=en,108,1/30/2024 17:26,,,,,,,,,164,6.31,82,2,26,"Gynoecium and ovule structure was compared in representatives of all families of the paleoherbs, including Nymphaeales (Cabombaceae, Nymphaeaceae), Piperales (Saururaceae, …",,https://scholar.google.com/scholar?q=related:3b21SMUYxeMJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3266,"P Hugenholtz, BM Goebel, NR Pace",Impact of culture-independent studies on the emerging phylogenetic view of bacterial diversity,1998,Journal of bacteriology,Am Soc Microbiol,https://journals.asm.org/doi/abs/10.1128/JB.180.18.4765-4774.1998,https://scholar.google.com/scholar?cites=2552114502396188015&as_sdt=2005&sciodt=2007&hl=en,166,1/30/2024 17:26,,10.1128/JB.180.18.4765-4774.1998,,,,,,,3266,125.62,1089,3,26,"… Our knowledge of the extent and character of microbial diversity has been limited, however, … diversity was limited and point to a wealth of novel and environmentally important diversity …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC107498/,https://scholar.google.com/scholar?q=related:b5VyRZ7uaiMJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
3413,"SH Teoh, I Welch, TJ Wong",Earnings management and the underperformance of seasoned equity offerings,1998,Journal of Financial economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0304405X98000324,https://scholar.google.com/scholar?cites=940938459181993479&as_sdt=2005&sciodt=2007&hl=en,178,1/30/2024 17:26,,,,,,,,,3413,131.27,1138,3,26,Seasoned equity issuers can raise reported earnings by altering discretionary accounting accruals. We find that issuers who adjust discretionary current accruals to report higher net …,https://escholarship.org/content/qt03m9r47g/qt03m9r47g.pdf,https://scholar.google.com/scholar?q=related:B84LF4viDg0J:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
163,"I Szmigin, H Bourne",Consumer equity in relationship marketing,1998,Journal of Consumer Marketing,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/07363769810240545/full/html,https://scholar.google.com/scholar?cites=1012975914023716947&as_sdt=2005&sciodt=2007&hl=en,221,1/30/2024 17:26,,10.1108/07363769810240545,,,,,,,163,6.27,82,2,26,"… terms (“actual equity”), or to change his perception of the balance (“psychological equity”). A … First, however, we question again whether equity can and should lead to mutually exclusive …",,https://scholar.google.com/scholar?q=related:UwhpETrQDg4J:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2843,"DC Lau, JK Murnighan",Demographic diversity and faultlines: The compositional dynamics of organizational groups,1998,Academy of management review,journals.aom.org,https://journals.aom.org/doi/abs/10.5465/amr.1998.533229,https://scholar.google.com/scholar?cites=5501317716864672938&as_sdt=2005&sciodt=2007&hl=en,229,1/30/2024 17:26,,10.5465/amr.1998.533229,,,,,,,2843,109.35,1422,2,26,"… We suggest that diversity and faultline strength both … We limit our consideration of diversity to demographic differences… characteristics do not contribute to the diversity of a group, for they …",https://www.academia.edu/download/95469427/demographic_diversity_and_faultlines-_the_compositional_dynamics_of_organizational_groups.pdf,https://scholar.google.com/scholar?q=related:qiRI9lCbWEwJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2996,JP Grime,"Benefits of plant diversity to ecosystems: immediate, filter and founder effects",1998,Journal of Ecology,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2745.1998.00306.x,https://scholar.google.com/scholar?cites=16416750340904750660&as_sdt=2005&sciodt=2007&hl=en,253,1/30/2024 17:26,,10.1046/j.1365-2745.1998.00306.x,,,,,,,2996,115.23,2996,1,26,"… Where the landscape carousel operates against a background of declining diversity in the reservoir of colonizing transients, we may predict that a progressive loss of ecosystem …",https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2745.1998.00306.x,https://scholar.google.com/scholar?q=related:RI7mk3QD1OMJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
4382,"MGA Van Der Heijden, JN Klironomos, M Ursic, ...","Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",1998,Nature,nature.com,https://www.nature.com/articles/23932,https://scholar.google.com/scholar?cites=9198313879113591491&as_sdt=2005&sciodt=2007&hl=en,271,1/30/2024 17:26,,,,,,,,,4382,168.54,1096,4,26,… and the diversity of plants in a given ecosystem can be dependent on the diversity of the fungal … that AMF should be considered as determinants of plant diversity in natural ecosystems. …,https://serval.unil.ch/resource/serval:BIB_2B45C4CA31A8.P001/REF.pdf,https://scholar.google.com/scholar?q=related:w2ocAb35pn8J:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
6178,"AN Berger, GF Udell",The economics of small business finance: The roles of private equity and debt markets in the financial growth cycle,1998,Journal of banking &finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378426698000387,https://scholar.google.com/scholar?cites=7804889352439572177&as_sdt=2005&sciodt=2007&hl=en,286,1/30/2024 17:26,HTML,,,,,,,,6178,237.62,3089,2,26,This article examines the economics of financing small business in private equity and debt markets. Firms are viewed through a financial growth cycle paradigm in which different capital …,https://www.sciencedirect.com/science/article/pii/S0378426698000387,https://scholar.google.com/scholar?q=related:0aZjk4OJUGwJ:scholar.google.com/&scioq=diversity%7Cequity%7Cinclusion&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
