Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13600,"R Delgado, J Stefancic","Critical race theory: An introduction",2023,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=tqCUEAAAQBAJ&oi=fnd&pg=PP1&dq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&ots=MD37CoDhJv&sig=YdsWTtPfLs5uFeZx3kmH71L0mD8","https://scholar.google.com/scholar?cites=1233620871006995619&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-01 22:01:51","BOOK","","","",,,,,13600,13600.00,6800,2,1,"… writers in the critical race theory, feminist, and critical legal studies communities who have … racism and economic oppression— between race and class— are topics of great interest to …","https://scholarship.law.ua.edu/cgi/viewcontent.cgi?article=1046&context=fac_working_papers","https://scholar.google.com/scholar?q=related:o0Tha6WzHhEJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5338,"R Delgado, J Stefancic","Critical race theory: The cutting edge",2000,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Hd1MpNYWAaoC&oi=fnd&pg=PR13&dq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&ots=4qz2rs-D4_&sig=gvW_RpN0tZib1XP19GT3FXpph3s","https://scholar.google.com/scholar?cites=4730579617245452578&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-01 22:01:51","BOOK","","","",,,,,5338,222.42,2669,2,24,"… legal genre of critical race theory--a field which is changing the way this nation looks at race, … new, exciting topics--Critical Race Feminism and Critical White Studies--this volume is truly …","http://scholarshipweekend.oglethorpe.edu/wp-content/uploads/sites/21/2022/01/Terry-critical-race-theory-intro.pdf","https://scholar.google.com/scholar?q=related:IlmeIxllpkEJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
7136,"G Ladson-Billings","Just what is critical race theory and what's it doing in a nice field like education?",2020,"Critical race theory in education","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003005995-2/critical-race-theory-nice-field-like-education-gloria-ladson-billings","https://scholar.google.com/scholar?cites=2132355185443957282&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-01 22:01:51","","10.4324/9781003005995-2","","",,,,,7136,1784.00,7136,1,4,"… Critical race theory begins with the notion that racism is normal in American society. It departs from mainstream legal scholarship by sometimes employing storytelling. It critiques …","https://defendinged.org/wp-content/uploads/2022/04/Just-what-is-critical-race-theory-and-whats-it-doing-in-a-nice-field-like-education_.pdf","https://scholar.google.com/scholar?q=related:ImpZU76llx0J:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2180,"BMKJ Brayboy","Toward a tribal critical race theory in education",2005,"The urban review","Springer","https://link.springer.com/article/10.1007/s11256-005-0018-y","https://scholar.google.com/scholar?cites=1393907958692908886&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-01 22:01:51","","10.1007/s11256-005-0018-y","","",,,,,2180,114.74,2180,1,19,"… Critical Race Theory evolved in the mid-1970s as a response to Critical Legal Studies (CLS). … specifically focused on race and racism (Delgado &Stefancic, 2000). While CRT centers …","https://www.iirp.edu/images/pdf/AvNtDE_EDUC_701_-_Brayboys_Toward_a_Tribal_Critical_Race_Theory_in_Education.pdf","https://scholar.google.com/scholar?q=related:Vg97N-cnWBMJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1547,"AD Dixson, CK Rousseau","And we are still not saved: Critical race theory in education ten years later",2005,"Race ethnicity and education","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1361332052000340971","https://scholar.google.com/scholar?cites=12271508852763192935&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-01 22:01:51","","10.1080/1361332052000340971","","",,,,,1547,81.42,774,2,19,"… critical race theory of education’. In this article, the authors proposed that critical race theory (… , could be employed to examine the role of race and racism in education. Within a few years …","","https://scholar.google.com/scholar?q=related:Z-4Cy0goTaoJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2422,"DG Solórzano","Critical race theory, race and gender microaggressions, and the experience of Chicana and Chicano scholars",1998,"International journal of qualitative studies in …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/095183998236926","https://scholar.google.com/scholar?cites=5920475848711238912&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-01 22:01:51","","10.1080/095183998236926","","",,,,,2422,93.15,2422,1,26,"… race and racism, Kimberle! Crenshaw and her colleagues have argued that critical race theory … race discourse and a race intervention into left discourse’’ (Crenshaw et al., 1995, p. xix). …","https://www.academia.edu/download/61844281/Critical_Race_Theory__Racial_and_Gender_Microaggressions__and_the_Experiences_of_Chicana_and_Chicano_Scholars.pdf","https://scholar.google.com/scholar?q=related:AHW2l2rBKVIJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
12018,"TJ Yosso*","Whose culture has capital? A critical race theory discussion of community cultural wealth",2005,"Race ethnicity and education","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1361332052000341006","https://scholar.google.com/scholar?cites=11173966978219876646&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-01 22:01:51","","10.1080/1361332052000341006","","",,,,,12018,632.53,12018,1,19,"… scope of discussions of race and racism, I define CRT in education as a theoretical and analytical framework that challenges the ways race and racism impact educational structures, …","https://www.physics.rutgers.edu/rumipa/eijc_resources/Liam_paper2.pdf","https://scholar.google.com/scholar?q=related:JqG9tMPnEZsJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1892,"D Gillborn*","Education policy as an act of white supremacy: Whiteness, critical race theory and education reform",2005,"Journal of education policy","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02680930500132346","https://scholar.google.com/scholar?cites=4166101656460847847&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-01 22:01:51","","10.1080/02680930500132346","","",,,,,1892,99.58,1892,1,19,"… critical theory. In particular, I draw on ‘whiteness studies’ and the application of critical race theory (… These perspectives offer a new and radical way of conceptualizing the role of racism …","https://discovery.ucl.ac.uk/id/eprint/10001654/1/gillborn2005education485text.pdf","https://scholar.google.com/scholar?q=related:5-qDM2L30DkJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2186,"T Yosso, W Smith, M Ceja…","Critical race theory, racial microaggressions, and campus racial climate for Latina/o undergraduates",2009,"Harvard Educational …","meridian.allenpress.com","https://meridian.allenpress.com/her/article-abstract/79/4/659/32043","https://scholar.google.com/scholar?cites=12564537963622814289&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-01 22:01:51","","","","",,,,,2186,145.73,547,4,15,"… A critical race theory and Latina/o critical theory analysis of … International Journal of Qualitative Studies in Education, 16(5… A critical race theory and Latina/o critical theory analysis of …","https://www.researchgate.net/profile/William-Smith-21/publication/279741828_Critical_Race_Theory_Racial_Microaggressions_and_Campus_Racial_Climate_for_Latinao_Undergraduates/links/55b169d908ae9289a084d05c/Critical-Race-Theory-Racial-Microaggressions-and-Campus-Racial-Climate-for-Latina-o-Undergraduates.pdf","https://scholar.google.com/scholar?q=related:UdKlSLU0Xq4J:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5618,"D Solorzano, M Ceja, T Yosso","Critical race theory, racial microaggressions, and campus racial climate: The experiences of African American college students",2000,"Journal of Negro education","JSTOR","https://www.jstor.org/stable/2696265","https://scholar.google.com/scholar?cites=17546516852225430250&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-01 22:01:51","","","","",,,,,5618,234.08,1873,3,24,"… critical race theory as aframework, the study described in this article provides an examination of racial … justifies the dominance of one race over another, then how do we define racism? …","https://www.middlesex.mass.edu/rlos/748/critical-race-theory.pdf","https://scholar.google.com/scholar?q=related:6lJNlhzAgfMJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
