Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2057,"C FitzGerald, S Hurst","Implicit bias in healthcare professionals: a systematic review",2017,"BMC medical ethics","bmcmedethics.biomedcentral.com","https://bmcmedethics.biomedcentral.com/articles/10.1186/s12910-017-0179-8?report=reader","https://scholar.google.com/scholar?cites=15294745117392443625&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-01 22:45:54","HTML","10.1186/s12910-017-0179-8","","",,,,,2057,293.86,1029,2,7,"… professionals display implicit biases towards patients. … We included all types of implicit bias in our review, not only race bias, … into other biases. It is possibly the case that a wider range of …","https://bmcmedethics.biomedcentral.com/articles/10.1186/s12910-017-0179-8?report=reader","https://scholar.google.com/scholar?q=related:6RhRNKbZQdQJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1351,"EN Chapman, A Kaatz, M Carnes","Physicians and implicit bias: how doctors may unwittingly perpetuate health care disparities",2013,"Journal of general internal medicine","Springer","https://link.springer.com/article/10.1007/s11606-013-2441-1","https://scholar.google.com/scholar?cites=719088414665251107&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-01 22:45:54","","10.1007/s11606-013-2441-1","","",,,,,1351,122.82,450,3,11,"… to unintended biases in decision-making, so called “implicit bias”. All of society is susceptible to these biases, including physicians. Research suggests that implicit bias may contribute …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797360/","https://scholar.google.com/scholar?q=related:I5k4bhq3-gkJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1765,"AR Green, DR Carney, DJ Pallin, LH Ngo…","Implicit bias among physicians and its prediction of thrombolysis decisions for black and white patients",2007,"Journal of general …","Springer","https://link.springer.com/article/10.1007/s11606-007-0258-5","https://scholar.google.com/scholar?cites=12293708788035173256&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-01 22:45:54","HTML","10.1007/s11606-007-0258-5","","",,,,,1765,103.82,353,5,17,"… implicit biases among physicians. In this study, we used a race preference IAT to measure implicit biases … sought to determine whether implicit or explicit race biases predict physicians’ …","https://link.springer.com/article/10.1007/s11606-007-0258-5","https://scholar.google.com/scholar?q=related:iDvvAgIHnKoJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1859,"AG Greenwald, LH Krieger","Implicit bias: Scientific foundations",2006,"California law review","JSTOR","https://www.jstor.org/stable/20439056","https://scholar.google.com/scholar?cites=1724107788212389777&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-01 22:45:54","","","","",,,,,1859,103.28,930,2,18,"… This Article introduces implicit bias-an aspect of the new … Theories of implicit bias contrast with the ""naive"" psychological … Implicit biases are discriminatory biases based on implicit …","https://scholarspace.manoa.hawaii.edu/bitstreams/cccf922b-2a03-441a-940a-90960f3b442c/download","https://scholar.google.com/scholar?q=related:kUfiDuZC7RcJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2070,"WJ Hall, MV Chapman, KM Lee…","Implicit racial/ethnic bias among health care professionals and its influence on health care outcomes: a systematic review",2015,"… journal of public …","ajph.aphapublications.org","https://ajph.aphapublications.org/doi/abs/10.2105/ajph.2015.302903","https://scholar.google.com/scholar?cites=14504959746072307725&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-01 22:45:54","","10.2105/ajph.2015.302903","","",,,,,2070,230.00,518,4,9,"… must ascertain the prevalence of biased attitudes among health care providers and whether … that only examined explicit bias, as well as studies that examined implicit bias that was not …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4638275/?fbclid=IwAR1KRsfOQzGKLBVQSUqf0jQmhW8lwXmFJw39reJ4DZQhCDX2ew_AKPdocBg","https://scholar.google.com/scholar?q=related:Dej62Qn4S8kJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1635,"PG Devine, PS Forscher, AJ Austin, WTL Cox","Long-term reduction in implicit race bias: A prejudice habit-breaking intervention",2012,"Journal of experimental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022103112001369","https://scholar.google.com/scholar?cites=18016691607776149336&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-01 22:45:54","","","","",,,,,1635,136.25,409,4,12,"… and implicit bias reduction strategies to develop an intervention to help people reduce implicit biases and … of their bias, all participants completed a measure of implicit bias and received …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603687/","https://scholar.google.com/scholar?q=related:WD9CjY8lCPoJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1210,"PG Devine, EA Plant, DM Amodio…","The regulation of explicit and implicit race bias: the role of motivations to respond without prejudice.",2002,"Journal of personality …","psycnet.apa.org","https://psycnet.apa.org/record/2002-12575-011","https://scholar.google.com/scholar?cites=16330991576543106650&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-01 22:45:54","","","","",,,,,1210,55.00,303,4,22,"… Although the presence of implicit bias may contribute to discriminatory behavior, we feel that it is important to distinguish such biases from explicitly held prejudiced attitudes and beliefs. …","https://amodiolab.org/wp-content/uploads/2019/04/Devine_etal_2002.pdf","https://scholar.google.com/scholar?q=related:Wpa_RVBWo-IJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
91,"JB Leitner, E Hehman, O Ayduk…","Racial bias is associated with ingroup death rate for Blacks and Whites: Insights from Project Implicit",2016,"Social Science & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0277953616305664","https://scholar.google.com/scholar?cites=6522451885352955808&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-01 22:45:54","","","","",,,,,91,11.38,23,4,8,"… , though this relationship is driven by implicit bias for Blacks, and explicit bias for Whites. … Blacks’ implicit and explicit biases in predicting ingroup health outcomes at a community level. …","https://www.sciencedirect.com/science/article/am/pii/S0277953616305664","https://scholar.google.com/scholar?q=related:oC8Kq25nhFoJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1215,"AS Baron, MR Banaji","The development of implicit attitudes: Evidence of race evaluations from ages 6 and 10 and adulthood",2006,"Psychological science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2005.01664.x","https://scholar.google.com/scholar?cites=15228854068801593876&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-01 22:45:54","","10.1111/j.1467-9280.2005.01664.x","","",,,,,1215,67.50,608,2,18,"… bias in the same direction. In 10-year-olds and adults, the same magnitude of implicit race bias was observed, although self-reported race attitudes became substantially less biased in …","https://www2.psych.ubc.ca/~abaron/downloads/Baron_Banaji_PS2006.pdf","https://scholar.google.com/scholar?q=related:FGIu8xbCV9MJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2501,"W Hofmann, B Gawronski…","A meta-analysis on the correlation between the Implicit Association Test and explicit self-report measures",2005,"Personality and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167205275613","https://scholar.google.com/scholar?cites=4888328728717829047&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-01 22:45:54","","10.1177/0146167205275613","","",,,,,2501,131.63,834,3,19,"… Theoretically, low correlations between implicit and explicit measures can be due to (a) motivational biases in explicit self reports, (b) lack of … Measuring implicit intergroup biases …","http://bertramgawronski.com/documents/HGGLS2005PSPB.pdf","https://scholar.google.com/scholar?q=related:tyOQTBTV1kMJ:scholar.google.com/&scioq=implicit+bias%7Cimplicit+bias%7Cimplicit+bias&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
