Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1307,"B Marianne","New perspectives on gender",2011,"Handbook of labor economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169721811024154","https://scholar.google.com/scholar?cites=17403495391188424754&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-02 13:42:11","","","","",,,,,1307,100.54,1307,1,13,"… identity model has been to gender identity and … gender) identity model in Section 3.1. Unfortunately, it has been difficult to design a credible causal testing of the impact of gender identity …","https://pdfs.semanticscholar.org/939e/03fd79cb7650d081b3230bdf838088621315.pdf","https://scholar.google.com/scholar?q=related:MhjvwdmihfEJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2671,"D Gauntlett","Media, gender and identity: An introduction",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ScR9AgAAQBAJ&oi=fnd&pg=PP1&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=cRU_uuViqz&sig=xcD_X8XMzVvypJ3XkSHXzgprock","https://scholar.google.com/scholar?cites=8493850044708946638&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-02 13:42:11","BOOK","","","",,,,,2671,166.94,2671,1,16,"… Researchers have studied all of these aspects of identity. This book generally confines itself to discussing gender, though, as one particular part of identity which all individuals, in …","","https://scholar.google.com/scholar?q=related:zgJQAp034HUJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2098,"LL Lindsey","Gender: Sociological Perspectives",2020,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=N90NEAAAQBAJ&oi=fnd&pg=PP1&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=SSRPuqHyTC&sig=ELF1KGlteXWbn3-2JxPO4petJnw","https://scholar.google.com/scholar?cites=16320363764418844926&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-02 13:42:11","BOOK","","","",,,,,2098,524.50,2098,1,4,"… explore gender sociologically, as a critical and fundamental dimension of a person’s identity… that challenge conventional thought about the gender binary and the stereotypes that result. …","","https://scholar.google.com/scholar?q=related:_phX71-UfeIJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1233,"SK Egan, DG Perry","Gender identity: a multidimensional analysis with implications for psychosocial adjustment.",2001,"Developmental psychology","psycnet.apa.org","https://psycnet.apa.org/record/2001-01084-001","https://scholar.google.com/scholar?cites=5504712365877853536&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-02 13:42:11","","","","",,,,,1233,53.61,617,2,23,"… gender identity and psychosocial adjustment. The aspects of … We view gender identity as a multidimensional construct … in a gender category, (b) felt compatibility with his or her gender …","https://agnodice.ch/wp-content/uploads/2017/11/Gender-Identity-A-Multidimensional-Analysis-With-Implications-for-Psychosocial-Adjustment.pdf","https://scholar.google.com/scholar?q=related:YH3ZRruqZEwJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
90459,"J Butler","Gender trouble",2002,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9780203902752/gender-trouble-judith-butler","https://scholar.google.com/scholar?cites=15240617016012597473&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-02 13:42:11","BOOK","10.4324/9780203902752","","",,,,,90459,4111.77,90459,1,22,"… What other foundational categories of identity—the binary of sex, gender, and the body—can … Within the spectrum of French feminist and poststructuralist theory, very different regimes of …","http://eng296.digitalwcu.org/wp-content/uploads/2018/09/butler-gender-trouble-chapter-1-w-RC-selections.pdf","https://scholar.google.com/scholar?q=related:4Wg0hW2MgdMJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1954,"D Crane","Fashion and its social agendas: Class, gender, and identity in clothing",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=VT_r8GgEoKkC&oi=fnd&pg=PR6&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=fbWbu8phpy&sig=jlUTszZkV-pMBKNGqHWLn3w3MtI","https://scholar.google.com/scholar?cites=15409895704859078200&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-02 13:42:11","BOOK","","","",,,,,1954,162.83,1954,1,12,"… of social identity signified in clothing with late twentieth-century America, where lifestyle, gender, … information about women's perceptions of female identity and sexuality in the fashion …","","https://scholar.google.com/scholar?q=related:OG7xmX_y2tUJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3197,"L McDowell","Gender, identity and place: Understanding feminist geographies",1999,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=v1kaDaav0V8C&oi=fnd&pg=PP12&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=84JbN-6Af0&sig=lDYuV-0P4VphEUJSDrK03PJJ7Is","https://scholar.google.com/scholar?cites=11751882933028541375&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-02 13:42:11","BOOK","","","",,,,,3197,127.88,3197,1,25,"… Despite the fact that feminist scholars have convincingly demonstrated the flawed nature of binary assumptions, the belief in binary gender divisions has remained a key element of …","https://www.researchgate.net/profile/Lorna-Israel-2/publication/295083714_Gender_Identity_and_Place_Understanding_Feminist_Geographies_-_by_Linda_McDowell_Minneapolis_University_of_Minnesota_Press_1999_284_pp/links/5b56817245851507a7c408cd/Gender-Identity-and-Place-Understanding-Feminist-Geographies-by-Linda-McDowell-Minneapolis-University-of-Minnesota-Press-1999-284-pp.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:v1MkcUMTF6MJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5336,"R Connell","Gender",2009,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=3CUwJ5MvnaIC&oi=fnd&pg=PR7&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=YtGHFmcRf-&sig=dGycomj2B_zqDxYWjLa9RIgZq6Q","https://scholar.google.com/scholar?cites=8477656214033835896&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-02 13:42:11","BOOK","","","",,,,,5336,355.73,5336,1,15,"… Accordingly, the book draws on a spectrum of the human sciences, from psychology and … a name for the sense of belonging to a gender category. Identity includes our ideas of what that …","","https://scholar.google.com/scholar?q=related:eKde_WivpnUJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2002,"M Alvesson, YD Billing","Understanding gender and organizations",2009,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=GPsn7Ccwi7wC&oi=fnd&pg=PP2&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=QA166sp2Kl&sig=r8eWWdxWHNsgQzNWCI_9vLUhBu4","https://scholar.google.com/scholar?cites=2591377936484802120&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-02 13:42:11","BOOK","","","",,,,,2002,133.47,1001,2,15,"… gender constructions and how people ‘do gender’. Of course, it is also of interest to consider how identity may be non-… less bothered about defining themselves in gender terms, eg when …","","https://scholar.google.com/scholar?q=related:SB725oBs9iMJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2029,"American Psychological Association","Guidelines for psychological practice with transgender and gender nonconforming people",2015,"American psychologist","academia.edu","https://www.academia.edu/download/55295860/sexuality-definitions.pdf","https://scholar.google.com/scholar?cites=692784709603570549&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-02 13:42:11","PDF","","","",,,,,2029,225.44,2029,1,9,"… a person whose gender identity does not align with a binary understanding of gender (ie, a … Genderqueer refers to a person whose gender identity falls outside of the gender binary (ie, …","https://www.academia.edu/download/55295860/sexuality-definitions.pdf","https://scholar.google.com/scholar?q=related:dTO-2QVEnQkJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
