Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
271,"P Duara","Decolonization: Perspectives from now and then",2004,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=04-BAgAAQBAJ&oi=fnd&pg=PP1&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&ots=NdYwEvuSsS&sig=3GyBHUqua1WcnFZ6aBAjaXpxx7A","https://scholar.google.com/scholar?cites=13417279435217780873&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-02 14:18:11","BOOK","","","",,,,,271,13.55,271,1,20,"… Few subjects are as appropriate as decolonization for this … Whether colonization and decolonization have completed their … of significant past participants in decolonization who sought …","","https://scholar.google.com/scholar?q=related:iUBP_I7AM7oJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5376,"RJC Young","Postcolonialism: An historical introduction",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=37mWDQAAQBAJ&oi=fnd&pg=PA9&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&ots=A0QCmn3gva&sig=9BPfA1WGa7Ge5v59kaHMnfNuugQ","https://scholar.google.com/scholar?cites=18124115165918943317&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-02 14:18:11","BOOK","","","",,,,,5376,672.00,5376,1,8,"… its very active relation to anticolo nialism and decolonization, the vastness of the task … decolonization, there were very few that looked at imperialism and the pressure for decolonization …","","https://scholar.google.com/scholar?q=related:VVjevLfKhfsJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
234,"M Kohn, K McBride","Political theories of decolonization: Postcolonialism and the problem of foundations",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LVfiBwAAQBAJ&oi=fnd&pg=PR7&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&ots=iDq6UWZzun&sig=u5iaDkkdgiq5mgwAn4WMH-QiPY4","https://scholar.google.com/scholar?cites=11461836489802418254&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-02 14:18:11","BOOK","","","",,,,,234,18.00,117,2,13,"… of the texts of decolonization and postcolonialism will greatly … of colonization and decolonization across different contexts … Seeing the dynamics of decolonization and postcolonialism …","","https://scholar.google.com/scholar?q=related:TohIYI-fEJ8J:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2713,"J McLeod","Beginning postcolonialism",2020,"Beginning postcolonialism (second edition)","manchesterhive.com","https://www.manchesterhive.com/display/9781526153531/9781526153531.xml","https://scholar.google.com/scholar?cites=17811374884577299685&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-02 14:18:11","","","","",,,,,2713,678.25,2713,1,4,"This book provides a sense of the continuing debates about postcolonialism while seeking to anchor some of its key themes and vocabularies securely. It takes as its primary focus, the …","","https://scholar.google.com/scholar?q=related:5UyLvBa3LvcJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
221,"V Mishra, B Hodge","What was postcolonialism?",2005,"New Literary History","JSTOR","https://www.jstor.org/stable/20057902","https://scholar.google.com/scholar?cites=10670084669618647207&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-02 14:18:11","","","","",,,,,221,11.63,111,2,19,"… of postcolonialism we are moved above all to insist on its pastness. We have not come to announce the"" end of postcolonialism,"" … Although Said said nothing about postcolonialism in his …","http://www.shirleymohr.com/JHU/Sample_Articles_JHUP/NLH_2005_36_3A.pdf","https://scholar.google.com/scholar?q=related:p_D1d3nBE5QJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
279,"J Hiddleston","Understanding postcolonialism",2014,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781315711669/understanding-postcolonialism-jane-hiddleston","https://scholar.google.com/scholar?cites=16750285162533344498&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-02 14:18:11","BOOK","10.4324/9781315711669","","",,,,,279,27.90,279,1,10,"… Postcolonialism frequently offers a challenge to colonialism, but … focus on the philosophical dimensions of postcolonialism, and will … of postcolonialism is beyond the scope of this study. …","","https://scholar.google.com/scholar?q=related:8tRLx5v3dOgJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
215,"AG Hopkins","Rethinking decolonization",2008,"Past and Present","academic.oup.com","https://academic.oup.com/past/article-abstract/200/1/211/1495779","https://scholar.google.com/scholar?cites=14433077290813200527&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-02 14:18:11","","","","",,,,,215,13.44,215,1,16,"The moment of decolonization is recorded by dates and signalled by ceremony: the guard, political as well as military, is changed; anthems are composed; flags are redesigned. When …","","https://scholar.google.com/scholar?q=related:j5ithlOXTMgJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
794,"C McEwan","Postcolonialism and development",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ORNV6hqqAFgC&oi=fnd&pg=PP1&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&ots=SIIN4m_0GB&sig=Dtsdwj64oX5_aOBuJOzRc8aFHeo","https://scholar.google.com/scholar?cites=11606925711660951455&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-02 14:18:11","BOOK","","","",,,,,794,49.63,794,1,16,"… Third, it explores the intersections of postcolonialism with … to both development and postcolonialism, outlines the key … some illustrations of why postcolonialism is of contemporary …","","https://scholar.google.com/scholar?q=related:nyfmSXAVFKEJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
410,"P Laenui","Processes of decolonization",2000,"Reclaiming Indigenous voice and vision","sjsu.edu","https://sjsu.edu/people/marcos.pizarro/maestros/Laenui.pdf","https://scholar.google.com/scholar?cites=12350211916007467813&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-02 14:18:11","PDF","","","",,,,,410,17.08,410,1,24,"Colonization and decolonization are social processes even more than they are political processes. Governance over a people changes only after the people themselves have …","https://sjsu.edu/people/marcos.pizarro/maestros/Laenui.pdf","https://scholar.google.com/scholar?q=related:Jetrqk3EZKsJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
49,"M Collins","Decolonization",2016,"The encyclopedia of empire","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118455074.wbeoe360","https://scholar.google.com/scholar?cites=11960711261558492000&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-02 14:18:11","","10.1002/9781118455074.wbeoe360","","",,,,,49,6.13,49,1,8,"… American Revolution through the lens of decolonization. Likewise, the end of … decolonization. However, one of the things that distinguishes these episodes from the later decolonization …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118455074.wbeoe360","https://scholar.google.com/scholar?q=related:YEs1loX7_KUJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22%7Cdecolonization%7Cdecolonization&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
