Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6921,"JL Kincheloe, P McLaren","Rethinking critical theory and qualitative research",2011,"Key works in critical pedagogy","brill.com","https://brill.com/downloadpdf/book/edcoll/9789460913976/BP000024.pdf","https://scholar.google.com/scholar?cites=6160108164789558780&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-02 15:21:46","","","","",,,,,6921,532.38,3461,2,13,"… people to explain more precisely what critical theory is. We find that question … critical theories, not just one; (b) the critical tradition is always changing and evolving; and (c) critical theory …","https://www.researchgate.net/profile/Peter-Mclaren-5/publication/261773451_Rethinking_Critical_Theory_and_Qualitative_Research/links/5ead3839a6fdcc7050a1aa5c/Rethinking-Critical-Theory-and-Qualitative-Research.pdf","https://scholar.google.com/scholar?q=related:_N1D_LwZfVUJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
4563,"L Tyson","Critical theory today: A user-friendly guide",2023,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=FDexEAAAQBAJ&oi=fnd&pg=PT11&dq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&ots=VoDzUfMVDp&sig=Go8olLQDkuN6mce0gGz6Yfle5NM","https://scholar.google.com/scholar?cites=13227743190116511306&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-02 15:21:46","BOOK","","","",,,,,4563,4563.00,4563,1,1,"… Another fact to keep in mind as we apply critical theories to The Great Gatsby and as you begin to use them to read other literary works is that different theoretical interpretations of the …","https://ds.amu.edu.et/xmlui/bitstream/handle/123456789/18163/critical%20theory%20today.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:Sq78CllikrcJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3914,"SK Ma","Modern theory of critical phenomena",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=R0haDwAAQBAJ&oi=fnd&pg=PR17&dq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&ots=zocqito9si&sig=8QIhVRrWOvD50mQkn0JwZlkVhaw","https://scholar.google.com/scholar?cites=13267890087302401895&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-02 15:21:46","BOOK","","","",,,,,3914,652.33,3914,1,6,"… Furthermore, it is easy to generalize the mean field theory to describe other kinds of critical points, owing to its simplicity and the transparent role played by the order parame- …","","https://scholar.google.com/scholar?q=related:Zw-W9LwDIbgJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3974,"C Belsey","Critical practice",2003,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9780203427491/critical-practice-catherine-belsey","https://scholar.google.com/scholar?cites=8799256563848030603&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-02 15:21:46","BOOK","10.4324/9780203427491","","",,,,,3974,189.24,3974,1,21,"… Critical theory accordingly appears as a perfectly respectable but to some degree … In this book I shall try to make the new theories as accessible as possible, without recuperating them …","","https://scholar.google.com/scholar?q=related:i6mvbzk9HXoJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
5122,"L Gandhi","Postcolonial theory: A critical introduction",2018,"","degruyter.com","https://www.degruyter.com/document/doi/10.7312/gand17838-013/html","https://scholar.google.com/scholar?cites=15740313684980150251&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-02 15:21:46","BOOK","10.7312/gand17838-013","","",,,,,5122,853.67,5122,1,6,"… of postsecular and ethical perspectives in critical theory. These reevaluate the persistence … ethics has become a shorthand in contemporary critical terminology.Nietzsche is harsh on …","","https://scholar.google.com/scholar?q=related:6y92lubTcNoJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
57,"R Shapcott","Critical theory",2008,"","academic.oup.com","https://academic.oup.com/edited-volume/34331/chapter/291355953","https://scholar.google.com/scholar?cites=7956876886476941544&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-02 15:21:46","","","","",,,,,57,3.56,57,1,16,"Critical Theory | The Oxford Handbook of International Relations | Oxford Academic … Theory of Art … Theory of Art …","","https://scholar.google.com/scholar?q=related:6Gj5816BbG4J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
161,"P Fuery","Cultural studies and critical theory",2000,"","philpapers.org","https://philpapers.org/rec/FUECSA","https://scholar.google.com/scholar?cites=17620777952197662204&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-02 15:21:46","","","","",,,,,161,6.71,161,1,24,"… thoroughly revised and updated, and new chapters have been added about the rise of visual cultures and the fierce contemporary debate between identity politics and queer theory. …","","https://scholar.google.com/scholar?q=related:_NXGSjCUifQJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
6619,"J Zinn-Justin","Quantum field theory and critical phenomena",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=jhYoEAAAQBAJ&oi=fnd&pg=PP1&dq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&ots=cw__M-d645&sig=zjf2QDtr1jUdwdGLsZLZCbNU0PQ","https://scholar.google.com/scholar?cites=15054711093619051689&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-02 15:21:46","BOOK","","","",,,,,6619,2206.33,6619,1,3,"… We then discuss gauge theories, Abelian and non-Abelian. … of the renormalizablity of gauge theories. Chapter 27 contains … In Chapters 29–31, we focus on two-dimensional field theories…","","https://scholar.google.com/scholar?q=related:qcxL8_kT7dAJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
11362,"L Hutcheon","A poetics of postmodernism: History, theory, fiction",2003,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=oAWKAgAAQBAJ&oi=fnd&pg=PP1&dq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&ots=4UgzSFf9jp&sig=ovm0J8Tf1b7O29HWMsk4J7L4O8Q","https://scholar.google.com/scholar?cites=18136593847641685405&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-02 15:21:46","BOOK","","","",,,,,11362,541.05,11362,1,21,"… of postmodernism, this section presents what I see as the major points of overlap between theory … imitation of the standard theories and definitions that are rooted in eighteenth-century …","","https://scholar.google.com/scholar?q=related:nb03PAMgsvsJ:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3122,"DD Bernal","Critical race theory, Latino critical theory, and critical raced-gendered epistemologies: Recognizing students of color as holders and creators of knowledge",2002,"Qualitative inquiry","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/107780040200800107","https://scholar.google.com/scholar?cites=6782785924708559661&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-02 15:21:46","","10.1177/107780040200800107","","",,,,,3122,141.91,3122,1,22,"… critical race theory (CRT) and Latina/Latino critical theory (LatCrit) to demonstrate how critical … students through a Eurocentric and a critical raced-gendered epistemological perspective …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c6a71209197215393c2c810fddc90a3f68695870","https://scholar.google.com/scholar?q=related:LevFndxLIV4J:scholar.google.com/&scioq=postmodernism%7C%22post+modernism%22%7Cpostmodernism%7C%22post+modernism%22%7Ccritical+theory%7Ccritical+theory%7Ccritical+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
