Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,B Blaisdell,"Cupcakes, white rage, and the epistemology of antiblackness",2001,Taboo: The Journal of Culture and …,digitalscholarship.unlv.edu,https://digitalscholarship.unlv.edu/cgi/viewcontent.cgi?article=1007&context=taboo,https://scholar.google.com/scholar?cites=6985977478908984995&as_sdt=2005&sciodt=2007&hl=en,74,1/30/2024 17:50,PDF,,,,,,,,19,0.83,19,1,23,"This article reveals how white rage and antiblackness—often in the form of disdain for Black joy—surfaced at Pride Elementary, a racially integrated school in the urban center of a small …",https://digitalscholarship.unlv.edu/cgi/viewcontent.cgi?article=1007&context=taboo,https://scholar.google.com/scholar?q=related:o74_94At82AJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
179,V Bashi,"Globalized anti-blackness: Transnationalizing Western immigration law, policy, and practice",2004,Ethnic and Racial Studies,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/01491987042000216726,https://scholar.google.com/scholar?cites=4980924804822414177&as_sdt=2005&sciodt=2007&hl=en,101,1/30/2024 17:50,,10.1080/01491987042000216726,,,,,,,179,8.95,179,1,20,"… nations’ harmony in their anti-blackness, nor understand their … For the purposes of this paper, global anti-blackness is a … Further, note that the definition global anti-blackness neither …",https://www.academia.edu/download/68937744/Globalized_Anti-Blackness_Transnationali20210829-9241-y5gv7p.pdf,https://scholar.google.com/scholar?q=related:YTNfTLjMH0UJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
659,J Sexton,Amalgamation schemes: Antiblackness and the critique of multiracialism,2008,,books.google.com,https://books.google.com/books?hl=en&lr=&id=LHaxP1emCoUC&oi=fnd&pg=PP7&dq=%22anti+blackness%22%7Cantiblackness&ots=8dqw3Nq-1D&sig=0p2FbinT-Q-_nE1Oz1RZs5pTlYA,https://scholar.google.com/scholar?cites=17602803599622416282&as_sdt=2005&sciodt=2007&hl=en,167,1/30/2024 17:50,BOOK,,,,,,,,659,41.19,659,1,16,"Despite being heralded as the answer to racial conflict in the post-civil rights United States, the principal political effect of multiracialism is neither a challenge to the ideology of white …",,https://scholar.google.com/scholar?q=related:mid2Npy4SfQJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
74,TD Keaton,The politics of race-blindness:(Anti) Blackness and category-blindness in contemporary France,2010,Du Bois Review: Social Science Research on Race,cambridge.org,https://www.cambridge.org/core/journals/du-bois-review-social-science-research-on-race/article/politics-of-raceblindness/811D93FC91415CAFCCD33B8F969E2CC0,https://scholar.google.com/scholar?cites=4888464169176556170&as_sdt=2005&sciodt=2007&hl=en,138,1/30/2024 17:50,,,,,,,,,74,5.29,74,1,14,"… called a genealogy of “black” relative to anti-blackness, examined later in this essay. Indeed… than mere color and whose very existence in anti-blackness illustrates the limits of “race-…",,https://scholar.google.com/scholar?q=related:imL-_EJQ10MJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
1,K Wachter-Grene,Amalgamation Schemes: Antiblackness and the Critique of Multiracialism,2011,,JSTOR,https://www.jstor.org/stable/41242608,https://scholar.google.com/scholar?cites=9045089091003930303&as_sdt=2005&sciodt=2007&hl=en,165,1/30/2024 17:50,,,,,,,,,1,0.08,1,1,13,"Anxieties about American multiracial identity and practices, known in the nineteenth century as"" amalgamation"" or"" miscegenation,"" have been percolating in the national imagination for …",,https://scholar.google.com/scholar?q=related:v9YM95qchn0J:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
131,J Sexton,Ante-anti-blackness,2012,Lateral,JSTOR,https://www.jstor.org/stable/48671582,https://scholar.google.com/scholar?cites=623246826434259231&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 17:50,,,,,,,,,131,10.92,131,1,12,"Theory in black... is... a phobogenic designation. It occasions anxiety of thought; it is theory in jeopardy.[...] There is a form of illicit seeing... at the very beginnings of seeing black, which …",https://csalateral.org/section/theory/ante-anti-blackness-afterthoughts-sexton/,https://scholar.google.com/scholar?q=related:H-kAwa83pggJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
20,C Sharpe,Response to'Ante-Anti-Blackness',2012,Lateral,csalateral.org,https://csalateral.org/issue/1/ante-anti-blackness-response-sharpe/,https://scholar.google.com/scholar?cites=17893865050242909016&as_sdt=2005&sciodt=2007&hl=en,65,1/30/2024 17:50,HTML,,,,,,,,20,1.67,20,1,12,"In her response to Sexton, Christina Sharpe returns us to the psychopolitical necessity of such theorizing by pointing to her students who have organized again and again for black …",https://csalateral.org/issue/1/ante-anti-blackness-response-sharpe/,https://scholar.google.com/scholar?q=related:WIOBGnXHU_gJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
0,D Procope,Anti-Blackness in Enlightenment Thought &the Limitations of WEB Du Bois,2012,,scholarlycommons.pacific.edu,https://scholarlycommons.pacific.edu/purcc/2012/events/89/,,144,1/30/2024 17:50,,,,,,,,,0,0,0,1,12,"Race is perhaps the most devastating social construct of human history. The concept of blackness evokes ideas of inhumanity, evil, and barbarity, and yet this categorization hovers …",,https://scholar.google.com/scholar?q=related:NCN7zsAHVcUJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
90,AM Agathangelou,Neoliberal geopolitical order and value: Queerness as a speculative economy and anti-blackness as terror,2013,International Feminist Journal of Politics,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/14616742.2013.841560,https://scholar.google.com/scholar?cites=2306227313261445682&as_sdt=2005&sciodt=2007&hl=en,63,1/30/2024 17:50,,10.1080/14616742.2013.841560,,,,,,,90,8.18,90,1,11,"Neo-imperial free-market capitalist shifts depend on animating slavery as terror, and queerness as a speculative economy, to mediate political value conflicts and displace antagonisms. …",https://www.researchgate.net/profile/Anna-Agathangelou/publication/271938512_Neoliberal_Geopolitical_Order_and_Value/links/5b01cef1aca2720ba097e6d7/Neoliberal-Geopolitical-Order-and-Value.pdf,https://scholar.google.com/scholar?q=related:MoJAwoVdASAJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
63,TP Woods,Surrogate selves: Notes on anti-trafficking and anti-blackness,2013,Social Identities,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13504630.2012.753348,https://scholar.google.com/scholar?cites=9024018885908749215&as_sdt=2005&sciodt=2007&hl=en,77,1/30/2024 17:50,,10.1080/13504630.2012.753348,,,,,,,63,5.73,63,1,11,This essay explores the discursive production of black captivity across the African diaspora in the afterlife of slavery. I take as my objects of analysis the contemporary anti-trafficking and …,https://scholar.archive.org/work/vq3ghkuyunfehhqc3jsqqez2ku/access/wayback/http://cult320.cwillse.net/wp-content/uploads/2013/01/Woods-2013.pdf,https://scholar.google.com/scholar?q=related:n9sBjV3BO30J:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
86,"PJ Hudson, K McKittrick",The geographies of blackness and anti-blackness,2014,The CLR James Journal,JSTOR,https://www.jstor.org/stable/26752069,https://scholar.google.com/scholar?cites=16192797179092089419&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 17:50,,,,,,,,,86,8.6,43,2,10,"Let me start by asking you the prototypical question historically asked of Black people in Canada: Where are you from? That is, where are you from biographically and intellectually? …",,https://scholar.google.com/scholar?q=related:Szq7wz1fuOAJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
71,"M Bassichis, D Spade",Queer politics and anti-blackness,2014,Queer necropolitics,books.google.com,https://books.google.com/books?hl=en&lr=&id=pEXIAgAAQBAJ&oi=fnd&pg=PA191&dq=%22anti+blackness%22%7Cantiblackness&ots=sn_JjOwdOm&sig=xyY-QUuKpBw7Npf_c6hopZV1nOg,https://scholar.google.com/scholar?cites=8253105789005083749&as_sdt=2005&sciodt=2007&hl=en,21,1/30/2024 17:50,,,,,,,,,71,7.1,36,2,10,"… the fundamental structures of anti-blackness, settler colonialism… of Sexton’s critique of anti-blackness within the domain of … attention to the specificities of anti-blackness–is anti-black. …",https://voidnetwork.gr/wp-content/uploads/2016/10/Queer-Necropolitics-edit-by-Jin-Haritaworn-Adi-Kuntsman-Silvia-Posocco.pdf#page=210,https://scholar.google.com/scholar?q=related:ZTRe__zriHIJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
127,R Walcott,The problem of the human: Black ontologies and “the coloniality of our being.”,2014,Postcoloniality-decoloniality-black critique: Joints and …,books.google.com,https://books.google.com/books?hl=en&lr=&id=430wBQAAQBAJ&oi=fnd&pg=PA93&dq=%22anti+blackness%22%7Cantiblackness&ots=5b4Q57alIt&sig=Sq4NrqKKyVtdLWN34gefjWjQWNE,https://scholar.google.com/scholar?cites=15798773221389265962&as_sdt=2005&sciodt=2007&hl=en,98,1/30/2024 17:50,,,,,,,,,127,12.7,127,1,10,… 2 This essay is about the ways in which anti-blackness continually produces Black people … anti-blackness will not become to future political desires. 3 Only by positioning anti-blackness …,,https://scholar.google.com/scholar?q=related:KmzcE4qEQNsJ:scholar.google.com/&scioq=%22anti+blackness%22%7Cantiblackness&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
