Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13592,"R Delgado, J Stefancic",Critical race theory: An introduction,2023,,books.google.com,https://books.google.com/books?hl=en&lr=&id=tqCUEAAAQBAJ&oi=fnd&pg=PP1&dq=critical+race+theory%7Ccritical+race+theory&ots=MD37AqAkIx&sig=ewSbrfCsvdmUIVkU0pCjihF8UpQ,https://scholar.google.com/scholar?cites=1233620871006995619&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 19:17,BOOK,,,,,,,,13592,13592,6796,2,1,"… writers in the critical race theory, feminist, and critical legal studies communities who have … racism and economic oppression— between race and class— are topics of great interest to …",https://scholarship.law.ua.edu/cgi/viewcontent.cgi?article=1046&context=fac_working_papers,https://scholar.google.com/scholar?q=related:o0Tha6WzHhEJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
5334,"R Delgado, J Stefancic",Critical race theory: The cutting edge,2000,,books.google.com,https://books.google.com/books?hl=en&lr=&id=Hd1MpNYWAaoC&oi=fnd&pg=PR13&dq=critical+race+theory%7Ccritical+race+theory&ots=4qz2puYG30&sig=yzMhSldYo7ATTqCrL_RnGQnMzsY,https://scholar.google.com/scholar?cites=4730579617245452578&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 19:17,BOOK,,,,,,,,5334,222.25,2667,2,24,"… Out of this need came Critical Race Theory, now a body of … The movement has predecessors—Critical Legal Studies, to … Because racism is an ingrained feature of our landscape, …",http://scholarshipweekend.oglethorpe.edu/wp-content/uploads/sites/21/2022/01/Terry-critical-race-theory-intro.pdf,https://scholar.google.com/scholar?q=related:IlmeIxllpkEJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
7135,G Ladson-Billings,Just what is critical race theory and what's it doing in a nice field like education?,2020,Critical race theory in education,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003005995-2/critical-race-theory-nice-field-like-education-gloria-ladson-billings,https://scholar.google.com/scholar?cites=2132355185443957282&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 19:17,,10.4324/9781003005995-2,,,,,,,7135,1783.75,7135,1,4,"… Critical race theory begins with the notion that racism is normal in … However, in the broad scope of critical race legal studies, Guinier … But, her"" exposure"" placed critical race theory and its …",https://defendinged.org/wp-content/uploads/2022/04/Just-what-is-critical-race-theory-and-whats-it-doing-in-a-nice-field-like-education_.pdf,https://scholar.google.com/scholar?q=related:ImpZU76llx0J:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2179,BMKJ Brayboy,Toward a tribal critical race theory in education,2005,The urban review,Springer,https://link.springer.com/article/10.1007/s11256-005-0018-y,https://scholar.google.com/scholar?cites=1393907958692908886&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 19:17,,10.1007/s11256-005-0018-y,,,,,,,2179,114.68,2179,1,19,"… specifically focused on race and racism (Delgado &Stefancic, 2000). While CRT centers … Tribal Critical Race Theory might better serve researchers who are unsatisfied with the theories …",https://www.iirp.edu/images/pdf/AvNtDE_EDUC_701_-_Brayboys_Toward_a_Tribal_Critical_Race_Theory_in_Education.pdf,https://scholar.google.com/scholar?q=related:Vg97N-cnWBMJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
1545,"AD Dixson, CK Rousseau",And we are still not saved: Critical race theory in education ten years later,2005,Race ethnicity and education,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1361332052000340971,https://scholar.google.com/scholar?cites=12271508852763192935&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 19:17,,10.1080/1361332052000340971,,,,,,,1545,81.32,773,2,19,"… critical race theory (CRT), a framework developed by legal scholars, could be employed to examine the role of race and racism in … theoretical void, they proposed that critical race theory (…",,https://scholar.google.com/scholar?q=related:Z-4Cy0goTaoJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
12016,TJ Yosso*,Whose culture has capital? A critical race theory discussion of community cultural wealth,2005,Race ethnicity and education,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1361332052000341006,https://scholar.google.com/scholar?cites=11173966978219876646&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 19:17,,10.1080/1361332052000341006,,,,,,,12016,632.42,12016,1,19,"… scope of discussions of race and racism, I define CRT in education as a theoretical and analytical framework that challenges the ways race and racism impact educational structures, …",https://www.physics.rutgers.edu/rumipa/eijc_resources/Liam_paper2.pdf,https://scholar.google.com/scholar?q=related:JqG9tMPnEZsJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2421,DG Solórzano,"Critical race theory, race and gender microaggressions, and the experience of Chicana and Chicano scholars",1998,International journal of qualitative studies in …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/095183998236926,https://scholar.google.com/scholar?cites=5920475848711238912&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 19:17,,10.1080/095183998236926,,,,,,,2421,93.12,2421,1,26,"… race and racism, Kimberle! Crenshaw and her colleagues have argued that critical race theory … race discourse and a race intervention into left discourse’’ (Crenshaw et al., 1995, p. xix). …",https://www.academia.edu/download/61844281/Critical_Race_Theory__Racial_and_Gender_Microaggressions__and_the_Experiences_of_Chicana_and_Chicano_Scholars.pdf,https://scholar.google.com/scholar?q=related:AHW2l2rBKVIJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
1892,D Gillborn*,"Education policy as an act of white supremacy: Whiteness, critical race theory and education reform",2005,Journal of education policy,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/02680930500132346,https://scholar.google.com/scholar?cites=4166101656460847847&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 19:17,,10.1080/02680930500132346,,,,,,,1892,99.58,1892,1,19,… studies’ and the application of critical race theory (CRT). These perspectives offer a new and radical way of conceptualizing the role of racism in … a similar understanding of racism (as a …,https://discovery.ucl.ac.uk/id/eprint/10001654/1/gillborn2005education485text.pdf,https://scholar.google.com/scholar?q=related:5-qDM2L30DkJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2187,"T Yosso, W Smith, M Ceja…","Critical race theory, racial microaggressions, and campus racial climate for Latina/o undergraduates",2009,Harvard Educational …,meridian.allenpress.com,https://meridian.allenpress.com/her/article-abstract/79/4/659/32043,https://scholar.google.com/scholar?cites=12564537963622814289&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 19:17,,,,,,,,,2187,145.8,547,4,15,"… A critical race theory and Latina/o critical theory analysis of … International Journal of Qualitative Studies in Education, 16(5… A critical race theory and Latina/o critical theory analysis of …",https://www.researchgate.net/profile/William-Smith-21/publication/279741828_Critical_Race_Theory_Racial_Microaggressions_and_Campus_Racial_Climate_for_Latinao_Undergraduates/links/55b169d908ae9289a084d05c/Critical-Race-Theory-Racial-Microaggressions-and-Campus-Racial-Climate-for-Latina-o-Undergraduates.pdf,https://scholar.google.com/scholar?q=related:UdKlSLU0Xq4J:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
5614,"D Solorzano, M Ceja, T Yosso","Critical race theory, racial microaggressions, and campus racial climate: The experiences of African American college students",2000,Journal of Negro education,JSTOR,https://www.jstor.org/stable/2696265,https://scholar.google.com/scholar?cites=17546516852225430250&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 19:17,,,,,,,,,5614,233.92,1871,3,24,"… of one race over another, then how do we define racism? … climate, we utilized critical race theory (CRT), which draws … studies, and women's studies. Though initially utilized in legal …",https://www.middlesex.mass.edu/rlos/748/critical-race-theory.pdf,https://scholar.google.com/scholar?q=related:6lJNlhzAgfMJ:scholar.google.com/&scioq=critical+race+theory%7Ccritical+race+theory&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
