Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
73,Y Paradies,Whither anti-racism?,2018,Re-configuring Anti-racism,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315619804-4/whither-anti-racism-yin-paradies,https://scholar.google.com/scholar?cites=18359711797090835269&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 19:47,,10.4324/9781315619804-4,,,,,,,73,12.17,73,1,6,"… , examining the limits and potential (re)configurations of anti-racism(s) in opposing contemporary manifestations of racism. I begin by considering definitions of antiracism, including …",https://www.researchgate.net/profile/Yin-Paradies/publication/284532937_Whither_anti-racism/links/5a2727964585155dd4241533/Whither-anti-racism.pdf,https://scholar.google.com/scholar?q=related:RdslBJvMyv4J:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
179,A Bonnett,"Radicalism, anti-racism and representation",2023,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781003332640/radicalism-anti-racism-representation-alastair-bonnett,https://scholar.google.com/scholar?cites=7663018319489758209&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 19:47,BOOK,10.4324/9781003332640,,,,,,,179,179,179,1,1,"… study of anti-racism. Indeed, it is the first to provide a substantive critique of anti-racism from … It is also the first to look at this phenomenon geographically and to compare anti-racism in ‘…",,https://scholar.google.com/scholar?q=related:AXR_qI-CWGoJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
146,D Gillborn,Anti-racism: From policy to praxis,2004,Routledge international companion to education,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203639061-30/anti-racism-david-gillborn,https://scholar.google.com/scholar?cites=4787645876555315958&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 19:47,,10.4324/9780203639061-30,,,,,,,146,7.3,146,1,20,"… In Britain, anti-racism was most prominent in social policy debates during the 1980s. … local authorities, that anti-racism enjoyed its most influential period. Anti-racism in the 1980s came …",,https://scholar.google.com/scholar?q=related:9npxBo8icUIJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
218,"JK Nelson, KM Dunn, Y Paradies",Bystander anti‐racism: A review of the literature,2011,Analyses of Social Issues …,Wiley Online Library,https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/j.1530-2415.2011.01274.x,https://scholar.google.com/scholar?cites=10575618967084374810&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 19:47,,10.1111/j.1530-2415.2011.01274.x,,,,,,,218,16.77,73,3,13,… anti-racism as part of a holistic approach to anti-racism. The … talk and witnessing bystander anti-racism. Bystander action can … anti-racism is an important component of anti-racism policy. …,https://www.westernsydney.edu.au/__data/assets/pdf_file/0008/268118/Nelson_Dunn_Paradies2011.pdf,https://scholar.google.com/scholar?q=related:GpvyJGslxJIJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
68,JK Nelson,'Speaking'racism and anti-racism: perspectives of local anti-racism actors,2015,Ethnic and Racial Studies,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/01419870.2014.889837,https://scholar.google.com/scholar?cites=9061607037735130057&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 19:47,,10.1080/01419870.2014.889837,,,,,,,68,7.56,68,1,9,… I look at what social science tells us constitutes efficacious anti-racism… anti-racism. The second part of the paper examines local anti-racism actors' use of the terms racism and anti-racism…,https://opus.lib.uts.edu.au/bitstream/10453/119071/4/A51D42C5-F758-4581-B913-167488A750A5%20am.pdf,https://scholar.google.com/scholar?q=related:ydNhIpdLwX0J:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
105,"A Aldana, J Bañales, K Richards-Schuster","Youth anti-racist engagement: Conceptualization, development, and validation of an anti-racism action scale",2019,Adolescent Research Review,Springer,https://link.springer.com/article/10.1007/s40894-019-00113-1,https://scholar.google.com/scholar?cites=5586627997466789340&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 19:47,,10.1007/s40894-019-00113-1,,,,,,,105,21,35,3,5,… anti-racism action. Study 1 describes the youth participatory approach used in the development of the Anti-Racism … tests were pursued between the Anti-Racism Action Scale and the …,https://www.academia.edu/download/107936406/s40894-019-00113-120231127-1-w4761n.pdf,https://scholar.google.com/scholar?q=related:3IVCgZCwh00J:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
144,GJS Dei,Knowledge and politics of social change: The implication of anti-racism,1999,British Journal of Sociology of Education,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/01425699995335,https://scholar.google.com/scholar?cites=5505583447403636226&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 19:47,,10.1080/01425699995335,,,,,,,144,5.76,144,1,25,"… Anti-racism has long provided the theoretical … of anti-racism is an action-oriented educational strategy to deal with race, difference and interlocking oppressions. Thus, anti-racism works …",,https://scholar.google.com/scholar?q=related:AqbDv_nCZ0wJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
160,"N Hassen, A Lofters, S Michael, A Mall…",Implementing anti-racism interventions in healthcare settings: a scoping review,2021,International journal of …,mdpi.com,https://www.mdpi.com/1660-4601/18/6/2993,https://scholar.google.com/scholar?cites=7644907601228981168&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 19:47,,,,,,,,,160,53.33,32,5,3,"… explicit, shared language of anti-racism. Anti-racism action should incorporate leadership buy-… Decision-makers and staff in healthcare settings have a responsibility to take anti-racism …",https://www.mdpi.com/1660-4601/18/6/2993/pdf,https://scholar.google.com/scholar?q=related:sOPvd_UqGGoJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
187,"A Pedersen, I Walker, M Wise",""" Talk does not cook rice"": Beyond anti-racism rhetoric to strategies for social action",2005,Australian Psychologist,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/0005006051233131729,https://scholar.google.com/scholar?cites=15686792037782082523&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 19:47,,10.1080/0005006051233131729,,,,,,,187,9.84,62,3,19,"… is the implementation of anti-racism strategies by govern… We first give an overview of anti-racism strategies, noting which … We concentrate on research on the effect of anti-racism …",https://researchportal.murdoch.edu.au/esploro/fulltext/journalArticle/Talk-does-not-cook-rice-Beyond/991005541494807891?repId=12135515830007891&mId=13136831360007891&institution=61MUN_INST,https://scholar.google.com/scholar?q=related:21NtBT-ustkJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
222,CP Jones,Toward the science and practice of anti-racism: launching a national campaign against racism,2018,Ethnicity &disease,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6092166/,https://scholar.google.com/scholar?cites=14021737220263946761&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 19:47,HTML,,,,,,,,222,37,222,1,6,"… this Anti-Racism Collaborative, we aim to develop the science and practice of anti-racism, a … The science and practice of anti-racism will equip us to anticipate and respond to resistance …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6092166/,https://scholar.google.com/scholar?q=related:Caq0I7Y3l8IJ:scholar.google.com/&scioq=%22anti+racism%22%7C%22anti+racism%22%7Cantiracism%7Cantiracism&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
