Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
166,H Love,Queer,2014,Transgender studies quarterly,read.dukeupress.edu,https://read.dukeupress.edu/tsq/article-abstract/1/1-2/172/91750,https://scholar.google.com/scholar?cites=7170970782063110676&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 20:36,,,,,,,,,166,16.6,166,1,10,"… What is the place of queer in transgender studies? The fields of queer studies and transgender … While queer is associated primarily with nonnormative desires and sexual practices, and …",https://read.dukeupress.edu/tsq/article-pdf/1/1-2/172/485567/19.pdf,https://scholar.google.com/scholar?q=related:FKqTz-5nhGMJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
129,"M Brim, A Ghaziani",Introduction: queer methods,2016,Women's Studies Quarterly,JSTOR,https://www.jstor.org/stable/44474060,https://scholar.google.com/scholar?cites=13608876335320706546&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 20:36,,,,,,,,,129,16.13,65,2,8,"… of a watershed moment in queer intellectual history - is also … decades prior to queer theory were often quite queer themselves, … Why then has queer theory not staked a more pervasive, …",,https://scholar.google.com/scholar?q=related:8q0Cj-xw3LwJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
48,K Whittington,Queer,2012,Studies in Iconography,JSTOR,https://www.jstor.org/stable/23924280,https://scholar.google.com/scholar?cites=10203777752124659332&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 20:36,,,,,,,,,48,4,48,1,12,"… education, departments or programs in queer theory or queer studies usually exist in place … this remains the primary usage of queer in practice. Yet queer theory, as formulated in the …",,https://scholar.google.com/scholar?q=related:hJZsus0Zm40J:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2303,J Butler,Critically queer,2020,Playing with fire,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203760505-3/critically-queer-judith-butler,https://scholar.google.com/scholar?cites=13487151422353146943&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 20:36,,10.4324/9780203760505-3,,,,,,,2303,575.75,2303,1,4,"The term “queer” emerges as an interpellation which raises the question of the status of force and opposition, of stability and variability, within performativity. The term “queer” has …",https://www.academia.edu/download/55394916/Butler_Critically_Queer_93.pdf,https://scholar.google.com/scholar?q=related:P4RDucL8K7sJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
145,WS Burroughs,Queer,2010,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ZRvcCwAAQBAJ&oi=fnd&pg=PR5&dq=queer%7Cqueer%7Cqueering%7Cqueering&ots=G_S5QF8Dzx&sig=89cj103cU352tOT4Fp3IuxQLSE4,https://scholar.google.com/scholar?cites=13908600462279734774&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 20:36,BOOK,,,,,,,,145,10.36,145,1,14,"… in Burroughs' life, and Queer was an equally decisive turning … death is “carefully avoided” in Queer: in terms of its fiction… from his first—why only in Queer do we find the trademark comic-…",,https://scholar.google.com/scholar?q=related:9nUE9W1GBcEJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
503,S Luhmann,"Queering/querying pedagogy? Or, pedagogy is a pretty queer thing",2012,Queer theory in education,api.taylorfrancis.com,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781410603760-6&type=chapterpdf,https://scholar.google.com/scholar?cites=16744263701802479886&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 20:36,,,,,,,,,503,41.92,503,1,12,"… what queer theory and pedagogy have to offer, I suggest that a queer pedagogy exceeds the incorporation of queer … I also suggest a queer pedagogy that draws on pedagogy’s curiosity …",,https://scholar.google.com/scholar?q=related:DnFnMx-TX-gJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
319,"D Luciano, MY Chen",Introduction: Has the queer ever been human?,2015,GLQ: A Journal of Lesbian and Gay Studies,muse.jhu.edu,https://muse.jhu.edu/pub/4/article/581599/summary,https://scholar.google.com/scholar?cites=8860053294540791966&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 20:36,,,,,,,,,319,35.44,160,2,9,… of the most generative queer critiques of the human have emerged from queer of color critique and transgender studies.) Queer ecology and many other queer engagements with the …,https://read.dukeupress.edu/glq/article-pdf/21/2-3/183/415020/GLQ212-3_01Intro_FF.pdf,https://scholar.google.com/scholar?q=related:niAiYIc79XoJ:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
272,MJ Barker,Queer: A graphic history,2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=IUtODAAAQBAJ&oi=fnd&pg=PT14&dq=queer%7Cqueer%7Cqueering%7Cqueering&ots=HOZhykPCZb&sig=7abNKuPRUUoA9fd_mdDpRrr-9Zc,https://scholar.google.com/scholar?cites=11508761768005393612&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 20:36,BOOK,,,,,,,,272,34,272,1,8,"… memories of “queer” being hurled at … queer activists take issue with it because, for them, queer is about those who are further outside of “normal”. Queer theorists take issue with “queer” …",,https://scholar.google.com/scholar?q=related:zNyOGtpVt58J:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
626,C Freccero,Queer/early/modern,2006,,books.google.com,https://books.google.com/books?hl=en&lr=&id=tmQ5r_V3R8EC&oi=fnd&pg=PR7&dq=queer%7Cqueer%7Cqueering%7Cqueering&ots=bel5GyFT6Y&sig=5B9fFOy_NuUBzHk8I1aXkg1BaV4,https://scholar.google.com/scholar?cites=12632048731695559708&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 20:36,BOOK,,,,,,,,626,34.78,626,1,18,"In Queer/Early/Modern, Carla Freccero, a leading scholar of early modern European studies, argues for a reading practice that accounts for the queerness of temporality, for the way past…",,https://scholar.google.com/scholar?q=related:HDQj3mQNTq8J:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
260,"J Goldberg, M Menon",Queering history,2005,PMLa,cambridge.org,https://www.cambridge.org/core/journals/pmla/article/queering-history/2C85A5FEE35BE961793DFC3E25A97511,https://scholar.google.com/scholar?cites=18445728736174864224&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 20:36,,,,,,,,,260,13.68,130,2,19,… from relations between queering and gendering to the ways in which queering might also … Queering the Renaissance announced in 1994 that “however much we have learned to queer …,,https://scholar.google.com/scholar?q=related:YPfqTo5k_P8J:scholar.google.com/&scioq=queer%7Cqueer%7Cqueering%7Cqueering&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
