Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2712,J McLeod,Beginning postcolonialism,2020,Beginning postcolonialism (second edition),manchesterhive.com,https://www.manchesterhive.com/display/9781526153531/9781526153531.xml,https://scholar.google.com/scholar?cites=17811374884577299685&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 21:21,,,,,,,,,2712,678,2712,1,4,"This book provides a sense of the continuing debates about postcolonialism while seeking to anchor some of its key themes and vocabularies securely. It takes as its primary focus, the …",,https://scholar.google.com/scholar?q=related:5UyLvBa3LvcJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
794,C McEwan,Postcolonialism and development,2008,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ORNV6hqqAFgC&oi=fnd&pg=PP1&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&ots=SIIN2jXUEI&sig=WPCvfi-JvMtXtZHDucPebBoIuko,https://scholar.google.com/scholar?cites=11606925711660951455&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 21:21,BOOK,,,,,,,,794,49.63,794,1,16,"… Third, it explores the intersections of postcolonialism with … to both development and postcolonialism, outlines the key … some illustrations of why postcolonialism is of contemporary …",,https://scholar.google.com/scholar?q=related:nyfmSXAVFKEJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
5371,RJC Young,Postcolonialism: An historical introduction,2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=37mWDQAAQBAJ&oi=fnd&pg=PA9&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&ots=A0QCkk08th&sig=LERMO2hl89EkXYx7HVPKECirSrE,https://scholar.google.com/scholar?cites=18124115165918943317&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 21:21,BOOK,,,,,,,,5371,671.38,5371,1,8,This seminal work—now available in a 15th anniversary edition with a new preface—is a thorough introduction to the historical and theoretical origins of postcolonial theory. Provides a …,,https://scholar.google.com/scholar?q=related:VVjevLfKhfsJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
279,J Hiddleston,Understanding postcolonialism,2014,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781315711669/understanding-postcolonialism-jane-hiddleston,https://scholar.google.com/scholar?cites=16750285162533344498&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 21:21,BOOK,10.4324/9781315711669,,,,,,,279,27.9,279,1,10,"… Postcolonialism frequently offers a challenge to colonialism, but … focus on the philosophical dimensions of postcolonialism, and will … of postcolonialism is beyond the scope of this study. …",,https://scholar.google.com/scholar?q=related:8tRLx5v3dOgJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
221,"V Mishra, B Hodge",What was postcolonialism?,2005,New Literary History,JSTOR,https://www.jstor.org/stable/20057902,https://scholar.google.com/scholar?cites=10670084669618647207&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 21:21,,,,,,,,,221,11.63,111,2,19,"… of postcolonialism we are moved above all to insist on its pastness. We have not come to announce the"" end of postcolonialism,"" … Although Said said nothing about postcolonialism in his …",http://www.shirleymohr.com/JHU/Sample_Articles_JHUP/NLH_2005_36_3A.pdf,https://scholar.google.com/scholar?q=related:p_D1d3nBE5QJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
8808,A Loomba,Colonialism/postcolonialism,2002,,api.taylorfrancis.com,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203194911&type=googlepdf,https://scholar.google.com/scholar?cites=5372536998422131645&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 21:21,BOOK,,,,,,,,8808,400.36,8808,1,22,… In the early days of this project Primla Loomba asked me what this ‘postcolonialism question … Tariq Thachil’s scepticism about ‘postcolonialism’ has been as important as his amiability …,https://api.pageplace.de/preview/DT0400.9781317614579_A24757724/preview-9781317614579_A24757724.pdf,https://scholar.google.com/scholar?q=related:vTOYZe8Vj0oJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
75,R Abrahamsen,Postcolonialism,2007,International relations theory for the twenty-first …,books.google.com,https://books.google.com/books?hl=en&lr=&id=CWwcaf70A-gC&oi=fnd&pg=PA111&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&ots=LTBOla8EKV&sig=nZvwTaKY-RI-izelNAdz9AiYzqc,https://scholar.google.com/scholar?cites=1019579943547586209&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 21:21,,,,,,,,,75,4.41,75,1,17,"… Nevertheless, in recent years postcolonialism has made significant contributions to the study of global politics and has helped to make the South more visible and also to expose some …",https://mkau.edu.et/wp-content/uploads/2020/05/International-Relations-Theory-for-21st-Century.pdf#page=122,https://scholar.google.com/scholar?q=related:oUZEg45GJg4J:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
2630,RJC Young,Postcolonialism: A very short introduction,2020,,books.google.com,https://books.google.com/books?hl=en&lr=&id=dy8DEAAAQBAJ&oi=fnd&pg=PP1&dq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&ots=M_DVX7IMUc&sig=771iI2hZjv9shgzLptYwPnZtEeI,https://scholar.google.com/scholar?cites=9115456373163610182&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 21:21,BOOK,,,,,,,,2630,657.5,2630,1,4,"… , this book seeks to introduce postcolonialism in a way not … postcolonialism which are based in the experiences of ordinary people and affirm the worth of their cultures. Postcolonialism …",https://ds.amu.edu.et/xmlui/bitstream/handle/123456789/17834/Postcolonialism-%20A%20Very%20Short%20Introduction%20%28Very%20Short%20Introductions%29%20%28%20PDFDrive.com%20%29.pdf?sequence=1&isAllowed=y,https://scholar.google.com/scholar?q=related:RtD8j0abgH4J:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
307,F Rizvi,Postcolonialism and globalization in education,2007,Cultural Studies? Critical Methodologies,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1532708607303606,https://scholar.google.com/scholar?cites=2079363704417702201&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 21:21,,10.1177/1532708607303606,,,,,,,307,18.06,307,1,17,"In this short article, the author explores the complex relationship between globalization and postcolonialism. He argues that the contemporary processes of globalization are often …",,https://scholar.google.com/scholar?q=related:OVGosEVi2xwJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
200,JD Esty,Excremental postcolonialism,1999,Contemporary Literature,JSTOR,https://www.jstor.org/stable/1208818,https://scholar.google.com/scholar?cites=3665487790329916010&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 21:21,,,,,,,,,200,8,200,1,25,"Wole Soyinka, The Interpreters ostindependence African fiction features a striking conjunction of scatology and political satire, borne out most clearly in two landmark novels of the 1960s…",,https://scholar.google.com/scholar?q=related:amolh7lt3jIJ:scholar.google.com/&scioq=postcolonialism%7C%22post+colonialism%22%7Cpostcolonialism%7C%22post+colonialism%22&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
