Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
117,"A Hasenbush, A Flores, A Kastanis, B Sears, G Gates","The LGBT divide: A data portrait of LGBT people in the midwestern, mountain &southern states",2014,,escholarship.org,https://escholarship.org/uc/item/17m036q5,https://scholar.google.com/scholar?cites=15882008495231382258&as_sdt=2005&sciodt=2007&hl=en,1,1/30/2024 21:56,,,,,,,,,117,11.7,23,5,10,"… and health indicators among LGBT and nonLGBT people, … LGBT in the 21 states with statewide discrimination prohibitions (“the state law states”), in terms of raw numbers, more LGBT …",https://escholarship.org/content/qt17m036q5/qt17m036q5.pdf,https://scholar.google.com/scholar?q=related:8rIAdpQ6aNwJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
288,MR Moore…,LGBT sexuality and families at the start of the twenty-first century,2013,Annual Review of …,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-soc-071312-145643,https://scholar.google.com/scholar?cites=12619036027698090158&as_sdt=2005&sciodt=2007&hl=en,2,1/30/2024 21:56,,10.1146/annurev-soc-071312-145643,,,,,,,288,26.18,144,2,11,… for the sociological study of LGBT sexuality and families. … for the sociological study of LGBT sexuality and families. … An international and cross-cultural framework for the study of LGBT-…,https://hal.science/hal-02123638/document,https://scholar.google.com/scholar?q=related:rhDNnmjSH68J:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
7,"BT Haworth, LC Barros Cassal, T de Paula Muniz",'No‐one knows how to care for LGBT community like LGBT do'1: LGBTQIA+ experiences of COVID‐19 in the United Kingdom and Brazil,2023,Disasters,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/disa.12565,https://scholar.google.com/scholar?cites=14701699846694637539&as_sdt=2005&sciodt=2007&hl=en,3,1/30/2024 21:56,,10.1111/disa.12565,,,,,,,7,7,2,3,1,"… LGBTQIA+ volunteer and mutual aid groups. This paper argues that despite commonalities, there is no single LGBTQIA… and support the diversity of LGBTQIA+ populations. It concludes …",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/disa.12565,https://scholar.google.com/scholar?q=related:4w-mHB7uBswJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
119,"MA Gibson, DT Meem, J Alexander",Finding out: An introduction to LGBT studies,2013,,books.google.com,https://books.google.com/books?hl=en&lr=&id=a6pmym6T5EkC&oi=fnd&pg=PP1&dq=lgbt%7Clgbtqia&ots=cxZKWhSN1x&sig=s3AGKk3II_6QabzZpUhPVk_fu98,https://scholar.google.com/scholar?cites=12379128867505717320&as_sdt=2005&sciodt=2007&hl=en,4,1/30/2024 21:56,BOOK,,,,,,,,119,10.82,40,3,11,"By combining accessible introductory and explanatory material with primary texts and artifacts, this text/reader explores the development and growth of LGBT identities and the …",,https://scholar.google.com/scholar?q=related:SEB2GB6Ay6sJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
151,"A Ghaziani, V Taylor, A Stone",Cycles of sameness and difference in LGBT social movements,2016,Annual Review of Sociology,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-soc-073014-112352,https://scholar.google.com/scholar?cites=2342170164286933656&as_sdt=2005&sciodt=2007&hl=en,5,1/30/2024 21:56,,10.1146/annurev-soc-073014-112352,,,,,,,151,18.88,50,3,8,"Research on lesbian, gay, bisexual, and transgender (LGBT) movements has accelerated in recent years. We take stock of this literature with a focus on the United States. Our review …",https://www.annualreviews.org/doi/full/10.1146/annurev-soc-073014-112352,https://scholar.google.com/scholar?q=related:mErX5VoPgSAJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
739,"BL Bilodeau, KA Renn",Analysis of LGBT identity development models and implications for practice,2005,New directions for student services,academia.edu,https://www.academia.edu/download/30867039/BilodeauRennNDSS.pdf,https://scholar.google.com/scholar?cites=10824320848510499074&as_sdt=2005&sciodt=2007&hl=en,6,1/30/2024 21:56,PDF,,,,,,,,739,38.89,370,2,19,"… LGBT identity in higher education settings. This chapter presents an overview of literature regarding models of LGBT iden… to LGBT people of color, a life span approach to LGBT identity …",https://www.academia.edu/download/30867039/BilodeauRennNDSS.pdf,https://scholar.google.com/scholar?q=related:ArlSRna2N5YJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
354,GJ Gates,LGBT parenting in the United States,2013,,JSTOR,https://www.jstor.org/stable/pdf/resrep35576.pdf,https://scholar.google.com/scholar?cites=5455528776709214465&as_sdt=2005&sciodt=2007&hl=en,7,1/30/2024 21:56,BOOK,,,,,,,,354,32.18,354,1,11,"… parenting among LGBT and non-LGBT individuals, … LGBT women (48%) in the group and a fifth of the LGBT men (20%). This compares to approximately 70% of comparable non-LGBT …",https://escholarship.org/content/qt9xs6g8xx/qt9xs6g8xx.pdf,https://scholar.google.com/scholar?q=related:AZGsjYTutUsJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
89,GJ Gates,Demographics and LGBT health,2013,Journal of health and social behavior,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0022146512474429,https://scholar.google.com/scholar?cites=1453210211175699368&as_sdt=2005&sciodt=2007&hl=en,8,1/30/2024 21:56,,10.1177/0022146512474429,,,,,,,89,8.09,89,1,11,… to affect LGBT health constitutes a substantial gap in our understanding of LGBT health … It may also be that changes in social stigma are altering the actual composition of LGBT …,,https://scholar.google.com/scholar?q=related:qBMZ1fzWKhQJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
144,"MA Dean, E Victor, L Guidry-Grimes",Inhospitable healthcare spaces: why diversity training on LGBTQIA issues is not enough,2016,Journal of bioethical inquiry,Springer,https://link.springer.com/article/10.1007/s11673-016-9738-9,https://scholar.google.com/scholar?cites=14918245551073936427&as_sdt=2005&sciodt=2007&hl=en,9,1/30/2024 21:56,,10.1007/s11673-016-9738-9,,,,,,,144,18,48,3,8,… settings and specify how they negatively impact LGBTQIA patients. We argue that standard … reduce their frequency and mitigate their effects on LGBTQIA care. We conclude by offering …,https://aiasf.org/wp-content/uploads/1970/01/Dean2016_Article_InhospitableHealthcareSpacesWh.pdf,https://scholar.google.com/scholar?q=related:K0TQ10lBCM8J:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
309,JM Jones,LGBT identification rises to 5.6% in latest US estimate,2021,Gallup News,optumhealtheducation.com,https://www.optumhealtheducation.com/sites/default/files/LGBT%20Identification%20Rises%20to%205.6%25%20in%20Latest%20U.S.%20Estimate.pdf,https://scholar.google.com/scholar?cites=9685271124719033640&as_sdt=2005&sciodt=2007&hl=en,10,1/30/2024 21:56,PDF,,,,,,,,309,103,309,1,3,… The pronounced generational differences raise questions about whether higher LGBT … as LGBT. To the extent it reflects older Americans not wanting to acknowledge an LGBT orientation…,https://www.optumhealtheducation.com/sites/default/files/LGBT%20Identification%20Rises%20to%205.6%25%20in%20Latest%20U.S.%20Estimate.pdf,https://scholar.google.com/scholar?q=related:KN057sX-aIYJ:scholar.google.com/&scioq=lgbt%7Clgbtqia&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023
