Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2181,"J Feagin","Systemic racism: A theory of oppression",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=uerZAAAAQBAJ&oi=fnd&pg=PP1&dq=systemic+racism%7Csystemic+oppression&ots=0P-6hn92Vi&sig=M72Wp-m5bIXyNC_io65_Xx4cp6E","https://scholar.google.com/scholar?cites=6446106344192348326&as_sdt=2005&sciodt=2007&hl=en",1,"2024-01-30 22:10:58","BOOK","","","",,,,,2181,198.27,2181,1,11,"… conceptual framework accenting systemic racism as a better way of understanding centuries of racial oppression. As I will demonstrate, systemic racism encompasses a broad range of …","","https://scholar.google.com/scholar?q=related:phD6LZErdVkJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
941,"J Feagin, Z Bennefield","Systemic racism and US health care",2014,"Social science &medicine","Elsevier","https://www.sciencedirect.com/science/article/pii/S0277953613005121","https://scholar.google.com/scholar?cites=14161829314636681542&as_sdt=2005&sciodt=2007&hl=en",2,"2024-01-30 22:10:58","","","","",,,,,941,94.10,471,2,10,"… science theoretical approach–systemic racism theory–to … the oppression of Americans of color has been systemic and … the continuing reality of systemic racism throughout health care …","https://www.academia.edu/download/38041146/Feagin_Bennefield.pdf","https://scholar.google.com/scholar?q=related:RhGipLrsiMQJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
363,"J Feagin, S Elias","Rethinking racial formation theory: A systemic racism critique",2013,"Ethnic and Racial Studies","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01419870.2012.669839","https://scholar.google.com/scholar?cites=3623208261907050886&as_sdt=2005&sciodt=2007&hl=en",3,"2024-01-30 22:10:58","","10.1080/01419870.2012.669839","","",,,,,363,33.00,182,2,11,"… perpetuation of racial oppression. As an alternative framework to racial formation theory, we present systemic racism theory, a social science theory of race and racism that elucidates …","","https://scholar.google.com/scholar?q=related:hvE6trc4SDIJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
415,"CJ Schell, K Dyson, TL Fuentes, S Des Roches…","The ecological and evolutionary consequences of systemic racism in urban environments",2020,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aay4497","https://scholar.google.com/scholar?cites=11719236320582345075&as_sdt=2005&sciodt=2007&hl=en",4,"2024-01-30 22:10:58","","10.1126/science.aay4497","","",,,,,415,103.75,83,5,4,"… how understanding systemic racism and racial oppression, rooted in … We then describe how systemic racism drives inequitable … We propose hypotheses linking systemic racism to urban …","https://rlearley.people.ua.edu/uploads/2/5/6/9/25693686/schell_2020_ecological_and_evolutionary_consequences_of_systemic_racism_in_urban_environments.pdf","https://scholar.google.com/scholar?q=related:c6Eqp1cXo6IJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
240,"EJR David, TM Schroeder…","Internalized racism: A systematic review of the psychological literature on racism's most insidious consequence",2019,"Journal of Social …","Wiley Online Library","https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/josi.12350","https://scholar.google.com/scholar?cites=9148662248653089441&as_sdt=2005&sciodt=2007&hl=en",5,"2024-01-30 22:10:58","","10.1111/josi.12350","","",,,,,240,48.00,80,3,5,"… , the type of oppression that most easily comes to mind is racism—oppression that is based … The potential danger of the term “internalized” to shift focus away from systemic racism …","","https://scholar.google.com/scholar?q=related:oWr-7NeT9n4J:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
366,"PA Braveman, E Arkin, D Proctor, T Kauh, N Holm","Systemic And Structural Racism: Definitions, Examples, Health Damages, And Approaches To Dismantling: Study examines definitions, examples, health damages …",2022,"Health Affairs","healthaffairs.org","https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2021.01394","https://scholar.google.com/scholar?cites=13584252061797087309&as_sdt=2005&sciodt=2007&hl=en",6,"2024-01-30 22:10:58","","10.1377/hlthaff.2021.01394","","",,,,,366,183.00,73,5,2,"… Although we focus on how structural and systemic racism can harm the health … systemic inequities and, when oppressed or excluded racial or ethnic groups are involved, systemic racism…","https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2021.01394","https://scholar.google.com/scholar?q=related:TXjIGkf1hLwJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
8,"J Drydyk","Capability and oppression",2021,"Journal of Human Development and Capabilities","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/19452829.2021.1982880","https://scholar.google.com/scholar?cites=1314380274790632189&as_sdt=2005&sciodt=2007&hl=en",7,"2024-01-30 22:10:58","","10.1080/19452829.2021.1982880","","",,,,,8,2.67,8,1,3,"… oppression, including systemic or structural oppression, and (… what is distinctive about specific forms of oppression. (5) Why … they oppress, and we should not overlook the fact that racism…","https://www.tandfonline.com/doi/pdf/10.1080/19452829.2021.1982880","https://scholar.google.com/scholar?q=related:_QqtYuWdPRIJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
355,"Y Paradies","Racism",2020,"Social determinants of Indigenous health","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003117247-4/racism-yin-paradies","https://scholar.google.com/scholar?cites=16336739484587754426&as_sdt=2005&sciodt=2007&hl=en",8,"2024-01-30 22:10:58","","10.4324/9781003117247-4","","",,,,,355,88.75,355,1,4,"… This definition of privilege/oppression (and hence racism/antiracism) does not depend on the … (1999) fail to recognise that oppression is systemic in society and is unwittingly and …","https://www.researchgate.net/profile/Yin-Paradies/publication/244887810_Defining_conceptualizing_and_characterizing_racism_in_health_research/links/02e7e52d87c1158dbc000000/Defining-conceptualizing-and-characterizing-racism-in-health-research.pdf","https://scholar.google.com/scholar?q=related:uoPzZgHCt-IJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
140,"NL Cabrera","“But I'm oppressed too”: White male college students framing racial emotions as facts and recreating racism",2014,"International Journal of Qualitative Studies in …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/09518398.2014.901574","https://scholar.google.com/scholar?cites=1410389470209491622&as_sdt=2005&sciodt=2007&hl=en",9,"2024-01-30 22:10:58","","10.1080/09518398.2014.901574","","",,,,,140,14.00,140,1,10,"… This study highlights the interconnectedness of affective and cognitive responses to race: two areas integral to both the maintenance and dismantling of systemic racism. It also …","https://www.academia.edu/download/60178309/fulltext_stamped.pdf","https://scholar.google.com/scholar?q=related:psLJJsC1khMJ:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
11,"TW Farmer, Z Serpell, LRA Scott…","The developmental dynamics of emotional and behavioral difficulties of youth of color: Systemic oppression, correlated constraints, and the need for targeted …",2022,"… of Emotional and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/10634266211068892","https://scholar.google.com/scholar?cites=1058616006132804282&as_sdt=2005&sciodt=2007&hl=en",10,"2024-01-30 22:10:58","","10.1177/10634266211068892","","",,,,,11,5.50,3,4,2,"… -context, correlated constraints, systemic oppression, and the … to the forefront concerns about racism, implicit bias, and … , and the systemic oppression and adversity experienced by …","","https://scholar.google.com/scholar?q=related:uqoWF6b1sA4J:scholar.google.com/&scioq=systemic+racism%7Csystemic+oppression&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
