journal,year,month,title,abstract,author,author1,affiliation
Collegiate Aviation Review International,2021,9,"Teaching Diversity, Equity, and Inclusion in Aviation Education.","Over the last decade, many companies have begun to recognize the value of a diverse workforce, equity within the workforce, and inclusion practices. Recent global events have pushed the promotion of diversity, equity, and inclusion (DEI) in the aviation workplace and education higher on the priority list for many. Unfortunately, the aviation industry continues to have difficulty in attracting and retaining a diverse workforce. Notwithstanding this struggle in the industry, those in education must find ways to educate our students on topics relating to DEI. It is critically important that this training is rooted in research. The aviation industry is starting to see increased research initiatives to promote DEI among all generations. However, integrating DEI in the aviation classroom can be challenging, as many faculty members might not feel comfortable addressing the topic in relation to their courses. Therefore, this research focused on inclusive teaching and dynamic lecture strategies that will enable educators to reflect on critical consciousness, be mindful of implicit bias, and handle resistance while fostering a safe space.","Albelo, Jorge L. D.","O'Toole, Nicola",Embry-Riddle Aeronautical University
Change,2023,1,"DEI Institutionalization: Measuring Diversity, Equity, and Inclusion in Postsecondary Education.","The Council for Higher Education Accreditation recently announced new standards that include assessing and addressing diversity, equity, and inclusion (DEI) in higher education. Institutionalization of DEI initiatives in postsecondary education is important to creating an equitable environment for all students. A DEI assessment was developed that is unique in addressing DEI at the institution level rather than aggregating individual-level data to describe the institution with strong reliability and validity evidence. Focus groups indicated that the assessment provided a framework for improving DEI, as well as a launching pad for discussing and planning DEI initiatives. While 73% of institutions reported that DEI is addressed directly through their mission statements, there is still much work to be done to improve the gaps in student outcomes.","Cumming, Tammie","Miller, M. David",
Journal of College Science Teaching,2022,9,"Catalyzing the Advancement of Diversity, Equity, and Inclusion in Chemical Education.","Only a relatively small number of students from underrepresented groups enter the field of chemistry, complete their degrees, and enter the workforce. There are ethical and practical concerns when we lose out on diversifying the chemical sciences and benefitting from the greater contributions of thinkers from diverse backgrounds working together in the classroom and workplace. The principles of diversity, equity, and inclusion are critical for resolving the current imbalance. Continuous reflection by faculty is an essential component for the improvement process, as are understanding value and embracing change. Strategies for making students feel a sense of belonging in a course, research laboratory, and discipline include ensuring the educational climate is safe, accessible, and respectful; making the learning experience relatable and providing access to role models; and providing research experiences and exposure to the field. While the focus of this Point of View is on chemical education, the conversation and best practices are applicable and extend to teaching and mentoring in other fields of science.","Rogers, Reginald","Pagano, Todd","Associate professor in the Department of Biomedical, Biological, and Chemical Engineering at the University of Missouri"
Pedagogy in Health Promotion,2022,9,"Diversity, Equity, and Inclusion on the Frontlines of Education.","This ethos is infused throughout the papers presented, which offer thoughtful commentary, research, and practice for teaching and learning that address diverse groups and marginalized populations. These lessons help frame a pedagogy for DEI that can transcend individualistic approaches and transform it into a pedagogy for DEI praxis. Keywords: diversity and inclusion; diversity; equity; pedagogy EN diversity and inclusion diversity equity pedagogy 171 173 3 08/22/22 20220901 NES 220901 It seems that every day we read another news report of a local school board rolling back efforts to promote equity in education and remediate the lack of diversity and inclusion in curricula.","Merzel, Cheryl R.",,"New York University School of Global Public Health, New York, NY, USA"
Teaching in Higher Education,2021,2,Are we just engaging 'the usual suspects'? Challenges in and practical strategies for supporting equity and diversity in student–staff partnership initiatives.,"Higher education institutions have been identified as inequitable for historically marginalised student and staff populations. Student–staff partnership has recently emerged as one approach to redressing such inequities. To what extent are institutional partnership schemes considering or achieving this goal? Using two phases of qualitative data collection, we explored the perceptions of staff administering student–staff partnership schemes regarding the inclusion of diversity across eight UK higher education institutions. Results highlight conceptual and practical challenges for and strategies to striving for equity in student–staff partnership initiatives. These results are discussed by drawing on the identities of the research team to highlight intersectional approaches to inclusion in partnership.","Mercer-Mapstone, Lucy","Islam, Maisha","Faculty of Science, University of Technology Sydney, Sydney, Australia"
Critical Care Medicine,2023,1,"587: ASSESSING DIVERSITY, EQUITY, AND INCLUSION EDUCATION IN PEDIATRIC CRITICAL CARE FELLOWSHIP TRAINING.","Most programs provide some DEI education, largely through divisional and departmental grand rounds, with 56% of programs providing between 1-4 hours of education annually. We aimed to describe the current state of diversity, equity, and inclusion (DEI) education in PCCM fellowship programs from the program director (PD) perspective. While 50% of PDs believed a curriculum on health equity to be an educational priority, 38% do not feel confident in providing this curriculum and 71% do not believe their faculty have the necessary skills to provide this education.","Acholonu, Nonyerem","Gathers, Cody-Aaron","New York-Presbyterian Hospital/Weill Cornell Medical Center, NY"
Independent School,2018,9,"Critical Starting Point: Getting the board on board with diversity, equity, and inclusion work.","The article focuses on work of diversity, equity, and inclusion (DEI) and independent school must cultivate leadership among students, faculty, staff, trustees, and parents and guardians to ensure broad-based commitment to strengthen the school community. It mentions educational equity, inclusion of different perspectives, and expanding student understanding of social justice lies at the heart of diversity strategic planning process.","Levinson, Matt",,"Head of school, University Prep in Seattle, Washington"
Journal of Cell Science,2022,4,"Essay series on equity, diversity and inclusion in cell biology.",,"Ahmad, Sharon","Way, Michael",
Journal of Architectural Education,2019,9,"What Will It Take?: Reflections on Diversity, Equity, and Inclusion in Architectural Education.","Since Boyer, the racial and ethnic demographics of the American architecture student population have shown mixed progress toward increasing diversity. Furthermore, 19 percent of today's architecture students are international, which was not even reported in the Boyer survey.[4] The effect of adding nearly a fifth of our students from around the globe has certainly introduced new cultural contexts into our schools. In an I ArchDaily i article published in 2016, third-year Syracuse architecture student Michaela Wozniak lamented that ""the rigid hierarchy of the professors and jurors being the sole possessors of knowledge makes it impossible for design dialogs to open up.""[5] She condemned this structure as stifling and argued for students to be given ""just as much of a voice as the professors"" in architecture programs.","Ng, Rashida",,Temple University
Independent School,2018,9,Chasing Inclusion.,The article focuses on schools are still chasing diversity and equity and aim for equity and then examine our financial aid and other programs for inclusion in education. It mentions Inclusion Dashboard Consortium with indicators of equity and diversity and absence of a clear measurement of inclusion makes it that much harder to hold accountable. It also mentions need to promise students of an Athenian education.,"BALAVEN, KALYAN",,"Director of teaching and learning, The Athenian School, Danville, California"
