journal,year,mont,title,abstract,author
BMC medical education,2023,3,Moving beyond inquiry: a secondary qualitative analysis on promoting racial justice in clinical care.,"Background: Anti-Black racism is prevalent in medicine, and anti-racism training is needed in medical education. One such training is the Presence 5 for Racial Justice (P5RJ) Curriculum which covers evidence-based anti-racism communication strategies that promote health equity for Black patients. The P5RJ Curriculum was developed using feedback from clinicians and trainees with diversity, equity, and inclusion (DEI) experience. In this study, we identify themes in recommended anti-racism language and phrases that surveyed clinicians and trainees use to promote racial justice and health equity in clinical care for Black patients. Methods: Secondary analysis of survey responses to identify themes in qualitative data. Dataset: Survey responses of specific phrases for anti-racism communication based on P5RJ Curriculum feedback. Population studied: N = 50 respondents (27 clinicians, 17 medical trainees, 6 unreported) recruited through convenience sampling and listservs of clinicians with DEI experience. An inductive qualitative analysis was performed on survey responses to identify emerging themes. Results: Emerging themes from survey responses reflected four communication practices: ""Inquiry"" was the predominant practice (59%), followed by ""Empathy"" (25%), ""Statements of Allyship"" (9%), and ""Self-Accountability"" (8%). Conclusion: Inquiry and empathy may be predominant communication practices when addressing anti-Black racism in medicine. There is an opportunity to expand anti-racism communication tools with statements of self-accountability and allyship. Future research is necessary to analyze the patient voice on clinician communication practices that promote anti-racism in clinical care.","Kyerematen, Baffour"
BMC medical education,2023,3,Moving beyond inquiry: a secondary qualitative analysis on promoting racial justice in clinical care.,"Anti-Black racism is prevalent in medicine, and anti-racism training is needed in medical education. One such training is the Presence 5 for Racial Justice (P5RJ) Curriculum which covers evidence-based anti-racism communication strategies that promote health equity for Black patients. The P5RJ Curriculum was developed using feedback from clinicians and trainees with diversity, equity, and inclusion (DEI) experience. In this study, we identify themes in recommended anti-racism language and phrases that surveyed clinicians and trainees use to promote racial justice and health equity in clinical care for Black patients.",Kyerematen B
International journal of environmental research and public health,2023,3,Twelve Tips for Inclusive Practice in Healthcare Settings.,"This paper outlines practical tips for inclusive healthcare practice and service delivery, covering diversity aspects and intersectionality. A team with wide-ranging lived experiences from a national public health association's diversity, equity, and inclusion group compiled the tips, which were reiteratively discussed and refined. The final twelve tips were selected for practical and broad applicability. The twelve chosen tips are: (a) beware of assumptions and stereotypes, (b) replace labels with appropriate terminology, (c) use inclusive language, (d) ensure inclusivity in physical space, (e) use inclusive signage, (f) ensure appropriate communication methods, (g) adopt a strength-based approach, (h) ensure inclusivity in research, (i) expand the scope of inclusive healthcare delivery, (j) advocate for inclusivity, (k) self-educate on diversity in all its forms, and (l) build individual and institutional commitments. The twelve tips are applicable across many aspects of diversity, providing a practical guide for all healthcare workers (HCWs) and students to improve practices. These tips guide healthcare facilities and HCWs in improving patient-centered care, especially for those who are often overlooked in mainstream service provision.",Marjadi B
PLoS biology,2022,12,"Members of the majority need to actively promote diversity, equity, inclusion, and belonging.","The responsibility for promoting diversity, equity, inclusion, and belonging (DEIB) too often falls on scientists from minority groups. Here, I provide a list of potential strategies that members of the majority can easily do to step up and get involved in DEIB.",Smith CJ
Canadian journal of dietetic practice and research: a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en diététique: une publication des Diététistes du Canada,2022,12,How Can Food Experience Serve as a Medium for Social Integration Among Immigrant Seniors in Canadian Society?,"Introduction: Immigrant seniors are among the most vulnerable demographic within Canadian society. Accounting for one-third of the senior population, these immigrants face unique challenges, including a lack of programming, language, socioeconomic and transportation barriers hindering societal integration, health, and well-being. Objective: This study uses a phenomenological approach to explore the experiences of immigrant seniors transitioning to Canadian society by considering their diversity of food knowledge and experiences. Method: Five immigrant seniors who could communicate in English in some capacities were recruited through social media, community organizations, and snowball sampling to participate in an interview. Interviews were recorded and transcribed verbatim. Data were independently coded by the primary investigator and discussed with and verified by a second researcher to establish final themes and subthemes. Results: Participants represented different ethnic and demographic backgrounds. Participants identified several influences that shaped their experiences and identity as an immigrant senior. Three key themes emerged: Embracing change while preserving self; Food knowledge and experiences as an avenue for storytelling and; Identity and significant life changes as an immigrant senior. Conclusion: The experiences of immigrant seniors are a complex and multifaceted phenomenon manifesting in various ways. Habits, norms, and adaptations to novel circumstances are instrumental to these seniors' overall well-being and integration into a new environment. Significance: Food experiences may serve as a medium for understanding, coping with, and sharing differences within new cultural contexts. This medium may provide opportunities for dietitians and others to advance equity and inclusion of immigrant seniors in Canadian society. Funded by: None","Hickens, N."
Psychological Reports,2022,11,Validation of the Revised Multicultural Ideology Scale (MCI-r) in the UK.,"As worldwide migration continues to grow, valid and reliable instruments are needed to assess the psychological processes that influence the successful management of intercultural relations in different sociopolitical contexts. In this study, we test whether the original Multicultural Ideology Scale (MCI) required a revision to remain ‘fit for purpose’ in the current culturally plural context of the UK (MCI-r). Specifically, six subscales are proposed to underlie the construct of a multicultural ideology: Cultural Maintenance, Equity/Inclusion, Social interaction, Essentialistic Boundaries, Extent of Differences, and Consequences of Diversity. With data from 300 UK nationals, we tested the psychometric properties of the MCI-r using various confirmatory factor analysis techniques to estimate the scale’s factor structure followed by convergent and discriminant validity tests. The results indicated that a 4-factor solution (Cultural Maintenance, Equity/Inclusion, Social interaction, and Consequences of Diversity) fitted the data best. All four subscales demonstrated adequate internal consistency as well as convergent and discriminant validity. All four subscales were also negatively correlated with a right-wing political orientation, whilst especially Social Interaction and Consequences of Diversity were positively associated with intergroup contact frequency across domains (work, family and friends and/or acquaintances). Finally, UK participants with personal migratory experiences reported a stronger belief in positive consequences of multiculturalism and more support for Social Interactions between members of different ethnic groups. Overall, findings provide first insights into the applicability of the MCI-r as a reliable and valid tool for the assessment of multiculturalism within the present UK context.",
BMC medical education,2022,10,Influence of demographic and socio-economic factors in choosing hospitalist careers among US medical students.,"The subspecialty of Hospital Medicine (HM) has grown rapidly since the mid-1990s. Diversity and inclusion are often studied in the context of healthcare equity and leadership. However, little is known about the factors potentially associated with choosing this career path among US medical students.",Rachoin JS
PLoS biology,2022,10,Five actionable pillars to engage the next generation of leaders in the co-design of transformative ocean solutions.,"Solutions to complex and unprecedented global challenges are urgently needed. Overcoming these challenges requires input and innovative solutions from all experts, including Early Career Ocean Professionals (ECOPs). To achieve diverse inclusion from ECOPs, fundamental changes must occur at all levels-from individuals to organizations. Drawing on insights from across the globe, we propose 5 actionable pillars that support the engagement of ECOPs in co-design processes that address ocean sustainability: sharing knowledge through networks and mentorship, providing cross-boundary training and opportunities, incentivizing and celebrating knowledge co-design, creating inclusive and participatory governance structures, and catalyzing culture change for inclusivity. Foundational to all actions are the cross-cutting principles of justice, equity, diversity, and inclusivity. In addition, the pillars are cross-boundary in nature, including collaboration and innovation across sectors, disciplines, regions, generations, and backgrounds. Together, these recommendations provide an actionable and iterative path toward inclusive engagement and intergenerational exchange that can develop ocean solutions for a sustainable future.",Satterthwaite EV
BMC medical education,2022,10,"Towards a common lexicon for equity, diversity, and inclusion work in academic medicine.","Differential rewarding of work and experience has been a longtime feature of academic medicine, resulting in a series of academic disparities. These disparities have been collectively called a cultural or minority ""tax,"" and, when considered beyond academic medicine, exist across all departments, colleges, and schools of institutions of higher learning-from health sciences to disciplines located on university campuses outside of medicine and health. A shared language can provide opportunities for those who champion this work to pool resources for larger impacts across the institution. This article aims to catalog the terms used across academic medicine disciplines to establish a common language describing the inequities experienced by Black, Latinx, American Indian/Alaska Native and Native Hawaiian/Other Pacific Islander, Women, and other underrepresented people as well as queer, disabled, and other historically marginalized or excluded groups. These ideas are specific to academic medicine in the United States, although many can be used in academic medicine in other countries. The terms were selected by a team of experts in equity, diversity, and inclusion, (EDI) who are considered national thought leaders in EDI and collectively have over 100 years of scholarship and experience in this area.",Rodríguez JE
Journal of the Medical Library Association : JMLA,2022,10,"Identifying diversity, equity, and inclusion enhancement opportunities through an online mixed methods library survey.","A mixed methods survey was conducted at a health sciences library to assess patrons' perceptions of the library's digital and physical environments in relation to diversity, equity, and inclusion (DEI).",Morgan-Daniel J
